split,k,arm,mu_hat_rel,mu_star,intercept,multiplier,auc,brier,ece,nfeat
0,2,vanilla,0.0,0.0,-4.0,4.191464282063244,0.7232756258562709,0.20642546703262463,0.010515201354217091,2
0,2,causal,0.0,0.0,-4.0,4.191464282063244,0.7232756258562709,0.20642546703262463,0.010515201354217091,2
0,4,vanilla,0.0,0.0,-9.0,3.576002603983505,0.749681986133599,0.20132122134737915,0.028166879100794358,4
0,4,causal,0.0657933224657568,6.316158956712652,-9.0,3.576002461907851,0.749681986133599,0.2013212216482734,0.028166882865306133,4
0,6,vanilla,0.0,0.0,-9.0,3.925434924387256,0.7628899406318761,0.1966432030297151,0.035665032190653714,6
0,6,causal,0.0657933224657568,6.316158956712652,-9.0,3.598710680525666,0.7642533316726865,0.196132166862047,0.026458145465179363,6
0,8,vanilla,0.0,0.0,-9.0,4.42447637112374,0.7710084277826214,0.1940632920657984,0.02910354634936908,8
0,8,causal,0.0657933224657568,6.316158956712652,-10.0,5.310410372872584,0.7700053971021713,0.194449758923726,0.02820387851631926,8
0,10,vanilla,0.0,0.0,-11.0,5.059610939246979,0.7716801594220949,0.19384702787525937,0.032197302015336826,10
0,10,causal,0.0657933224657568,6.316158956712652,-10.0,5.363889666242565,0.7734686760493212,0.19367108205697495,0.03615281691919133,10
1,2,vanilla,0.0,0.0,-2.0,2.0234892725117337,0.7288852908207746,0.20408554877554874,0.004258391058260543,2
1,2,causal,1.5199110829529332,138.31190854871693,-2.0,2.0234892720695488,0.7288852908207746,0.20408554877571944,0.004258391075260404,2
1,4,vanilla,0.0,0.0,-5.0,3.0513839121264588,0.7508182837215095,0.2011372049951,0.030629731140410038,4
1,4,causal,0.12328467394420659,11.2189053289228,-6.0,3.502036610128866,0.749972599327438,0.20027586533994485,0.019992599409781063,4
1,6,vanilla,0.0,0.0,-9.0,3.7524686690391738,0.7701332669074604,0.1946498244883537,0.014608230476841623,6
1,6,causal,0.0657933224657568,5.987192344383868,-9.0,3.7524798234437067,0.7701332669074604,0.19464981953907573,0.014608192157986952,6
1,8,vanilla,0.0,0.0,-7.0,5.1263340339511405,0.7721501224727031,0.19408338899650884,0.020191574058376096,8
1,8,causal,0.0657933224657568,5.987192344383868,-8.0,5.448362764254909,0.7727043633495246,0.19419873342451954,0.02223987075330501,8
1,10,vanilla,0.0,0.0,-8.0,5.52558674149073,0.7769979657076431,0.1919564712521625,0.019123013446341916,10
1,10,causal,0.03511191734215131,3.195184478135769,-8.0,5.525633716982193,0.7769979657076431,0.19195643712645624,0.01912236218340578,10
2,2,vanilla,0.0,0.0,-2.0,1.9822354003274731,0.7270619006102877,0.20544301833584772,0.016517794212640685,2
2,2,causal,1.5199110829529334,131.47230867542874,-2.0,1.982235403685542,0.7270619006102877,0.20544301832937678,0.016517794082520486,2
2,4,vanilla,0.0,0.0,-6.0,3.338729535846718,0.7534205172914852,0.19996726225751937,0.017425082664851908,4
2,4,causal,0.4328761281083057,37.443785081368446,-6.0,3.3387334928669525,0.7534205172914852,0.19996725719437564,0.01742495532439188,4
2,6,vanilla,0.0,0.0,-11.0,4.4378770895527655,0.7714435172499687,0.19392804865008006,0.017373622647451643,6
2,6,causal,0.03511191734215131,3.037180850096088,-11.0,4.4378770895527655,0.7714435172499687,0.19392804865008006,0.017373622647451643,6
2,8,vanilla,0.0,0.0,-6.0,4.900478094644174,0.7731008427782621,0.19286029063728516,0.016770134934418274,8
2,8,causal,0.01,0.865,-6.0,4.900478094644174,0.7731008427782621,0.19286029063728516,0.016770134934418274,8
2,10,vanilla,0.0,0.0,-8.0,5.8580635528574945,0.7818823431726658,0.18974841394575512,0.01613776914630121,10
2,10,causal,0.03511191734215131,3.037180850096088,-7.0,4.802934720027117,0.7798937186033961,0.19070596613346977,0.026319338636050224,10
3,2,vanilla,0.0,0.0,-2.0,1.9164562869996313,0.7351729148503341,0.20167856189953576,0.008426533487417266,2
3,2,causal,1.5199110829529332,138.31190854871693,-2.0,1.9164562896533708,0.7351729148503341,0.20167856189586733,0.008426533246107822,2
3,4,vanilla,0.0,0.0,-6.0,3.830778182510205,0.7599838086934861,0.19749790866461459,0.030342853427788093,4
3,4,causal,0.0,0.0,-6.0,3.830778182510205,0.7599838086934861,0.19749790866461459,0.030342853427788093,4
3,6,vanilla,0.0,0.0,-4.0,3.259541798521749,0.774045335658239,0.1925582413002649,0.03051229605371145,6
3,6,causal,0.0657933224657568,5.987192344383868,-4.0,3.2595436612097473,0.774045335658239,0.19255824171589037,0.030512343940678012,6
3,8,vanilla,0.0,0.0,-7.0,4.593316415376064,0.7815369286337029,0.18989578568122326,0.02857578604551978,8
3,8,causal,0.0,0.0,-7.0,4.593316415376064,0.7815369286337029,0.18989578568122326,0.02857578604551978,8
3,10,vanilla,0.0,0.0,-8.0,6.272647819932839,0.7846950637273218,0.1887124017406184,0.03237929895329689,10
3,10,causal,0.0,0.0,-8.0,6.272647819932839,0.7846950637273218,0.1887124017406184,0.03237929895329689,10
4,2,vanilla,0.0,0.0,-2.0,1.892109257154325,0.724215136795782,0.20610103276487018,0.017258207245780123,2
4,2,causal,1.5199110829529332,132.99221975838165,-2.0,1.892109261199682,0.724215136795782,0.20610103275089908,0.017258206871237303,2
4,4,vanilla,0.0,0.0,-5.0,2.850692638667377,0.7565587246232408,0.19880825009781244,0.016134218452724093,4
4,4,causal,0.0657933224657568,5.75691571575372,-9.0,3.7257362033792596,0.755612571096442,0.19885948743435888,0.020197915801601476,4
4,6,vanilla,0.0,0.0,-11.0,4.323064417126268,0.7647764354215967,0.1966535648102873,0.02102066315605489,6
4,6,causal,0.23101297000831592,20.213634875727642,-9.0,4.022307180669049,0.768283721509528,0.19468851664075695,0.018434485858404175,6
4,8,vanilla,0.0,0.0,-11.0,5.061944758351152,0.7718715489683232,0.19380236879310256,0.015803173472764696,8
4,8,causal,0.0657933224657568,5.75691571575372,-11.0,5.0619424232608905,0.7718715489683232,0.1938023711120578,0.01580321851878297,8
4,10,vanilla,0.0,0.0,-12.0,5.2557274621355505,0.7734927554282393,0.19357948196770938,0.027199355104180246,10
4,10,causal,0.01873817422860384,1.6395902450028361,-12.0,5.561073054857758,0.7743376094988998,0.19316374802282923,0.02368959770206377,10
5,2,vanilla,0.0,0.0,-4.0,4.145579409838151,0.7217461701332668,0.20713219515418824,0.015360213237138638,2
5,2,causal,1.5199110829529332,132.61224198764342,-4.0,4.145579415832747,0.7217461701332668,0.20713219514736653,0.015360213198558782,2
5,4,vanilla,0.0,0.0,-9.0,3.57942872186663,0.7533540914186075,0.2000601039669403,0.028207665320412495,4
5,4,causal,0.23101297000831594,20.155881633225565,-9.0,3.579428612781144,0.7533540914186075,0.2000601041824566,0.028207668346456872,4
5,6,vanilla,0.0,0.0,-11.0,4.930562966739425,0.7661298625814755,0.1954945849521676,0.02503926067132442,6
5,6,causal,0.23101297000831594,20.155881633225565,-11.0,4.930556678235711,0.7661298625814755,0.1954945913177067,0.02503933530479036,6
5,8,vanilla,0.0,0.0,-11.0,6.002114146388557,0.7684369161788517,0.19497114181920855,0.02404788897904011,8
5,8,causal,0.12328467394420659,10.756587801632024,-9.0,4.686573642076645,0.7689405073276041,0.19547804438573957,0.024426912607735347,8
5,10,vanilla,0.0,0.0,-7.0,4.631871291216689,0.7711479221156641,0.19463280403868038,0.024167275447687358,10
