arm,mu_rel,auc_source,auc_PR,auc_SD,gap_PR,gap_SD
causal,1.0,0.8617,0.797,0.76,0.0647,0.1017
causal,2.0,0.8612,0.7948,0.7551,0.0664,0.1061
causal,4.0,0.8612,0.7907,0.7513,0.0705,0.1099
causal,8.0,0.8513,0.7974,0.7608,0.0539,0.0905
causal,16.0,0.8386,0.8138,0.7755,0.0248,0.0631
causal,32.0,0.8386,0.8138,0.7755,0.0248,0.0631
causal,64.0,0.8386,0.8138,0.7755,0.0248,0.0631
cfs_cg,,0.7136,0.5315,0.5606,0.1821,0.153
cfs_hiton_mb,,0.6489,0.5774,0.6217,0.0715,0.0272
cfs_iamb,,0.6501,0.5804,0.6227,0.0697,0.0274
vanilla,0.0,0.8615,0.792,0.7565,0.0695,0.105
