arm,mu_rel,auc_source,auc_TX,auc_FL,gap_TX,gap_FL
causal,0.5,0.6932,0.7482,0.739,-0.055,-0.0458
causal,1.0,0.692,0.7464,0.7364,-0.0544,-0.0444
causal,2.0,0.6925,0.7426,0.7308,-0.0501,-0.0383
causal,4.0,0.6892,0.7399,0.7273,-0.0507,-0.0381
causal,8.0,0.6892,0.7399,0.7273,-0.0507,-0.0381
causal,16.0,0.6892,0.7399,0.7273,-0.0507,-0.0381
causal,32.0,0.6892,0.7399,0.7273,-0.0507,-0.0381
causal_ce,0.5,0.6923,0.7449,0.7354,-0.0526,-0.0431
causal_ce,1.0,0.6917,0.745,0.7351,-0.0533,-0.0434
causal_ce,2.0,0.6904,0.7439,0.7304,-0.0535,-0.04
causal_ce,4.0,0.6885,0.7438,0.7303,-0.0553,-0.0418
causal_ce,8.0,0.6879,0.7449,0.7315,-0.057,-0.0436
causal_ce,16.0,0.6879,0.7443,0.7313,-0.0564,-0.0434
causal_ce,32.0,0.6878,0.7435,0.7308,-0.0557,-0.043
causal_icp,0.5,0.6893,0.7427,0.7296,-0.0534,-0.0403
causal_icp,1.0,0.6893,0.7427,0.7296,-0.0534,-0.0403
causal_icp,2.0,0.6893,0.7427,0.7296,-0.0534,-0.0403
causal_icp,4.0,0.6893,0.7427,0.7296,-0.0534,-0.0403
causal_icp,8.0,0.6893,0.7427,0.7296,-0.0534,-0.0403
causal_icp,16.0,0.6893,0.7427,0.7296,-0.0534,-0.0403
causal_icp,32.0,0.6893,0.7427,0.7296,-0.0534,-0.0403
cfs_cg,,0.6453,0.6805,0.6821,-0.0352,-0.0368
cfs_hiton_mb,,0.6843,0.7501,0.737,-0.0658,-0.0527
cfs_iamb,,0.6845,0.7436,0.7317,-0.0591,-0.0472
vanilla,0.0,0.6932,0.7476,0.7386,-0.0544,-0.0454
