seed,arm,mu_rel,auc_source,auc_PR,auc_SD
0,vanilla,0.0,0.8564591541595019,0.806330474921906,0.7660768025078369
0,causal,1.0,0.8564591541595019,0.806330474921906,0.7660768025078369
0,causal,2.0,0.85456103712082,0.8061071615291451,0.7548846394984327
0,causal,4.0,0.85456103712082,0.8061071615291451,0.7548846394984327
0,causal,8.0,0.849303228142373,0.7944708917560578,0.7495221003134795
0,causal,16.0,0.8351838876692432,0.8164695597573502,0.7652227272727272
0,causal,32.0,0.8351838876692432,0.8164695597573502,0.7652227272727272
0,causal,64.0,0.8351838876692432,0.8164695597573502,0.7652227272727272
0,cfs_iamb,,0.6623152880265112,0.5863684250625935,0.6210753918495298
0,cfs_hiton_mb,,0.6623152880265112,0.5863684250625935,0.6210753918495298
0,cfs_cg,,0.70713983121588,0.5682524544769081,0.5653382445141065
1,vanilla,0.0,0.8536162564410911,0.8210132129510631,0.7919842060718361
1,causal,1.0,0.8536162564410911,0.8210132129510631,0.7919842060718361
1,causal,2.0,0.8536162564410911,0.8210132129510631,0.7919842060718361
1,causal,4.0,0.8543891227185445,0.800742487558972,0.7709140687030197
1,causal,8.0,0.8543891227185445,0.800742487558972,0.7709140687030197
1,causal,16.0,0.8278843480678343,0.8180551850863935,0.7818738902090453
1,causal,32.0,0.8278843480678343,0.8180551850863935,0.7818738902090453
1,causal,64.0,0.8278843480678343,0.8180551850863935,0.7818738902090453
1,cfs_iamb,,0.6503402706389692,0.573260276814558,0.6213892461355064
1,cfs_hiton_mb,,0.6495780075127207,0.5676355445627251,0.6202294958579897
1,cfs_cg,,0.7179357474898332,0.5420337679273395,0.5687003383827343
2,vanilla,0.0,0.8659767278863569,0.8023995563845339,0.7580645669787824
2,causal,1.0,0.8659767278863569,0.8023995563845339,0.7580645669787824
2,causal,2.0,0.8659767278863569,0.8023995563845339,0.7580645669787824
2,causal,4.0,0.8659767278863569,0.8023995563845339,0.7580645669787824
2,causal,8.0,0.8418247093559744,0.8112352338223187,0.7672134997950755
2,causal,16.0,0.8377310989042952,0.8146514089832133,0.7727768845171664
2,causal,32.0,0.8377310989042952,0.8146514089832133,0.7727768845171664
2,causal,64.0,0.8377310989042952,0.8146514089832133,0.7727768845171664
2,cfs_iamb,,0.6616104846259239,0.5862956428223355,0.6311461584539235
2,cfs_hiton_mb,,0.6613492286772032,0.5842388802070205,0.6301823827989533
2,cfs_cg,,0.7293867125996665,0.5540236258842903,0.5779009426526687
3,vanilla,0.0,0.8639563427641389,0.8109809573339116,0.7576285832064942
3,causal,1.0,0.8639563427641389,0.8109809573339116,0.7576285832064942
3,causal,2.0,0.8639563427641389,0.8109809573339116,0.7576285832064942
3,causal,4.0,0.8639563427641389,0.8109809573339116,0.7576285832064942
3,causal,8.0,0.8582457844340072,0.800025459307008,0.7525380517503806
3,causal,16.0,0.8382245568595375,0.8225467111117081,0.7691998033992897
3,causal,32.0,0.8382245568595375,0.8225467111117081,0.7691998033992897
3,causal,64.0,0.8382245568595375,0.8225467111117081,0.7691998033992897
3,cfs_iamb,,0.6379667123129227,0.5695195803180366,0.6182854515474379
3,cfs_hiton_mb,,0.6330743269759045,0.5704931749227106,0.6196082255200407
3,cfs_cg,,0.7161905307771429,0.5548225876507008,0.5667278665651954
