arm,mu_rel,auc_source,auc_PR,auc_SD,gap_PR,gap_SD
causal,1.0,0.86,0.8102,0.7684,0.0498,0.0916
causal,2.0,0.8595,0.8101,0.7656,0.0494,0.0939
causal,4.0,0.8597,0.8051,0.7604,0.0546,0.0993
causal,8.0,0.8509,0.8016,0.76,0.0493,0.0909
causal,16.0,0.8348,0.8179,0.7723,0.0169,0.0625
causal,32.0,0.8348,0.8179,0.7723,0.0169,0.0625
causal,64.0,0.8348,0.8179,0.7723,0.0169,0.0625
cfs_cg,,0.7177,0.5548,0.5697,0.1629,0.148
cfs_hiton_mb,,0.6516,0.5772,0.6228,0.0744,0.0288
cfs_iamb,,0.6531,0.5789,0.623,0.0742,0.0301
vanilla,0.0,0.86,0.8102,0.7684,0.0498,0.0916
