split,k,arm,feature,coef
0,2,vanilla,x1_le_69,4
0,2,vanilla,x1_le_74,5
0,2,causal,x1_le_69,4
0,2,causal,x1_le_74,5
0,4,vanilla,x1_le_69,5
0,4,vanilla,x1_le_81,5
0,4,vanilla,x5_le_21,2
0,4,vanilla,x15_le_0,3
0,4,causal,x1_le_69,5
0,4,causal,x1_le_81,5
0,4,causal,x5_le_21,2
0,4,causal,x15_le_0,3
0,6,vanilla,x1_le_63,4
0,6,vanilla,x1_le_74,4
0,6,vanilla,x1_le_81,3
0,6,vanilla,x4_le_70,2
0,6,vanilla,x5_le_12,3
0,6,vanilla,x15_le_0,3
0,6,causal,x1_le_63,3
0,6,causal,x1_le_74,4
0,6,causal,x1_le_81,3
0,6,causal,x4_le_70,2
0,6,causal,x5_le_18,2
0,6,causal,x15_le_0,3
0,8,vanilla,x1_le_63,3
0,8,vanilla,x1_le_69,3
0,8,vanilla,x1_le_74,3
0,8,vanilla,x1_le_81,4
0,8,vanilla,x4_le_70,2
0,8,vanilla,x5_le_21,2
0,8,vanilla,x14_le_49,-2
0,8,vanilla,x15_le_0,3
0,8,causal,x1_le_63,3
0,8,causal,x1_le_69,3
0,8,causal,x1_le_74,3
0,8,causal,x1_le_81,4
0,8,causal,x4_le_70,2
0,8,causal,x5_le_21,2
0,8,causal,x14_le_49,-2
0,8,causal,x15_le_0,3
0,10,vanilla,x1_le_69,3
0,10,vanilla,x1_le_74,3
0,10,vanilla,x1_le_81,3
0,10,vanilla,x4_le_70,3
0,10,vanilla,x5_le_12,3
0,10,vanilla,x8_le_95,3
0,10,vanilla,x9_le_18,2
0,10,vanilla,x15_le_0,4
0,10,vanilla,x18_le_36,-3
0,10,vanilla,x22_missing,3
0,10,causal,x1_le_69,3
0,10,causal,x1_le_74,3
0,10,causal,x1_le_81,3
0,10,causal,x4_le_70,3
0,10,causal,x5_le_12,3
0,10,causal,x8_le_95,3
0,10,causal,x9_le_18,2
0,10,causal,x15_le_0,4
0,10,causal,x18_le_36,-3
0,10,causal,x22_missing,3
1,2,vanilla,x1_le_63,2
1,2,vanilla,x1_le_74,3
1,2,causal,x1_le_63,2
1,2,causal,x1_le_74,3
1,4,vanilla,x1_le_63,3
1,4,vanilla,x1_le_74,4
1,4,vanilla,x4_le_52,3
1,4,vanilla,x15_le_0,2
1,4,causal,x1_le_69,3
1,4,causal,x1_le_74,4
1,4,causal,x4_le_52,3
1,4,causal,x15_le_0,3
1,6,vanilla,x1_le_63,3
1,6,vanilla,x1_le_74,4
1,6,vanilla,x1_le_81,3
1,6,vanilla,x4_le_70,2
1,6,vanilla,x5_le_17,2
1,6,vanilla,x15_le_0,3
1,6,causal,x1_le_63,3
1,6,causal,x1_le_74,4
1,6,causal,x1_le_81,3
1,6,causal,x4_le_70,2
1,6,causal,x5_le_17,2
1,6,causal,x15_le_0,3
1,8,vanilla,x1_le_63,4
1,8,vanilla,x1_le_74,5
1,8,vanilla,x1_le_81,4
1,8,vanilla,x4_le_52,3
1,8,vanilla,x5_le_12,3
1,8,vanilla,x14_le_50,-3
1,8,vanilla,x15_le_0,4
1,8,vanilla,x18_le_36,-2
1,8,causal,x1_le_63,4
1,8,causal,x1_le_74,5
1,8,causal,x1_le_81,4
1,8,causal,x4_le_52,3
1,8,causal,x5_le_12,3
1,8,causal,x14_le_50,-3
1,8,causal,x15_le_0,4
1,8,causal,x18_le_36,-2
1,10,vanilla,x1_le_63,4
1,10,vanilla,x1_le_74,5
1,10,vanilla,x1_le_81,3
1,10,vanilla,x4_le_52,3
1,10,vanilla,x4_le_81,2
1,10,vanilla,x5_le_12,3
1,10,vanilla,x8_le_95,2
1,10,vanilla,x14_le_50,-3
1,10,vanilla,x15_le_0,4
1,10,vanilla,x18_le_36,-2
1,10,causal,x1_le_63,4
1,10,causal,x1_le_74,5
1,10,causal,x1_le_81,3
1,10,causal,x4_le_52,3
1,10,causal,x4_le_81,2
1,10,causal,x5_le_12,3
1,10,causal,x8_le_95,2
1,10,causal,x14_le_50,-3
1,10,causal,x15_le_0,4
1,10,causal,x18_le_36,-2
2,2,vanilla,x1_le_63,2
2,2,vanilla,x1_le_74,3
2,2,causal,x1_le_63,2
2,2,causal,x1_le_74,3
2,4,vanilla,x1_le_63,3
2,4,vanilla,x1_le_74,4
2,4,vanilla,x1_le_81,3
