k,arm,auc_mean,auc_std,brier_mean,brier_std,ece_mean,ece_std,nfeat_mean,nfeat_std
2,causal,0.7257017063146095,0.00529601106958942,0.20553401080925832,0.0021631972995009912,0.013420011206427792,0.006323624527761158,2.0,0.0
2,vanilla,0.7251034582970066,0.005743678967545227,0.20589020131135022,0.002477557464644426,0.015189367281592819,0.0069809385294267974,2.0,0.0
4,causal,0.7544803420932453,0.005957297122261259,0.19962330122909336,0.0024000759346374453,0.02532322096456242,0.006921700256167958,4.0,0.0
4,vanilla,0.7542801511188608,0.0052985850445714435,0.1998113420748997,0.002222717273467886,0.025564217922719547,0.008102208218446951,4.0,0.0
6,causal,0.7674410677959065,0.00524168328274342,0.19542749259815015,0.002479055799448247,0.023664458638133802,0.006502464238346475,6.0,0.0
6,vanilla,0.766378876572425,0.005841513839737932,0.19585969648285537,0.002613395335694305,0.025280628329957366,0.007650337940351291,6.0,0.0
8,causal,0.7720269855108565,0.0051268001260642996,0.19383176284883688,0.002328942293131336,0.02495196724910378,0.006081693057043682,8.0,0.0
8,vanilla,0.7721584257068128,0.00519449923673329,0.19368718039561988,0.0023129385872546894,0.025218436323724162,0.006122742783424877,8.0,0.0
10,causal,0.7749713953584921,0.0054619355744133,0.19281143237002274,0.0025494939639674912,0.026106637165827024,0.004694591894437776,10.0,0.0
10,vanilla,0.7754909702329057,0.005943976700047312,0.19261738614761634,0.002743263320344813,0.026285876561256853,0.005374735674671927,10.0,0.0
