k,arm,auc_mean,auc_std,brier_mean,brier_std,ece_mean,ece_std,nfeat_mean,nfeat_std
2,causal,0.7257017063146095,0.00529601106958942,0.2055340108088915,0.0021631973002274596,0.013420011182296882,0.0063236245489334195,2.0,0.0
2,vanilla,0.7251034582970066,0.005743678967545227,0.20589020131135022,0.002477557464644439,0.01518936728159287,0.006980938529426772,2.0,0.0
4,causal,0.7543857267405655,0.005928061786969748,0.19962842444326107,0.0023981964562937454,0.025729577874398078,0.006423664395629083,4.0,0.0
4,vanilla,0.7542801511188608,0.0052985850445714435,0.19981134207489973,0.0022227172734678876,0.02556421792271963,0.00810220821844692,4.0,0.0
6,causal,0.7670405197824552,0.007180734279603233,0.19548139231061828,0.0031793746128128512,0.02389012925925609,0.007146700628067757,6.0,0.0
6,vanilla,0.766378876572425,0.005841513839737932,0.1958596964828554,0.0026133953356943006,0.025280628329957415,0.007650337940351284,6.0,0.0
8,causal,0.7719943538008054,0.005529753116158772,0.19385968841156062,0.0024517012622682593,0.02472503516560535,0.0059383503469375345,8.0,0.0
8,vanilla,0.7721584257068128,0.00519449923673329,0.1936871803956199,0.002312938587254697,0.025218436323724384,0.006122742783424864,8.0,0.0
10,causal,0.7755789014821273,0.005633602237043294,0.19261110155744807,0.0026787930604688054,0.02707339823433299,0.0050741400875499955,10.0,0.0
10,vanilla,0.7754909702329057,0.005943976700047312,0.19261738614761637,0.00274326332034484,0.026285876561257228,0.005374735674672088,10.0,0.0
