rep,arm,k,auc,n,p
0,vanilla,2,0.7342828297998382,2800,46
0,causal,2,0.7342828297998382,2800,46
0,iamb_soft_cg,2,0.7342828297998382,2800,46
0,iamb_soft_fz,2,0.7342828297998382,2800,46
0,cfs_iamb,2,0.7342828297998382,2800,46
0,cfs_hiton_mb,2,0.7342828297998382,2800,46
0,cfs_cg,2,0.5243381475640994,2800,46
0,vanilla,4,0.7616927958971962,2800,46
0,causal,4,0.7616927958971962,2800,46
0,iamb_soft_cg,4,0.7616927958971962,2800,46
0,iamb_soft_fz,4,0.7616927958971962,2800,46
0,cfs_iamb,4,0.7616927958971962,2800,46
0,cfs_hiton_mb,4,0.7616927958971962,2800,46
0,cfs_cg,4,0.5243381475640994,2800,46
0,vanilla,6,0.7701406445117491,2800,46
0,causal,6,0.7701406445117491,2800,46
0,iamb_soft_cg,6,0.7701406445117491,2800,46
0,iamb_soft_fz,6,0.7701406445117491,2800,46
0,cfs_iamb,6,0.7667420367728245,2800,46
0,cfs_hiton_mb,6,0.7667420367728245,2800,46
0,cfs_cg,6,0.5243381475640994,2800,46
0,vanilla,8,0.7671105437494263,2800,46
0,causal,8,0.7671105437494263,2800,46
0,iamb_soft_cg,8,0.7671105437494263,2800,46
0,iamb_soft_fz,8,0.7671105437494263,2800,46
0,cfs_iamb,8,0.7755264087395949,2800,46
0,cfs_hiton_mb,8,0.7755264087395949,2800,46
0,cfs_cg,8,0.5243381475640994,2800,46
0,vanilla,10,0.7670743883479484,2800,46
0,causal,10,0.7670743883479484,2800,46
0,iamb_soft_cg,10,0.7670743883479484,2800,46
0,iamb_soft_fz,10,0.7670743883479484,2800,46
0,cfs_iamb,10,0.7717384351386004,2800,46
0,cfs_hiton_mb,10,0.7717384351386004,2800,46
0,cfs_cg,10,0.5243381475640994,2800,46
1,vanilla,2,0.7110223913182538,2800,46
1,causal,2,0.7110223913182538,2800,46
1,iamb_soft_cg,2,0.7110223913182538,2800,46
1,iamb_soft_fz,2,0.7110223913182538,2800,46
1,cfs_iamb,2,0.7110223913182538,2800,46
1,cfs_hiton_mb,2,0.7110223913182538,2800,46
1,cfs_cg,2,0.5741157918450102,2800,46
1,vanilla,4,0.7500924743922416,2800,46
1,causal,4,0.7500924743922416,2800,46
1,iamb_soft_cg,4,0.7500924743922416,2800,46
1,iamb_soft_fz,4,0.7500924743922416,2800,46
1,cfs_iamb,4,0.7500924743922416,2800,46
1,cfs_hiton_mb,4,0.7500924743922416,2800,46
1,cfs_cg,4,0.590690262237908,2800,46
1,vanilla,6,0.7601784408122172,2800,46
1,causal,6,0.7729565940499334,2800,46
1,iamb_soft_cg,6,0.7700071476447538,2800,46
1,iamb_soft_fz,6,0.7714144271176636,2800,46
1,cfs_iamb,6,0.7601784408122172,2800,46
1,cfs_hiton_mb,6,0.7601784408122172,2800,46
1,cfs_cg,6,0.590690262237908,2800,46
1,vanilla,8,0.7718955720757928,2800,46
1,causal,8,0.7747560205696422,2800,46
1,iamb_soft_cg,8,0.7712336501102739,2800,46
1,iamb_soft_fz,8,0.7747045686521545,2800,46
1,cfs_iamb,8,0.7747045686521545,2800,46
1,cfs_hiton_mb,8,0.7747045686521545,2800,46
1,cfs_cg,8,0.590690262237908,2800,46
1,vanilla,10,0.7742345484329416,2800,46
1,causal,10,0.7801835025684242,2800,46
1,iamb_soft_cg,10,0.7776498432802406,2800,46
1,iamb_soft_fz,10,0.7706190082851493,2800,46
1,cfs_iamb,10,0.7763816230437841,2800,46
1,cfs_hiton_mb,10,0.7764678397703854,2800,46
1,cfs_cg,10,0.590690262237908,2800,46
2,vanilla,2,0.7237685609315856,2800,46
2,causal,2,0.7237685609315856,2800,46
2,iamb_soft_cg,2,0.7237685609315856,2800,46
2,iamb_soft_fz,2,0.7237685609315856,2800,46
2,cfs_iamb,2,0.7237685609315856,2800,46
2,cfs_hiton_mb,2,0.7237685609315856,2800,46
2,cfs_cg,2,0.7237685609315856,2800,46
2,vanilla,4,0.7542614703011188,2800,46
2,causal,4,0.7497197956385462,2800,46
2,iamb_soft_cg,4,0.7542614703011188,2800,46
2,iamb_soft_fz,4,0.7542614703011188,2800,46
2,cfs_iamb,4,0.7542614703011188,2800,46
2,cfs_hiton_mb,4,0.7542614703011188,2800,46
2,cfs_cg,4,0.7439140725166107,2800,46
2,vanilla,6,0.7676000322617429,2800,46
2,causal,6,0.759718154739556,2800,46
2,iamb_soft_cg,6,0.7639636332284826,2800,46
2,iamb_soft_fz,6,0.7640150851459705,2800,46
2,cfs_iamb,6,0.7626091962654252,2800,46
2,cfs_hiton_mb,6,0.7626091962654252,2800,46
2,cfs_cg,6,0.7475782833971616,2800,46
2,vanilla,8,0.775232993750678,2800,46
2,causal,8,0.761468910526506,2800,46
2,iamb_soft_cg,8,0.7690462483208598,2800,46
2,iamb_soft_fz,8,0.7690518106903178,2800,46
2,cfs_iamb,8,0.7703492333664294,2800,46
2,cfs_hiton_mb,8,0.7703492333664294,2800,46
2,cfs_cg,8,0.7475782833971616,2800,46
2,vanilla,10,0.7754346296435355,2800,46
2,causal,10,0.7666919754477011,2800,46
2,iamb_soft_cg,10,0.7697860434587926,2800,46
2,iamb_soft_fz,10,0.7791071840782737,2800,46
2,cfs_iamb,10,0.7753303352161955,2800,46
2,cfs_hiton_mb,10,0.7779696795240837,2800,46
2,cfs_cg,10,0.7475782833971616,2800,46
3,vanilla,2,0.7503984047124393,2800,46
3,causal,2,0.7503984047124393,2800,46
3,iamb_soft_cg,2,0.7503984047124393,2800,46
3,iamb_soft_fz,2,0.7503984047124393,2800,46
3,cfs_iamb,2,0.7503984047124393,2800,46
3,cfs_hiton_mb,2,0.7503984047124393,2800,46
3,cfs_cg,2,0.6205170778648289,2800,46
3,vanilla,4,0.7830328263233574,2800,46
3,causal,4,0.7830328263233574,2800,46
3,iamb_soft_cg,4,0.7830328263233574,2800,46
3,iamb_soft_fz,4,0.7830328263233574,2800,46
3,cfs_iamb,4,0.7830328263233574,2800,46
