rep,arm,k,auc,n,p
0,vanilla,2,0.765925925925926,700,61
0,causal,2,0.765925925925926,700,61
0,iamb_soft_cg,2,0.765925925925926,700,61
0,iamb_soft_fz,2,0.765925925925926,700,61
0,cfs_iamb,2,0.7237301587301588,700,61
0,cfs_hiton_mb,2,0.7237301587301588,700,61
0,cfs_cg,2,0.7237301587301588,700,61
0,vanilla,4,0.7376190476190476,700,61
0,causal,4,0.7534656084656085,700,61
0,iamb_soft_cg,4,0.7484391534391535,700,61
0,iamb_soft_fz,4,0.7376190476190476,700,61
0,cfs_iamb,4,0.7007936507936507,700,61
0,cfs_hiton_mb,4,0.7007936507936507,700,61
0,cfs_cg,4,0.7204761904761905,700,61
0,vanilla,6,0.7362433862433864,700,61
0,causal,6,0.7468783068783069,700,61
0,iamb_soft_cg,6,0.7231481481481481,700,61
0,iamb_soft_fz,6,0.7372486772486773,700,61
0,cfs_iamb,6,0.6946825396825397,700,61
0,cfs_hiton_mb,6,0.7309523809523809,700,61
0,cfs_cg,6,0.7204761904761905,700,61
0,vanilla,8,0.7407936507936508,700,61
0,causal,8,0.7658730158730158,700,61
0,iamb_soft_cg,8,0.7247619047619048,700,61
0,iamb_soft_fz,8,0.7376455026455027,700,61
0,cfs_iamb,8,0.7172486772486772,700,61
0,cfs_hiton_mb,8,0.7291269841269842,700,61
0,cfs_cg,8,0.7204761904761905,700,61
0,vanilla,10,0.7423809523809524,700,61
0,causal,10,0.7489153439153439,700,61
0,iamb_soft_cg,10,0.718915343915344,700,61
0,iamb_soft_fz,10,0.7357936507936508,700,61
0,cfs_iamb,10,0.7357936507936508,700,61
0,cfs_hiton_mb,10,0.7436243386243386,700,61
0,cfs_cg,10,0.7204761904761905,700,61
1,vanilla,2,0.7496560846560847,700,61
1,causal,2,0.7496560846560847,700,61
1,iamb_soft_cg,2,0.7496560846560847,700,61
1,iamb_soft_fz,2,0.7496560846560847,700,61
1,cfs_iamb,2,0.7494179894179894,700,61
1,cfs_hiton_mb,2,0.7494179894179894,700,61
1,cfs_cg,2,0.7494179894179894,700,61
1,vanilla,4,0.7194179894179894,700,61
1,causal,4,0.7194179894179894,700,61
1,iamb_soft_cg,4,0.7584126984126984,700,61
1,iamb_soft_fz,4,0.7532804232804233,700,61
1,cfs_iamb,4,0.7475661375661377,700,61
1,cfs_hiton_mb,4,0.7475661375661377,700,61
1,cfs_cg,4,0.7483333333333333,700,61
1,vanilla,6,0.7563756613756614,700,61
1,causal,6,0.7563756613756614,700,61
1,iamb_soft_cg,6,0.7544179894179894,700,61
1,iamb_soft_fz,6,0.7381746031746033,700,61
1,cfs_iamb,6,0.7370105820105821,700,61
1,cfs_hiton_mb,6,0.7370105820105821,700,61
1,cfs_cg,6,0.7483333333333333,700,61
1,vanilla,8,0.7226984126984127,700,61
1,causal,8,0.7226984126984127,700,61
1,iamb_soft_cg,8,0.7366137566137566,700,61
1,iamb_soft_fz,8,0.7334391534391534,700,61
1,cfs_iamb,8,0.7565873015873016,700,61
1,cfs_hiton_mb,8,0.7452380952380953,700,61
1,cfs_cg,8,0.7483333333333333,700,61
1,vanilla,10,0.7197883597883598,700,61
1,causal,10,0.7197883597883598,700,61
1,iamb_soft_cg,10,0.7363756613756614,700,61
1,iamb_soft_fz,10,0.734021164021164,700,61
1,cfs_iamb,10,0.758015873015873,700,61
1,cfs_hiton_mb,10,0.7334391534391534,700,61
1,cfs_cg,10,0.7483333333333333,700,61
2,vanilla,2,0.6866137566137566,700,61
2,causal,2,0.6866137566137566,700,61
2,iamb_soft_cg,2,0.6866137566137566,700,61
2,iamb_soft_fz,2,0.6866137566137566,700,61
2,cfs_iamb,2,0.7003439153439155,700,61
2,cfs_hiton_mb,2,0.7003439153439155,700,61
2,cfs_cg,2,0.7003439153439155,700,61
2,vanilla,4,0.689047619047619,700,61
2,causal,4,0.6862433862433862,700,61
2,iamb_soft_cg,4,0.7132539682539683,700,61
2,iamb_soft_fz,4,0.7132539682539683,700,61
2,cfs_iamb,4,0.690952380952381,700,61
