rep,arm,k,auc,n,p
0,vanilla,2,0.812037037037037,189,22
0,causal,2,0.812037037037037,189,22
0,iamb_soft_cg,2,0.812037037037037,189,22
0,iamb_soft_fz,2,0.812037037037037,189,22
0,cfs_iamb,2,0.7555555555555554,189,22
0,cfs_hiton_mb,2,0.7842592592592593,189,22
0,cfs_cg,2,0.812037037037037,189,22
0,vanilla,4,0.8820987654320988,189,22
0,causal,4,0.8820987654320988,189,22
0,iamb_soft_cg,4,0.9024691358024691,189,22
0,iamb_soft_fz,4,0.8623456790123456,189,22
0,cfs_iamb,4,0.8064814814814815,189,22
0,cfs_hiton_mb,4,0.8064814814814815,189,22
0,cfs_cg,4,0.8552469135802468,189,22
0,vanilla,6,0.8722222222222221,189,22
0,causal,6,0.8910493827160493,189,22
0,iamb_soft_cg,6,0.8996913580246914,189,22
0,iamb_soft_fz,6,0.8817901234567901,189,22
0,cfs_iamb,6,0.850925925925926,189,22
0,cfs_hiton_mb,6,0.8493827160493826,189,22
0,cfs_cg,6,0.8552469135802468,189,22
0,vanilla,8,0.8891975308641976,189,22
0,causal,8,0.883641975308642,189,22
0,iamb_soft_cg,8,0.8950617283950617,189,22
0,iamb_soft_fz,8,0.8975308641975308,189,22
0,cfs_iamb,8,0.8484567901234568,189,22
0,cfs_hiton_mb,8,0.8493827160493826,189,22
0,cfs_cg,8,0.8552469135802468,189,22
0,vanilla,10,0.8956790123456789,189,22
0,causal,10,0.9070987654320988,189,22
0,iamb_soft_cg,10,0.8895061728395062,189,22
0,iamb_soft_fz,10,0.879320987654321,189,22
0,cfs_iamb,10,0.8484567901234568,189,22
0,cfs_hiton_mb,10,0.8493827160493826,189,22
0,cfs_cg,10,0.8552469135802468,189,22
1,vanilla,2,0.8225308641975309,189,22
1,causal,2,0.8225308641975309,189,22
1,iamb_soft_cg,2,0.841358024691358,189,22
1,iamb_soft_fz,2,0.841358024691358,189,22
1,cfs_iamb,2,0.7796296296296297,189,22
1,cfs_hiton_mb,2,0.8410493827160492,189,22
1,cfs_cg,2,0.8481481481481481,189,22
1,vanilla,4,0.9009259259259259,189,22
1,causal,4,0.9009259259259259,189,22
1,iamb_soft_cg,4,0.9009259259259259,189,22
1,iamb_soft_fz,4,0.8947530864197532,189,22
1,cfs_iamb,4,0.8358024691358025,189,22
1,cfs_hiton_mb,4,0.8472222222222222,189,22
1,cfs_cg,4,0.8595679012345678,189,22
1,vanilla,6,0.908641975308642,189,22
1,causal,6,0.9058641975308642,189,22
1,iamb_soft_cg,6,0.9302469135802469,189,22
1,iamb_soft_fz,6,0.9018518518518519,189,22
1,cfs_iamb,6,0.8546296296296296,189,22
1,cfs_hiton_mb,6,0.869753086419753,189,22
1,cfs_cg,6,0.8595679012345678,189,22
1,vanilla,8,0.924074074074074,189,22
1,causal,8,0.9175925925925926,189,22
1,iamb_soft_cg,8,0.9401234567901234,189,22
1,iamb_soft_fz,8,0.912037037037037,189,22
1,cfs_iamb,8,0.8901234567901235,189,22
1,cfs_hiton_mb,8,0.8737654320987654,189,22
1,cfs_cg,8,0.8595679012345678,189,22
1,vanilla,10,0.9256172839506173,189,22
1,causal,10,0.9274691358024691,189,22
1,iamb_soft_cg,10,0.9348765432098766,189,22
1,iamb_soft_fz,10,0.9166666666666667,189,22
1,cfs_iamb,10,0.8879629629629631,189,22
1,cfs_hiton_mb,10,0.8737654320987654,189,22
1,cfs_cg,10,0.8595679012345678,189,22
2,vanilla,2,0.8111111111111111,189,22
2,causal,2,0.8111111111111111,189,22
2,iamb_soft_cg,2,0.8111111111111111,189,22
2,iamb_soft_fz,2,0.8453703703703704,189,22
2,cfs_iamb,2,0.8851851851851853,189,22
2,cfs_hiton_mb,2,0.8851851851851853,189,22
2,cfs_cg,2,0.8376543209876542,189,22
2,vanilla,4,0.9064814814814814,189,22
2,causal,4,0.880246913580247,189,22
2,iamb_soft_cg,4,0.9064814814814814,189,22
2,iamb_soft_fz,4,0.8703703703703705,189,22
2,cfs_iamb,4,0.858641975308642,189,22
2,cfs_hiton_mb,4,0.858641975308642,189,22
2,cfs_cg,4,0.8617283950617284,189,22
2,vanilla,6,0.8802469135802469,189,22
2,causal,6,0.8925925925925926,189,22
2,iamb_soft_cg,6,0.8999999999999999,189,22
2,iamb_soft_fz,6,0.8944444444444444,189,22
2,cfs_iamb,6,0.8876543209876543,189,22
2,cfs_hiton_mb,6,0.8876543209876543,189,22
2,cfs_cg,6,0.8617283950617284,189,22
2,vanilla,8,0.8617283950617284,189,22
2,causal,8,0.8833333333333333,189,22
2,iamb_soft_cg,8,0.9012345679012346,189,22
2,iamb_soft_fz,8,0.903395061728395,189,22
2,cfs_iamb,8,0.8907407407407408,189,22
2,cfs_hiton_mb,8,0.8953703703703704,189,22
2,cfs_cg,8,0.8617283950617284,189,22
2,vanilla,10,0.8475308641975308,189,22
2,causal,10,0.8959876543209876,189,22
2,iamb_soft_cg,10,0.8944444444444444,189,22
2,iamb_soft_fz,10,0.903395061728395,189,22
2,cfs_iamb,10,0.9015432098765432,189,22
2,cfs_hiton_mb,10,0.8990740740740741,189,22
2,cfs_cg,10,0.8617283950617284,189,22
