rep,arm,k,auc,n,p
0,vanilla,2,0.812037037037037,189,22
0,causal,2,0.812037037037037,189,22
0,iamb_soft_cg,2,0.812037037037037,189,22
0,iamb_soft_fz,2,0.812037037037037,189,22
0,cfs_iamb,2,0.7555555555555554,189,22
0,cfs_hiton_mb,2,0.7842592592592593,189,22
0,cfs_cg,2,0.812037037037037,189,22
0,vanilla,4,0.8820987654320988,189,22
0,causal,4,0.8820987654320988,189,22
0,iamb_soft_cg,4,0.8858024691358024,189,22
0,iamb_soft_fz,4,0.8623456790123456,189,22
0,cfs_iamb,4,0.8064814814814815,189,22
0,cfs_hiton_mb,4,0.8064814814814815,189,22
0,cfs_cg,4,0.8552469135802468,189,22
0,vanilla,6,0.8722222222222221,189,22
0,causal,6,0.8910493827160493,189,22
0,iamb_soft_cg,6,0.8996913580246914,189,22
0,iamb_soft_fz,6,0.8817901234567901,189,22
0,cfs_iamb,6,0.850925925925926,189,22
0,cfs_hiton_mb,6,0.8493827160493826,189,22
0,cfs_cg,6,0.8552469135802468,189,22
0,vanilla,8,0.8891975308641976,189,22
0,causal,8,0.8808641975308642,189,22
0,iamb_soft_cg,8,0.8950617283950617,189,22
0,iamb_soft_fz,8,0.8820987654320988,189,22
0,cfs_iamb,8,0.8484567901234568,189,22
0,cfs_hiton_mb,8,0.8493827160493826,189,22
0,cfs_cg,8,0.8552469135802468,189,22
0,vanilla,10,0.8956790123456789,189,22
0,causal,10,0.8916666666666667,189,22
0,iamb_soft_cg,10,0.8895061728395062,189,22
0,iamb_soft_fz,10,0.8910493827160494,189,22
0,cfs_iamb,10,0.8484567901234568,189,22
0,cfs_hiton_mb,10,0.8493827160493826,189,22
0,cfs_cg,10,0.8552469135802468,189,22
1,vanilla,2,0.8225308641975309,189,22
1,causal,2,0.8225308641975309,189,22
1,iamb_soft_cg,2,0.8225308641975309,189,22
1,iamb_soft_fz,2,0.8225308641975309,189,22
1,cfs_iamb,2,0.7796296296296297,189,22
1,cfs_hiton_mb,2,0.8410493827160492,189,22
1,cfs_cg,2,0.8481481481481481,189,22
1,vanilla,4,0.9009259259259259,189,22
1,causal,4,0.9009259259259259,189,22
1,iamb_soft_cg,4,0.9009259259259259,189,22
1,iamb_soft_fz,4,0.9009259259259259,189,22
1,cfs_iamb,4,0.8358024691358025,189,22
1,cfs_hiton_mb,4,0.8472222222222222,189,22
1,cfs_cg,4,0.8595679012345678,189,22
1,vanilla,6,0.908641975308642,189,22
1,causal,6,0.908641975308642,189,22
1,iamb_soft_cg,6,0.9111111111111111,189,22
1,iamb_soft_fz,6,0.908641975308642,189,22
1,cfs_iamb,6,0.8546296296296296,189,22
1,cfs_hiton_mb,6,0.869753086419753,189,22
1,cfs_cg,6,0.8595679012345678,189,22
1,vanilla,8,0.924074074074074,189,22
1,causal,8,0.924074074074074,189,22
1,iamb_soft_cg,8,0.9401234567901235,189,22
1,iamb_soft_fz,8,0.924074074074074,189,22
1,cfs_iamb,8,0.8901234567901235,189,22
1,cfs_hiton_mb,8,0.8737654320987654,189,22
1,cfs_cg,8,0.8595679012345678,189,22
1,vanilla,10,0.9256172839506173,189,22
1,causal,10,0.9256172839506173,189,22
1,iamb_soft_cg,10,0.9373456790123457,189,22
1,iamb_soft_fz,10,0.9256172839506173,189,22
1,cfs_iamb,10,0.8879629629629631,189,22
1,cfs_hiton_mb,10,0.8737654320987654,189,22
1,cfs_cg,10,0.8595679012345678,189,22
2,vanilla,2,0.8111111111111111,189,22
2,causal,2,0.8111111111111111,189,22
2,iamb_soft_cg,2,0.8111111111111111,189,22
2,iamb_soft_fz,2,0.8111111111111111,189,22
2,cfs_iamb,2,0.8851851851851853,189,22
2,cfs_hiton_mb,2,0.8851851851851853,189,22
2,cfs_cg,2,0.8376543209876542,189,22
2,vanilla,4,0.9064814814814814,189,22
2,causal,4,0.891358024691358,189,22
2,iamb_soft_cg,4,0.9064814814814814,189,22
2,iamb_soft_fz,4,0.9064814814814814,189,22
2,cfs_iamb,4,0.858641975308642,189,22
2,cfs_hiton_mb,4,0.858641975308642,189,22
2,cfs_cg,4,0.8617283950617284,189,22
2,vanilla,6,0.8802469135802469,189,22
2,causal,6,0.8925925925925926,189,22
2,iamb_soft_cg,6,0.8802469135802469,189,22
2,iamb_soft_fz,6,0.8962962962962961,189,22
2,cfs_iamb,6,0.8876543209876543,189,22
2,cfs_hiton_mb,6,0.8876543209876543,189,22
2,cfs_cg,6,0.8617283950617284,189,22
2,vanilla,8,0.8617283950617284,189,22
2,causal,8,0.8833333333333333,189,22
2,iamb_soft_cg,8,0.8617283950617284,189,22
2,iamb_soft_fz,8,0.8645061728395061,189,22
2,cfs_iamb,8,0.8907407407407408,189,22
2,cfs_hiton_mb,8,0.8953703703703704,189,22
2,cfs_cg,8,0.8617283950617284,189,22
2,vanilla,10,0.8475308641975308,189,22
2,causal,10,0.8901234567901235,189,22
2,iamb_soft_cg,10,0.8475308641975308,189,22
2,iamb_soft_fz,10,0.8737654320987653,189,22
2,cfs_iamb,10,0.9015432098765432,189,22
2,cfs_hiton_mb,10,0.8990740740740741,189,22
2,cfs_cg,10,0.8617283950617284,189,22
3,vanilla,2,0.8395061728395061,189,22
3,causal,2,0.8395061728395061,189,22
3,iamb_soft_cg,2,0.8395061728395061,189,22
3,iamb_soft_fz,2,0.8648148148148148,189,22
3,cfs_iamb,2,0.8712962962962962,189,22
3,cfs_hiton_mb,2,0.8712962962962962,189,22
3,cfs_cg,2,0.8978395061728395,189,22
3,vanilla,4,0.9330246913580248,189,22
3,causal,4,0.9330246913580248,189,22
3,iamb_soft_cg,4,0.9537037037037037,189,22
3,iamb_soft_fz,4,0.8858024691358024,189,22
3,cfs_iamb,4,0.8907407407407407,189,22
3,cfs_hiton_mb,4,0.9104938271604939,189,22
3,cfs_cg,4,0.9169753086419753,189,22
3,vanilla,6,0.9280864197530864,189,22
3,causal,6,0.9280864197530864,189,22
3,iamb_soft_cg,6,0.9376543209876543,189,22
3,iamb_soft_fz,6,0.9185185185185185,189,22
3,cfs_iamb,6,0.9395061728395062,189,22
3,cfs_hiton_mb,6,0.9462962962962963,189,22
3,cfs_cg,6,0.9169753086419753,189,22
3,vanilla,8,0.9135802469135802,189,22
3,causal,8,0.9135802469135802,189,22
3,iamb_soft_cg,8,0.9447530864197531,189,22
3,iamb_soft_fz,8,0.9157407407407407,189,22
3,cfs_iamb,8,0.9373456790123457,189,22
3,cfs_hiton_mb,8,0.9376543209876543,189,22
3,cfs_cg,8,0.9169753086419753,189,22
3,vanilla,10,0.9395061728395062,189,22
3,causal,10,0.9395061728395062,189,22
3,iamb_soft_cg,10,0.9370370370370371,189,22
3,iamb_soft_fz,10,0.9182098765432098,189,22
3,cfs_iamb,10,0.9373456790123457,189,22
3,cfs_hiton_mb,10,0.9376543209876543,189,22
3,cfs_cg,10,0.9169753086419753,189,22
4,vanilla,2,0.8265432098765433,189,22
4,causal,2,0.8435185185185183,189,22
4,iamb_soft_cg,2,0.8265432098765433,189,22
4,iamb_soft_fz,2,0.8435185185185183,189,22
4,cfs_iamb,2,0.8120370370370369,189,22
4,cfs_hiton_mb,2,0.8120370370370369,189,22
4,cfs_cg,2,0.8459876543209877,189,22
4,vanilla,4,0.9095679012345679,189,22
4,causal,4,0.9095679012345679,189,22
4,iamb_soft_cg,4,0.9089506172839505,189,22
4,iamb_soft_fz,4,0.8885802469135803,189,22
4,cfs_iamb,4,0.8641975308641976,189,22
4,cfs_hiton_mb,4,0.8641975308641976,189,22
4,cfs_cg,4,0.8669753086419754,189,22
4,vanilla,6,0.9339506172839506,189,22
4,causal,6,0.9280864197530864,189,22
4,iamb_soft_cg,6,0.9209876543209876,189,22
4,iamb_soft_fz,6,0.9194444444444445,189,22
4,cfs_iamb,6,0.869753086419753,189,22
4,cfs_hiton_mb,6,0.8700617283950616,189,22
4,cfs_cg,6,0.8669753086419754,189,22
4,vanilla,8,0.9271604938271605,189,22
4,causal,8,0.9231481481481482,189,22
4,iamb_soft_cg,8,0.9222222222222222,189,22
4,iamb_soft_fz,8,0.9145061728395061,189,22
4,cfs_iamb,8,0.869753086419753,189,22
4,cfs_hiton_mb,8,0.8811728395061728,189,22
4,cfs_cg,8,0.8669753086419754,189,22
4,vanilla,10,0.9438271604938271,189,22
4,causal,10,0.9154320987654321,189,22
4,iamb_soft_cg,10,0.9302469135802469,189,22
4,iamb_soft_fz,10,0.9138888888888889,189,22
4,cfs_iamb,10,0.869753086419753,189,22
4,cfs_hiton_mb,10,0.8811728395061728,189,22
4,cfs_cg,10,0.8669753086419754,189,22
5,vanilla,2,0.7848765432098765,189,22
5,causal,2,0.7848765432098765,189,22
5,iamb_soft_cg,2,0.7848765432098765,189,22
5,iamb_soft_fz,2,0.7848765432098765,189,22
5,cfs_iamb,2,0.7537037037037038,189,22
5,cfs_hiton_mb,2,0.7537037037037038,189,22
5,cfs_cg,2,0.8188271604938272,189,22
5,vanilla,4,0.8342592592592594,189,22
5,causal,4,0.8518518518518519,189,22
5,iamb_soft_cg,4,0.8342592592592594,189,22
5,iamb_soft_fz,4,0.8231481481481481,189,22
5,cfs_iamb,4,0.7885802469135803,189,22
5,cfs_hiton_mb,4,0.7839506172839508,189,22
5,cfs_cg,4,0.828395061728395,189,22
5,vanilla,6,0.8370370370370369,189,22
5,causal,6,0.8537037037037035,189,22
5,iamb_soft_cg,6,0.8462962962962963,189,22
5,iamb_soft_fz,6,0.8070987654320987,189,22
5,cfs_iamb,6,0.8015432098765433,189,22
5,cfs_hiton_mb,6,0.7993827160493826,189,22
5,cfs_cg,6,0.828395061728395,189,22
5,vanilla,8,0.8441358024691358,189,22
5,causal,8,0.8462962962962962,189,22
5,iamb_soft_cg,8,0.8679012345679012,189,22
5,iamb_soft_fz,8,0.8243827160493826,189,22
5,cfs_iamb,8,0.8216049382716049,189,22
5,cfs_hiton_mb,8,0.8129629629629629,189,22
5,cfs_cg,8,0.828395061728395,189,22
5,vanilla,10,0.8712962962962962,189,22
5,causal,10,0.8373456790123457,189,22
5,iamb_soft_cg,10,0.8657407407407407,189,22
5,iamb_soft_fz,10,0.8271604938271604,189,22
5,cfs_iamb,10,0.8200617283950616,189,22
5,cfs_hiton_mb,10,0.8129629629629629,189,22
5,cfs_cg,10,0.828395061728395,189,22
6,vanilla,2,0.8379629629629629,189,22
6,causal,2,0.8379629629629629,189,22
6,iamb_soft_cg,2,0.8379629629629629,189,22
6,iamb_soft_fz,2,0.8379629629629629,189,22
6,cfs_iamb,2,0.7870370370370372,189,22
6,cfs_hiton_mb,2,0.7870370370370372,189,22
6,cfs_cg,2,0.8475308641975308,189,22
6,vanilla,4,0.8700617283950617,189,22
6,causal,4,0.901543209876543,189,22
6,iamb_soft_cg,4,0.8944444444444445,189,22
6,iamb_soft_fz,4,0.845679012345679,189,22
6,cfs_iamb,4,0.826851851851852,189,22
6,cfs_hiton_mb,4,0.826851851851852,189,22
6,cfs_cg,4,0.8509259259259259,189,22
6,vanilla,6,0.8984567901234568,189,22
6,causal,6,0.8925925925925926,189,22
6,iamb_soft_cg,6,0.8833333333333333,189,22
6,iamb_soft_fz,6,0.8666666666666667,189,22
6,cfs_iamb,6,0.845679012345679,189,22
6,cfs_hiton_mb,6,0.8219135802469135,189,22
6,cfs_cg,6,0.8509259259259259,189,22
6,vanilla,8,0.8719135802469136,189,22
6,causal,8,0.8709876543209877,189,22
6,iamb_soft_cg,8,0.9015432098765432,189,22
6,iamb_soft_fz,8,0.8703703703703703,189,22
6,cfs_iamb,8,0.861111111111111,189,22
6,cfs_hiton_mb,8,0.8305555555555555,189,22
6,cfs_cg,8,0.8509259259259259,189,22
6,vanilla,10,0.8577160493827161,189,22
6,causal,10,0.8753086419753087,189,22
6,iamb_soft_cg,10,0.903395061728395,189,22
6,iamb_soft_fz,10,0.8567901234567902,189,22
6,cfs_iamb,10,0.861111111111111,189,22
6,cfs_hiton_mb,10,0.8305555555555555,189,22
6,cfs_cg,10,0.8509259259259259,189,22
7,vanilla,2,0.8145061728395061,189,22
7,causal,2,0.8145061728395061,189,22
7,iamb_soft_cg,2,0.8145061728395061,189,22
7,iamb_soft_fz,2,0.8145061728395061,189,22
7,cfs_iamb,2,0.7925925925925925,189,22
7,cfs_hiton_mb,2,0.7925925925925925,189,22
7,cfs_cg,2,0.8333333333333333,189,22
7,vanilla,4,0.8777777777777779,189,22
7,causal,4,0.8777777777777779,189,22
7,iamb_soft_cg,4,0.8725308641975309,189,22
7,iamb_soft_fz,4,0.8462962962962963,189,22
7,cfs_iamb,4,0.8194444444444444,189,22
7,cfs_hiton_mb,4,0.8194444444444444,189,22
7,cfs_cg,4,0.8450617283950617,189,22
7,vanilla,6,0.8756172839506173,189,22
7,causal,6,0.8796296296296297,189,22
7,iamb_soft_cg,6,0.8762345679012346,189,22
7,iamb_soft_fz,6,0.8703703703703703,189,22
7,cfs_iamb,6,0.855246913580247,189,22
7,cfs_hiton_mb,6,0.8373456790123457,189,22
7,cfs_cg,6,0.8450617283950617,189,22
7,vanilla,8,0.8629629629629629,189,22
7,causal,8,0.8820987654320988,189,22
7,iamb_soft_cg,8,0.8777777777777778,189,22
7,iamb_soft_fz,8,0.8753086419753086,189,22
7,cfs_iamb,8,0.8688271604938271,189,22
7,cfs_hiton_mb,8,0.837037037037037,189,22
7,cfs_cg,8,0.8450617283950617,189,22
7,vanilla,10,0.8774691358024692,189,22
7,causal,10,0.8820987654320986,189,22
7,iamb_soft_cg,10,0.8691358024691358,189,22
7,iamb_soft_fz,10,0.8765432098765431,189,22
7,cfs_iamb,10,0.8688271604938272,189,22
7,cfs_hiton_mb,10,0.837037037037037,189,22
7,cfs_cg,10,0.8450617283950617,189,22
8,vanilla,2,0.8379629629629629,189,22
8,causal,2,0.8379629629629629,189,22
8,iamb_soft_cg,2,0.8379629629629629,189,22
8,iamb_soft_fz,2,0.8379629629629629,189,22
8,cfs_iamb,2,0.7888888888888889,189,22
8,cfs_hiton_mb,2,0.7888888888888889,189,22
8,cfs_cg,2,0.854320987654321,189,22
8,vanilla,4,0.9058641975308641,189,22
8,causal,4,0.9058641975308641,189,22
8,iamb_soft_cg,4,0.9058641975308641,189,22
8,iamb_soft_fz,4,0.8719135802469136,189,22
8,cfs_iamb,4,0.8098765432098766,189,22
8,cfs_hiton_mb,4,0.8098765432098766,189,22
8,cfs_cg,4,0.8595679012345678,189,22
8,vanilla,6,0.9148148148148149,189,22
8,causal,6,0.9135802469135803,189,22
8,iamb_soft_cg,6,0.9151234567901234,189,22
8,iamb_soft_fz,6,0.8743827160493828,189,22
8,cfs_iamb,6,0.8558641975308642,189,22
8,cfs_hiton_mb,6,0.8345679012345679,189,22
8,cfs_cg,6,0.8552469135802468,189,22
8,vanilla,8,0.8910493827160494,189,22
8,causal,8,0.8975308641975308,189,22
8,iamb_soft_cg,8,0.9058641975308642,189,22
8,iamb_soft_fz,8,0.8737654320987653,189,22
8,cfs_iamb,8,0.8342592592592593,189,22
8,cfs_hiton_mb,8,0.8268518518518518,189,22
8,cfs_cg,8,0.8552469135802468,189,22
8,vanilla,10,0.8919753086419755,189,22
8,causal,10,0.8941358024691358,189,22
8,iamb_soft_cg,10,0.903395061728395,189,22
8,iamb_soft_fz,10,0.8824074074074074,189,22
8,cfs_iamb,10,0.8342592592592593,189,22
8,cfs_hiton_mb,10,0.8268518518518518,189,22
8,cfs_cg,10,0.8552469135802468,189,22
9,vanilla,2,0.7685185185185185,189,22
9,causal,2,0.7685185185185185,189,22
9,iamb_soft_cg,2,0.7685185185185185,189,22
9,iamb_soft_fz,2,0.7904320987654321,189,22
9,cfs_iamb,2,0.6049382716049383,189,22
9,cfs_hiton_mb,2,0.8327160493827162,189,22
9,cfs_cg,2,0.6981481481481482,189,22
9,vanilla,4,0.8540123456790123,189,22
9,causal,4,0.8540123456790123,189,22
9,iamb_soft_cg,4,0.8540123456790123,189,22
9,iamb_soft_fz,4,0.8611111111111112,189,22
9,cfs_iamb,4,0.8188271604938272,189,22
9,cfs_hiton_mb,4,0.8188271604938272,189,22
9,cfs_cg,4,0.7617283950617283,189,22
9,vanilla,6,0.8888888888888888,189,22
9,causal,6,0.8848765432098766,189,22
9,iamb_soft_cg,6,0.887962962962963,189,22
9,iamb_soft_fz,6,0.8962962962962963,189,22
9,cfs_iamb,6,0.8398148148148148,189,22
9,cfs_hiton_mb,6,0.8395061728395061,189,22
9,cfs_cg,6,0.7617283950617283,189,22
9,vanilla,8,0.8978395061728396,189,22
9,causal,8,0.8895061728395062,189,22
9,iamb_soft_cg,8,0.8910493827160494,189,22
9,iamb_soft_fz,8,0.8962962962962964,189,22
9,cfs_iamb,8,0.8398148148148148,189,22
9,cfs_hiton_mb,8,0.8422839506172839,189,22
9,cfs_cg,8,0.7617283950617283,189,22
9,vanilla,10,0.9055555555555556,189,22
9,causal,10,0.8898148148148148,189,22
9,iamb_soft_cg,10,0.8996913580246914,189,22
9,iamb_soft_fz,10,0.8929012345679013,189,22
9,cfs_iamb,10,0.8398148148148148,189,22
9,cfs_hiton_mb,10,0.8422839506172839,189,22
9,cfs_cg,10,0.7617283950617283,189,22
10,vanilla,2,0.8333333333333333,189,22
10,causal,2,0.8333333333333333,189,22
10,iamb_soft_cg,2,0.8333333333333333,189,22
10,iamb_soft_fz,2,0.8722222222222222,189,22
10,cfs_iamb,2,0.8870370370370371,189,22
10,cfs_hiton_mb,2,0.8870370370370371,189,22
10,cfs_cg,2,0.8691358024691358,189,22
10,vanilla,4,0.9262345679012345,189,22
10,causal,4,0.9262345679012345,189,22
10,iamb_soft_cg,4,0.9262345679012345,189,22
10,iamb_soft_fz,4,0.9327160493827161,189,22
10,cfs_iamb,4,0.8891975308641976,189,22
10,cfs_hiton_mb,4,0.8891975308641976,189,22
10,cfs_cg,4,0.9129629629629629,189,22
10,vanilla,6,0.9209876543209877,189,22
10,causal,6,0.9231481481481482,189,22
10,iamb_soft_cg,6,0.9358024691358026,189,22
10,iamb_soft_fz,6,0.9277777777777777,189,22
10,cfs_iamb,6,0.9074074074074073,189,22
10,cfs_hiton_mb,6,0.8993827160493827,189,22
