rep,arm,k,auc,n,p
0,vanilla,2,0.64928,408,11
0,causal,2,0.64928,408,11
0,iamb_soft_cg,2,0.64928,408,11
0,iamb_soft_fz,2,0.64928,408,11
0,cfs_iamb,2,0.5227999999999999,408,11
0,cfs_hiton_mb,2,0.5227999999999999,408,11
0,cfs_cg,2,0.64928,408,11
0,vanilla,4,0.6808799999999999,408,11
0,causal,4,0.6808799999999999,408,11
0,iamb_soft_cg,4,0.6808799999999999,408,11
0,iamb_soft_fz,4,0.6808799999999999,408,11
0,cfs_iamb,4,0.54616,408,11
0,cfs_hiton_mb,4,0.54616,408,11
0,cfs_cg,4,0.69824,408,11
0,vanilla,6,0.6744,408,11
0,causal,6,0.6744,408,11
0,iamb_soft_cg,6,0.6859999999999999,408,11
0,iamb_soft_fz,6,0.6744,408,11
0,cfs_iamb,6,0.54616,408,11
0,cfs_hiton_mb,6,0.54616,408,11
0,cfs_cg,6,0.70448,408,11
0,vanilla,8,0.6666399999999999,408,11
0,causal,8,0.6666399999999999,408,11
0,iamb_soft_cg,8,0.6808799999999999,408,11
0,iamb_soft_fz,8,0.6666399999999999,408,11
0,cfs_iamb,8,0.54616,408,11
0,cfs_hiton_mb,8,0.54616,408,11
0,cfs_cg,8,0.69792,408,11
0,vanilla,10,0.67232,408,11
0,causal,10,0.6771999999999999,408,11
0,iamb_soft_cg,10,0.6771999999999999,408,11
0,iamb_soft_fz,10,0.67232,408,11
0,cfs_iamb,10,0.54616,408,11
0,cfs_hiton_mb,10,0.54616,408,11
0,cfs_cg,10,0.7135199999999999,408,11
1,vanilla,2,0.6996000000000001,408,11
1,causal,2,0.6996000000000001,408,11
1,iamb_soft_cg,2,0.6996000000000001,408,11
1,iamb_soft_fz,2,0.6996000000000001,408,11
1,cfs_iamb,2,0.5749599999999999,408,11
1,cfs_hiton_mb,2,0.5749599999999999,408,11
1,cfs_cg,2,0.6996000000000001,408,11
1,vanilla,4,0.73504,408,11
1,causal,4,0.73504,408,11
1,iamb_soft_cg,4,0.73504,408,11
1,iamb_soft_fz,4,0.728,408,11
1,cfs_iamb,4,0.5757599999999999,408,11
1,cfs_hiton_mb,4,0.5757599999999999,408,11
1,cfs_cg,4,0.7234400000000001,408,11
1,vanilla,6,0.74328,408,11
1,causal,6,0.73992,408,11
1,iamb_soft_cg,6,0.73992,408,11
1,iamb_soft_fz,6,0.7187199999999999,408,11
1,cfs_iamb,6,0.58544,408,11
1,cfs_hiton_mb,6,0.58544,408,11
1,cfs_cg,6,0.7181600000000001,408,11
1,vanilla,8,0.7395200000000001,408,11
1,causal,8,0.73912,408,11
1,iamb_soft_cg,8,0.73912,408,11
1,iamb_soft_fz,8,0.7401599999999999,408,11
1,cfs_iamb,8,0.58544,408,11
1,cfs_hiton_mb,8,0.58544,408,11
1,cfs_cg,8,0.7296,408,11
1,vanilla,10,0.7444,408,11
1,causal,10,0.724,408,11
1,iamb_soft_cg,10,0.724,408,11
1,iamb_soft_fz,10,0.74144,408,11
1,cfs_iamb,10,0.58544,408,11
1,cfs_hiton_mb,10,0.58544,408,11
1,cfs_cg,10,0.7105600000000001,408,11
2,vanilla,2,0.68016,408,11
2,causal,2,0.68016,408,11
2,iamb_soft_cg,2,0.68016,408,11
2,iamb_soft_fz,2,0.68016,408,11
2,cfs_iamb,2,0.5760799999999999,408,11
2,cfs_hiton_mb,2,0.5760799999999999,408,11
2,cfs_cg,2,0.68016,408,11
2,vanilla,4,0.6920000000000001,408,11
2,causal,4,0.6920000000000001,408,11
2,iamb_soft_cg,4,0.69112,408,11
2,iamb_soft_fz,4,0.6920000000000001,408,11
2,cfs_iamb,4,0.5806399999999999,408,11
2,cfs_hiton_mb,4,0.5806399999999999,408,11
2,cfs_cg,4,0.69112,408,11
2,vanilla,6,0.69528,408,11
2,causal,6,0.69528,408,11
2,iamb_soft_cg,6,0.7118399999999999,408,11
2,iamb_soft_fz,6,0.68952,408,11
2,cfs_iamb,6,0.5815199999999999,408,11
2,cfs_hiton_mb,6,0.5815199999999999,408,11
2,cfs_cg,6,0.7118399999999999,408,11
2,vanilla,8,0.68416,408,11
2,causal,8,0.68416,408,11
2,iamb_soft_cg,8,0.7192000000000001,408,11
2,iamb_soft_fz,8,0.69328,408,11
2,cfs_iamb,8,0.5815199999999999,408,11
2,cfs_hiton_mb,8,0.5815199999999999,408,11
2,cfs_cg,8,0.7192000000000001,408,11
2,vanilla,10,0.692,408,11
2,causal,10,0.692,408,11
2,iamb_soft_cg,10,0.7128000000000001,408,11
2,iamb_soft_fz,10,0.6911999999999999,408,11
2,cfs_iamb,10,0.5815199999999999,408,11
2,cfs_hiton_mb,10,0.5815199999999999,408,11
2,cfs_cg,10,0.7128000000000001,408,11
3,vanilla,2,0.64144,408,11
3,causal,2,0.64144,408,11
3,iamb_soft_cg,2,0.64144,408,11
3,iamb_soft_fz,2,0.64144,408,11
3,cfs_iamb,2,0.50272,408,11
3,cfs_hiton_mb,2,0.50272,408,11
3,cfs_cg,2,0.64144,408,11
3,vanilla,4,0.65248,408,11
3,causal,4,0.65248,408,11
3,iamb_soft_cg,4,0.65248,408,11
3,iamb_soft_fz,4,0.65248,408,11
3,cfs_iamb,4,0.52576,408,11
3,cfs_hiton_mb,4,0.52576,408,11
3,cfs_cg,4,0.65248,408,11
3,vanilla,6,0.6852,408,11
3,causal,6,0.67064,408,11
3,iamb_soft_cg,6,0.67064,408,11
3,iamb_soft_fz,6,0.6492,408,11
3,cfs_iamb,6,0.52576,408,11
3,cfs_hiton_mb,6,0.52576,408,11
3,cfs_cg,6,0.67064,408,11
3,vanilla,8,0.6619200000000001,408,11
3,causal,8,0.65272,408,11
3,iamb_soft_cg,8,0.65272,408,11
3,iamb_soft_fz,8,0.64808,408,11
3,cfs_iamb,8,0.52576,408,11
3,cfs_hiton_mb,8,0.52576,408,11
3,cfs_cg,8,0.65272,408,11
3,vanilla,10,0.676,408,11
3,causal,10,0.67032,408,11
3,iamb_soft_cg,10,0.6622399999999999,408,11
3,iamb_soft_fz,10,0.65072,408,11
3,cfs_iamb,10,0.52576,408,11
3,cfs_hiton_mb,10,0.52576,408,11
3,cfs_cg,10,0.6622399999999999,408,11
4,vanilla,2,0.73336,408,11
4,causal,2,0.73336,408,11
4,iamb_soft_cg,2,0.73336,408,11
4,iamb_soft_fz,2,0.73336,408,11
4,cfs_iamb,2,0.58728,408,11
4,cfs_hiton_mb,2,0.58728,408,11
4,cfs_cg,2,0.73336,408,11
4,vanilla,4,0.72824,408,11
4,causal,4,0.72824,408,11
4,iamb_soft_cg,4,0.77352,408,11
4,iamb_soft_fz,4,0.72824,408,11
4,cfs_iamb,4,0.6170399999999999,408,11
4,cfs_hiton_mb,4,0.6170399999999999,408,11
4,cfs_cg,4,0.7780800000000001,408,11
4,vanilla,6,0.75056,408,11
4,causal,6,0.75056,408,11
4,iamb_soft_cg,6,0.7788,408,11
4,iamb_soft_fz,6,0.75664,408,11
4,cfs_iamb,6,0.6181599999999999,408,11
4,cfs_hiton_mb,6,0.6181599999999999,408,11
4,cfs_cg,6,0.7798400000000001,408,11
4,vanilla,8,0.75368,408,11
4,causal,8,0.7641600000000001,408,11
4,iamb_soft_cg,8,0.7799200000000001,408,11
4,iamb_soft_fz,8,0.7556,408,11
4,cfs_iamb,8,0.6181599999999999,408,11
4,cfs_hiton_mb,8,0.6181599999999999,408,11
4,cfs_cg,8,0.7784,408,11
4,vanilla,10,0.7498400000000001,408,11
4,causal,10,0.7599199999999999,408,11
4,iamb_soft_cg,10,0.772,408,11
4,iamb_soft_fz,10,0.7510399999999999,408,11
4,cfs_iamb,10,0.6181599999999999,408,11
4,cfs_hiton_mb,10,0.6181599999999999,408,11
4,cfs_cg,10,0.776,408,11
5,vanilla,2,0.7420000000000001,408,11
5,causal,2,0.7420000000000001,408,11
5,iamb_soft_cg,2,0.7420000000000001,408,11
5,iamb_soft_fz,2,0.7420000000000001,408,11
5,cfs_iamb,2,0.5750400000000001,408,11
5,cfs_hiton_mb,2,0.5750400000000001,408,11
5,cfs_cg,2,0.7420000000000001,408,11
5,vanilla,4,0.68992,408,11
5,causal,4,0.68992,408,11
5,iamb_soft_cg,4,0.75408,408,11
5,iamb_soft_fz,4,0.68992,408,11
5,cfs_iamb,4,0.5804799999999999,408,11
