rep,arm,k,auc,n,p
0,vanilla,2,0.7919789864821578,581,11
0,causal,2,0.7919789864821578,581,11
0,iamb_soft_cg,2,0.7919789864821578,581,11
0,iamb_soft_fz,2,0.7919789864821578,581,11
0,cfs_iamb,2,0.7901210839900057,581,11
0,cfs_hiton_mb,2,0.7901210839900057,581,11
0,cfs_cg,2,0.8026138766096483,581,11
0,vanilla,4,0.8402203856749312,581,11
0,causal,4,0.8402203856749312,581,11
0,iamb_soft_cg,4,0.83970786084951,581,11
0,iamb_soft_fz,4,0.8402203856749312,581,11
0,cfs_iamb,4,0.8032865654430135,581,11
0,cfs_hiton_mb,4,0.793580626561599,581,11
0,cfs_cg,4,0.8025498110064706,581,11
0,vanilla,6,0.8386828111986675,581,11
0,causal,6,0.8386828111986675,581,11
0,iamb_soft_cg,6,0.8386828111986675,581,11
0,iamb_soft_fz,6,0.8386828111986675,581,11
0,cfs_iamb,6,0.7993465308475878,581,11
0,cfs_hiton_mb,6,0.793580626561599,581,11
0,cfs_cg,6,0.8025498110064706,581,11
0,vanilla,8,0.8484528156832596,581,11
0,causal,8,0.8484528156832596,581,11
0,iamb_soft_cg,8,0.8484528156832596,581,11
0,iamb_soft_fz,8,0.841373566532129,581,11
0,cfs_iamb,8,0.7993465308475878,581,11
0,cfs_hiton_mb,8,0.793580626561599,581,11
0,cfs_cg,8,0.8025498110064706,581,11
0,vanilla,10,0.8458901915561535,581,11
0,causal,10,0.84598628996092,581,11
0,iamb_soft_cg,10,0.8460183227625088,581,11
0,iamb_soft_fz,10,0.8458901915561535,581,11
0,cfs_iamb,10,0.7993465308475878,581,11
0,cfs_hiton_mb,10,0.793580626561599,581,11
0,cfs_cg,10,0.8025498110064706,581,11
1,vanilla,2,0.8161957844833109,581,11
1,causal,2,0.8161957844833109,581,11
1,iamb_soft_cg,2,0.8161957844833109,581,11
1,iamb_soft_fz,2,0.8161957844833109,581,11
1,cfs_iamb,2,0.7946056762124416,581,11
1,cfs_hiton_mb,2,0.7946056762124416,581,11
1,cfs_cg,2,0.8003395476968416,581,11
1,vanilla,4,0.8318598244602473,581,11
1,causal,4,0.8393234672304439,581,11
1,iamb_soft_cg,4,0.8318598244602473,581,11
1,iamb_soft_fz,4,0.8318598244602473,581,11
1,cfs_iamb,4,0.8035428278557244,581,11
1,cfs_hiton_mb,4,0.7938368889743097,581,11
1,cfs_cg,4,0.8035107950541354,581,11
1,vanilla,6,0.8401563200717536,581,11
1,causal,6,0.8483246844769043,581,11
1,iamb_soft_cg,6,0.8386507783970786,581,11
1,iamb_soft_fz,6,0.8401563200717536,581,11
1,cfs_iamb,6,0.7964956115061824,581,11
1,cfs_hiton_mb,6,0.7938368889743097,581,11
1,cfs_cg,6,0.8035107950541354,581,11
1,vanilla,8,0.8434877314369915,581,11
1,causal,8,0.8459222243577423,581,11
1,iamb_soft_cg,8,0.8419501569607277,581,11
1,iamb_soft_fz,8,0.8434877314369915,581,11
1,cfs_iamb,8,0.7964956115061824,581,11
1,cfs_hiton_mb,8,0.7938368889743097,581,11
1,cfs_cg,8,0.8035107950541354,581,11
1,vanilla,10,0.844160420270357,581,11
1,causal,10,0.8457300275482094,581,11
1,iamb_soft_cg,10,0.8423665833813825,581,11
1,iamb_soft_fz,10,0.844160420270357,581,11
1,cfs_iamb,10,0.7964956115061824,581,11
1,cfs_hiton_mb,10,0.7938368889743097,581,11
1,cfs_cg,10,0.8035107950541354,581,11
2,vanilla,2,0.8142417835863924,581,11
2,causal,2,0.8142417835863924,581,11
2,iamb_soft_cg,2,0.8142417835863924,581,11
2,iamb_soft_fz,2,0.8142417835863924,581,11
2,cfs_iamb,2,0.7999871868793644,581,11
2,cfs_hiton_mb,2,0.7999871868793644,581,11
2,cfs_cg,2,0.8142417835863924,581,11
2,vanilla,4,0.860048689858415,581,11
2,causal,4,0.860048689858415,581,11
2,iamb_soft_cg,4,0.860048689858415,581,11
2,iamb_soft_fz,4,0.84653084758793,581,11
