arm,member,nfeat,q_mass,auc,support
vanilla,0,10,0.31199999999999994,0.7716801594220949,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8"", ""x9""]"
vanilla,1,10,0.31199999999999994,0.7715668202764977,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8"", ""x9""]"
vanilla,2,10,0.357,0.773568730020343,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,3,10,0.31199999999999994,0.7705828870345,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8"", ""x9""]"
vanilla,4,10,0.31199999999999994,0.7704541869057998,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8"", ""x9""]"
vanilla,5,10,0.33099999999999996,0.7700855233113296,"[""x1"", ""x10"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,6,10,0.357,0.7734686760493212,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,7,10,0.31199999999999994,0.7693000373645534,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8"", ""x9""]"
vanilla,8,10,0.371,0.7692385934321417,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,9,10,0.371,0.7686681612488062,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,10,10,0.349,0.7707099265163782,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9""]"
vanilla,11,10,0.313,0.7731631170340848,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,12,10,0.368,0.7703449993772574,"[""x1"", ""x10"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
vanilla,13,10,0.31799999999999995,0.7691082326566199,"[""x1"", ""x15"", ""x17"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,14,10,0.313,0.7733341636567443,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,15,10,0.31199999999999994,0.7712629219080832,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8"", ""x9""]"
