seed,p,n,k_star,p_edge,K,parent_size,q_name,mu_rel,mu,k_exact,k_beam,beam_match,jaccard,map_in_pool,pool_size,obj_gap,exact_is_Sstar,beam_recovers_Sstar,S_exact,S_beam
0,30,300,5,0.2,5,10,vanilla,0.0,0.0,5,5,0,0.6666666666666666,0,1,0.8152652001765013,0,0,"[2, 10, 16, 17, 27]","[2, 7, 10, 16, 17]"
0,30,300,5,0.2,5,50,vanilla,0.0,0.0,5,5,0,0.6666666666666666,0,1,0.8152652001765013,0,0,"[2, 10, 16, 17, 27]","[2, 7, 10, 16, 17]"
0,30,300,5,0.2,5,100,vanilla,0.0,0.0,5,5,0,0.6666666666666666,0,1,0.8152652001765013,0,0,"[2, 10, 16, 17, 27]","[2, 7, 10, 16, 17]"
0,30,300,5,0.2,5,10,oracle@0.5,0.5,132.4605439936636,5,5,0,0.6666666666666666,1,2,130.11143674459686,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,50,oracle@0.5,0.5,132.4605439936636,5,5,0,0.6666666666666666,1,2,130.11143674459686,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,100,oracle@0.5,0.5,132.4605439936636,5,5,0,0.6666666666666666,1,2,130.11143674459686,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,10,ges@0.5,0.5,132.4605439936636,5,5,0,0.6666666666666666,1,2,26.792212429539234,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,50,ges@0.5,0.5,132.4605439936636,5,5,0,0.6666666666666666,1,2,26.792212429539234,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,100,ges@0.5,0.5,132.4605439936636,5,5,0,0.6666666666666666,1,2,26.792212429539234,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,10,oracle@2.0,2.0,529.8421759746544,5,5,0,0.6666666666666666,1,2,527.4930687255878,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,50,oracle@2.0,2.0,529.8421759746544,5,5,0,0.6666666666666666,1,2,527.4930687255878,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,100,oracle@2.0,2.0,529.8421759746544,5,5,0,0.6666666666666666,1,2,527.4930687255878,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,10,ges@2.0,2.0,529.8421759746544,5,5,0,0.6666666666666666,1,2,114.21617146535709,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,50,ges@2.0,2.0,529.8421759746544,5,5,0,0.6666666666666666,1,2,114.21617146535709,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
0,30,300,5,0.2,5,100,ges@2.0,2.0,529.8421759746544,5,5,0,0.6666666666666666,1,2,114.21617146535709,1,0,"[2, 10, 17, 21, 22]","[2, 10, 17, 18, 22]"
1,30,300,5,0.2,5,10,vanilla,0.0,0.0,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,50,vanilla,0.0,0.0,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,100,vanilla,0.0,0.0,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,10,oracle@0.5,0.5,64.47632590015573,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,50,oracle@0.5,0.5,64.47632590015573,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,100,oracle@0.5,0.5,64.47632590015573,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,10,ges@0.5,0.5,64.47632590015573,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,50,ges@0.5,0.5,64.47632590015573,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,100,ges@0.5,0.5,64.47632590015573,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
1,30,300,5,0.2,5,10,oracle@2.0,2.0,257.9053036006229,5,5,1,1.0,1,1,0.0,1,1,"[1, 7, 13, 15, 27]","[1, 7, 13, 15, 27]"
