seed,name,mu_rel,eps_rel,flipped
0,oracle@0.5,0.5,0.5,0
0,oracle@0.5,0.5,0.55,0
0,oracle@0.5,0.5,0.6,0
0,oracle@0.5,0.5,0.65,0
0,oracle@0.5,0.5,0.7,0
0,oracle@0.5,0.5,0.75,0
0,oracle@0.5,0.5,0.8,0
0,oracle@0.5,0.5,0.85,0
0,oracle@0.5,0.5,0.9,0
0,oracle@0.5,0.5,0.95,0
0,oracle@0.5,0.5,1.0,1
0,oracle@0.5,0.5,1.05,1
0,oracle@0.5,0.5,1.1,1
0,oracle@0.5,0.5,1.15,1
0,oracle@0.5,0.5,1.2,1
0,oracle@0.5,0.5,1.25,1
0,oracle@0.5,0.5,1.3,1
0,oracle@0.5,0.5,1.35,1
0,oracle@0.5,0.5,1.4,1
0,oracle@0.5,0.5,1.45,1
0,oracle@0.5,0.5,1.5,1
0,oracle@0.5,0.5,1.55,1
0,oracle@0.5,0.5,1.6,1
0,oracle@0.5,0.5,1.65,1
0,oracle@0.5,0.5,1.7,1
0,oracle@0.5,0.5,1.75,1
0,oracle@0.5,0.5,1.8,1
0,oracle@0.5,0.5,1.85,1
0,oracle@0.5,0.5,1.9,1
0,oracle@0.5,0.5,1.95,1
0,oracle@0.5,0.5,2.0,1
0,oracle@0.5,0.5,0.99,0
0,oracle@0.5,0.5,1.01,1
0,ges@0.5,0.5,0.5,0
0,ges@0.5,0.5,0.55,0
0,ges@0.5,0.5,0.6,0
0,ges@0.5,0.5,0.65,0
0,ges@0.5,0.5,0.7,0
0,ges@0.5,0.5,0.75,0
0,ges@0.5,0.5,0.8,0
0,ges@0.5,0.5,0.85,0
0,ges@0.5,0.5,0.9,0
0,ges@0.5,0.5,0.95,0
0,ges@0.5,0.5,1.0,1
0,ges@0.5,0.5,1.05,1
0,ges@0.5,0.5,1.1,1
0,ges@0.5,0.5,1.15,1
0,ges@0.5,0.5,1.2,1
0,ges@0.5,0.5,1.25,1
0,ges@0.5,0.5,1.3,1
0,ges@0.5,0.5,1.35,1
0,ges@0.5,0.5,1.4,1
0,ges@0.5,0.5,1.45,1
0,ges@0.5,0.5,1.5,1
0,ges@0.5,0.5,1.55,1
0,ges@0.5,0.5,1.6,1
0,ges@0.5,0.5,1.65,1
