seed,name,mu_rel,k_map,k_beam,exact_is_Sstar,eps_star_rel,radius_holds,radius_tight,mu0_rel,beam_match,map_in_pool,beam_recovers_Sstar,jaccard,S_map,S_beam
0,vanilla,0.0,3,2,0,inf,1,1,0.0027,0,0,0,0.0,"[0, 3, 11]","[6, 9]"
0,oracle@0.5,0.5,3,2,1,0.001,1,1,0.0027,0,0,0,0.667,"[1, 5, 6]","[5, 6]"
0,ges@0.5,0.5,3,2,0,0.0,1,1,0.0034,0,0,0,0.25,"[1, 6, 11]","[5, 6]"
0,oracle@2.0,2.0,3,2,1,0.0013,1,1,0.0027,0,0,0,0.667,"[1, 5, 6]","[5, 6]"
0,ges@2.0,2.0,3,2,1,0.0001,1,1,0.0034,0,0,0,0.667,"[1, 5, 6]","[5, 6]"
1,vanilla,0.0,3,3,0,inf,1,1,0.0019,0,0,1,0.5,"[4, 8, 10]","[4, 5, 10]"
1,oracle@0.5,0.5,3,3,1,0.0038,1,1,0.0019,1,1,1,1.0,"[4, 5, 10]","[4, 5, 10]"
1,ges@0.5,0.5,3,3,1,0.0007,1,1,0.0075,1,1,1,1.0,"[4, 5, 10]","[4, 5, 10]"
1,oracle@2.0,2.0,3,3,1,0.0038,1,1,0.0019,1,1,1,1.0,"[4, 5, 10]","[4, 5, 10]"
1,ges@2.0,2.0,3,3,1,0.0007,1,1,0.0075,1,1,1,1.0,"[4, 5, 10]","[4, 5, 10]"
2,vanilla,0.0,3,2,0,inf,1,1,0.0006,0,0,0,0.25,"[5, 6, 11]","[0, 5]"
2,oracle@0.5,0.5,3,3,1,0.0009,1,1,0.0006,0,0,0,0.5,"[5, 8, 11]","[5, 6, 11]"
2,ges@0.5,0.5,3,1,0,0.0001,1,1,0.0008,0,0,0,0.333,"[5, 7, 9]",[5]
2,oracle@2.0,2.0,3,3,1,0.0009,1,1,0.0006,0,0,0,0.5,"[5, 8, 11]","[5, 6, 11]"
2,ges@2.0,2.0,3,1,0,0.0001,1,1,0.0008,0,0,0,0.333,"[5, 7, 9]",[5]
3,vanilla,0.0,2,2,0,inf,1,1,0.0,1,1,0,1.0,"[3, 5]","[3, 5]"
3,oracle@0.5,0.5,3,3,1,0.0011,1,1,0.0,0,1,0,0.5,"[3, 5, 9]","[3, 5, 10]"
3,ges@0.5,0.5,3,3,1,0.0001,1,1,0.0,0,1,0,0.5,"[3, 5, 9]","[3, 5, 10]"
3,oracle@2.0,2.0,3,3,1,0.0011,1,1,0.0,0,1,0,0.5,"[3, 5, 9]","[3, 5, 10]"
3,ges@2.0,2.0,3,3,1,0.0001,1,1,0.0,0,1,0,0.5,"[3, 5, 9]","[3, 5, 10]"
4,vanilla,0.0,3,3,0,inf,1,1,0.0003,0,0,0,0.0,"[3, 4, 11]","[0, 6, 9]"
4,oracle@0.5,0.5,3,3,1,0.0009,1,1,0.0003,0,0,0,0.5,"[1, 4, 6]","[0, 4, 6]"
4,ges@0.5,0.5,3,3,0,0.0,1,1,0.0049,0,0,0,0.5,"[3, 4, 6]","[0, 4, 6]"
4,oracle@2.0,2.0,3,3,1,0.0009,1,1,0.0003,0,0,0,0.5,"[1, 4, 6]","[0, 4, 6]"
4,ges@2.0,2.0,3,3,0,0.0,1,1,0.0049,0,0,0,0.5,"[3, 4, 6]","[0, 4, 6]"
