method,p_edge,p,n,k_star,seed,shd,adjacency_precision,adjacency_recall,adjacency_f1,arrowhead_precision,arrowhead_recall,arrowhead_f1
pc,0.1,30,300,5,0,27.0,0.9,0.6792452830188679,0.7741935483870968,0.6875,0.5116279069767442,0.5866666666666667
ges,0.1,30,300,5,0,26.0,0.7391304347826086,0.9622641509433962,0.8360655737704918,0.6065573770491803,0.8604651162790697,0.7115384615384615
pc,0.1,30,300,5,1,28.0,0.8974358974358975,0.7954545454545454,0.8433734939759037,0.48484848484848486,0.48484848484848486,0.48484848484848486
ges,0.1,30,300,5,1,15.0,0.8301886792452831,1.0,0.9072164948453608,0.7021276595744681,1.0,0.825
pc,0.1,30,300,5,2,26.0,0.9,0.7346938775510204,0.8089887640449438,0.6486486486486487,0.5714285714285714,0.6075949367088608
ges,0.1,30,300,5,2,16.0,0.7903225806451613,1.0,0.8828828828828829,0.7272727272727273,0.9523809523809523,0.8247422680412371
pc,0.1,30,300,5,3,22.0,0.96875,0.7045454545454546,0.8157894736842106,0.6785714285714286,0.5135135135135135,0.5846153846153848
ges,0.1,30,300,5,3,25.0,0.6984126984126984,1.0,0.822429906542056,0.5862068965517241,0.918918918918919,0.7157894736842105
pc,0.1,30,300,5,4,23.0,0.8809523809523809,0.8222222222222222,0.8505747126436781,0.625,0.6756756756756757,0.6493506493506493
ges,0.1,30,300,5,4,16.0,0.8627450980392157,0.9777777777777777,0.9166666666666665,0.6875,0.8918918918918919,0.7764705882352941
pc,0.1,30,300,5,5,51.0,0.8333333333333334,0.4918032786885246,0.6185567010309279,0.45454545454545453,0.2727272727272727,0.3409090909090909
ges,0.1,30,300,5,5,26.0,0.7349397590361446,1.0,0.8472222222222222,0.6623376623376623,0.9272727272727272,0.7727272727272726
pc,0.1,30,300,5,6,28.0,1.0,0.75,0.8571428571428571,0.5757575757575758,0.5135135135135135,0.5428571428571428
ges,0.1,30,300,5,6,21.0,0.7704918032786885,0.9791666666666666,0.8623853211009173,0.6363636363636364,0.9459459459459459,0.7608695652173914
pc,0.1,30,300,5,7,27.0,0.9722222222222222,0.7954545454545454,0.875,0.47058823529411764,0.45714285714285713,0.46376811594202894
ges,0.1,30,300,5,7,24.0,0.7413793103448276,0.9772727272727273,0.8431372549019609,0.5892857142857143,0.9428571428571428,0.7252747252747254
pc,0.1,30,300,5,8,54.0,0.75,0.4576271186440678,0.5684210526315788,0.34375,0.20754716981132076,0.25882352941176473
ges,0.1,30,300,5,8,35.0,0.7397260273972602,0.9152542372881356,0.818181818181818,0.5714285714285714,0.7547169811320755,0.6504065040650406
