,,shd,shd,adjacency_recall,adjacency_recall,adjacency_precision,adjacency_precision,arrowhead_recall,arrowhead_recall,arrowhead_precision,arrowhead_precision,arrowhead_f1,arrowhead_f1
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,p_edge,,,,,,,,,,,,
ges,0.1,29.0,18.37,0.958,0.063,0.73,0.114,0.852,0.141,0.58,0.139,0.688,0.143
ges,0.2,129.05,47.174,0.838,0.075,0.476,0.129,0.619,0.146,0.349,0.153,0.442,0.155
ges,0.3,221.65,27.685,0.745,0.051,0.41,0.038,0.442,0.094,0.24,0.059,0.311,0.073
ges,0.4,251.25,28.101,0.713,0.043,0.461,0.04,0.431,0.096,0.275,0.065,0.335,0.076
ges,0.5,274.55,15.959,0.682,0.039,0.525,0.026,0.382,0.073,0.291,0.048,0.33,0.057
ges,0.6,272.5,20.633,0.685,0.04,0.621,0.021,0.403,0.08,0.361,0.063,0.38,0.07
ges,0.7,291.7,33.168,0.663,0.037,0.689,0.026,0.364,0.1,0.374,0.098,0.368,0.099
pc,0.1,31.6,10.107,0.667,0.116,0.886,0.072,0.438,0.141,0.54,0.119,0.48,0.13
pc,0.2,86.65,9.98,0.293,0.05,0.777,0.073,0.137,0.038,0.409,0.086,0.201,0.048
pc,0.3,136.0,9.646,0.152,0.03,0.682,0.099,0.06,0.02,0.315,0.071,0.1,0.032
pc,0.4,177.75,10.382,0.096,0.026,0.691,0.12,0.041,0.021,0.364,0.14,0.073,0.036
pc,0.5,221.35,10.338,0.068,0.021,0.733,0.109,0.025,0.013,0.361,0.124,0.047,0.024
pc,0.6,266.6,9.87,0.055,0.018,0.769,0.084,0.018,0.013,0.325,0.162,0.033,0.025
pc,0.7,309.1,10.316,0.041,0.017,0.804,0.095,0.011,0.009,0.3,0.188,0.021,0.017
