seed,corruption,mu_star_rel,S_precision,S_recall,correlate_inclusion,auc_star
0,0.0,1.0,0.5714285714285714,0.8,0.0,0.9973333333333333
0,0.1,1.0,0.6666666666666666,0.8,0.0,0.9993333333333332
0,0.2,1.0,0.7142857142857143,1.0,0.0,0.998
0,0.3,1.0,0.625,1.0,0.0,0.998
0,0.4,1.0,0.625,1.0,0.0,0.9977777777777778
0,0.5,1.0,0.5714285714285714,0.8,0.0,0.9986666666666666
0,0.6,1.0,0.5,0.8,0.0,0.9935555555555556
0,0.7,1.0,0.375,0.6,0.0,0.9942222222222222
0,0.8,1.0,0.3333333333333333,0.6,0.1111111111111111,0.9913333333333332
0,0.9,1.0,0.375,0.6,0.125,0.992888888888889
0,1.0,1.0,0.375,0.6,0.125,0.9868888888888889
1,0.0,1.0,1.0,1.0,0.0,0.9955555555555555
1,0.1,1.0,1.0,1.0,0.0,0.9964444444444446
1,0.2,1.0,1.0,1.0,0.0,0.9964444444444445
1,0.3,1.0,1.0,1.0,0.0,0.9971111111111112
1,0.4,1.0,1.0,1.0,0.0,0.9973333333333333
1,0.5,1.0,1.0,1.0,0.0,0.9982222222222223
1,0.6,1.0,1.0,1.0,0.0,0.9993333333333332
1,0.7,1.0,0.75,0.6,0.25,0.9866666666666667
1,0.8,1.0,0.75,0.6,0.25,0.9873333333333335
1,0.9,1.0,0.6,0.6,0.4,0.9926666666666669
1,1.0,1.0,0.6,0.6,0.4,0.9906666666666666
2,0.0,1.0,0.7142857142857143,1.0,0.0,0.9968888888888889
2,0.1,1.0,0.625,1.0,0.0,0.9977777777777778
2,0.2,1.0,0.7142857142857143,1.0,0.0,0.9986666666666666
2,0.3,1.0,0.625,1.0,0.125,0.998
2,0.4,1.0,0.625,1.0,0.125,0.9957777777777779
2,0.5,1.0,0.625,1.0,0.125,0.9993333333333332
2,0.6,1.0,0.5555555555555556,1.0,0.1111111111111111,0.9968888888888887
2,0.7,1.0,0.4444444444444444,0.8,0.2222222222222222,0.9948888888888888
2,0.8,1.0,0.4444444444444444,0.8,0.2222222222222222,0.9944444444444445
2,0.9,1.0,0.3,0.6,0.2,0.9931111111111111
2,1.0,1.0,0.0,0.0,0.2857142857142857,0.9915555555555555
3,0.0,1.0,0.375,0.6,0.125,0.9964444444444445
3,0.1,1.0,0.6,0.6,0.2,0.9991111111111112
3,0.2,1.0,0.4,0.4,0.2,0.9915555555555556
3,0.3,1.0,0.4,0.4,0.2,0.9977777777777778
3,0.4,1.0,0.4,0.4,0.2,0.9904444444444443
3,0.5,1.0,0.5,0.4,0.25,0.9966666666666667
3,0.6,1.0,0.4,0.4,0.2,0.998
3,0.7,1.0,0.2222222222222222,0.4,0.2222222222222222,0.9906666666666666
3,0.8,1.0,0.2857142857142857,0.4,0.2857142857142857,0.9911111111111112
3,0.9,1.0,0.2857142857142857,0.4,0.2857142857142857,0.9873333333333333
3,1.0,1.0,0.2857142857142857,0.4,0.2857142857142857,0.986
4,0.0,1.0,0.625,1.0,0.0,0.9984444444444446
4,0.1,1.0,0.625,1.0,0.0,0.9966666666666667
4,0.2,1.0,0.625,1.0,0.0,0.9971111111111112
4,0.3,1.0,0.8333333333333334,1.0,0.0,0.9964444444444445
4,0.4,1.0,0.8333333333333334,1.0,0.0,0.9951111111111113
4,0.5,1.0,0.8333333333333334,1.0,0.0,0.9975555555555555
4,0.6,1.0,0.5714285714285714,0.8,0.0,0.9875555555555555
4,0.7,1.0,0.5714285714285714,0.8,0.0,0.9926666666666666
4,0.8,1.0,0.5,0.8,0.125,0.9911111111111112
4,0.9,1.0,0.42857142857142855,0.6,0.2857142857142857,0.9884444444444445
4,1.0,1.0,0.42857142857142855,0.6,0.2857142857142857,0.9904444444444443
5,0.0,1.0,0.25,0.4,0.125,0.9960000000000001
5,0.1,1.0,0.5555555555555556,1.0,0.0,0.9955555555555555
5,0.2,1.0,0.5555555555555556,1.0,0.0,0.9968888888888889
5,0.3,1.0,0.4444444444444444,0.8,0.1111111111111111,0.9966666666666667
5,0.4,1.0,0.5555555555555556,1.0,0.0,0.9946666666666667
5,0.5,1.0,0.2857142857142857,0.4,0.14285714285714285,0.9955555555555555
5,0.6,1.0,0.4,0.8,0.2,0.9926666666666668
5,0.7,1.0,0.2,0.4,0.3,0.9913333333333334
5,0.8,1.0,0.2857142857142857,0.4,0.2857142857142857,0.9862222222222222
5,0.9,1.0,0.3333333333333333,0.6,0.3333333333333333,0.9871111111111113
5,1.0,1.0,0.3333333333333333,0.6,0.3333333333333333,0.9882222222222223
6,0.0,1.0,0.5714285714285714,0.8,0.0,0.9862222222222222
6,0.1,1.0,0.5714285714285714,0.8,0.0,0.976
6,0.2,1.0,0.5714285714285714,0.8,0.0,0.9780000000000001
6,0.3,1.0,0.5,0.8,0.0,0.9893333333333334
6,0.4,1.0,0.5714285714285714,0.8,0.0,0.9862222222222222
6,0.5,1.0,0.5714285714285714,0.8,0.14285714285714285,0.9773333333333334
6,0.6,1.0,0.3,0.6,0.3,0.9795555555555555
6,0.7,1.0,0.25,0.4,0.25,0.9924444444444445
6,0.8,1.0,0.2222222222222222,0.4,0.2222222222222222,0.9917777777777778
6,0.9,1.0,0.5,0.6,0.16666666666666666,0.9911111111111112
6,1.0,1.0,0.2222222222222222,0.4,0.2222222222222222,0.9857777777777776
7,0.0,1.0,0.5,1.0,0.1,0.9686666666666668
7,0.1,1.0,0.5555555555555556,1.0,0.1111111111111111,0.9784444444444444
7,0.2,1.0,0.5,1.0,0.1,0.9904444444444443
7,0.3,1.0,0.5,1.0,0.1,0.9957777777777779
7,0.4,1.0,0.5,1.0,0.1,0.9924444444444444
7,0.5,1.0,0.6666666666666666,0.8,0.16666666666666666,0.9966666666666667
7,0.6,1.0,0.5714285714285714,0.8,0.14285714285714285,0.9937777777777779
7,0.7,1.0,0.375,0.6,0.25,0.9968888888888889
7,0.8,1.0,0.375,0.6,0.25,0.9986666666666666
7,0.9,1.0,0.375,0.6,0.25,0.9955555555555555
7,1.0,1.0,0.375,0.6,0.25,0.9773333333333334
8,0.0,1.0,0.5714285714285714,0.8,0.14285714285714285,0.9993333333333332
8,0.1,1.0,0.5714285714285714,0.8,0.14285714285714285,0.999111111111111
8,0.2,1.0,0.4444444444444444,0.8,0.2222222222222222,0.9991111111111112
8,0.3,1.0,0.5714285714285714,0.8,0.0,0.9993333333333334
8,0.4,1.0,0.7142857142857143,1.0,0.14285714285714285,0.9995555555555555
8,0.5,1.0,0.5714285714285714,0.8,0.2857142857142857,0.9993333333333334
8,0.6,1.0,0.5714285714285714,0.8,0.14285714285714285,0.9997777777777778
8,0.7,1.0,0.5714285714285714,0.8,0.14285714285714285,0.9991111111111112
8,0.8,1.0,0.5714285714285714,0.8,0.14285714285714285,0.9988888888888889
8,0.9,1.0,0.4444444444444444,0.8,0.3333333333333333,0.9982222222222223
8,1.0,1.0,0.3333333333333333,0.6,0.2222222222222222,0.9986666666666666
9,0.0,1.0,0.3333333333333333,0.6,0.0,1.0
