seed,corruption,mu_star_rel,S_precision,S_recall,correlate_inclusion,auc_star
0,0.0,0.01,0.4,0.8,0.1,0.9952000000000001
0,0.25,1.7783,0.625,1.0,0.0,0.9977333333333332
0,0.5,0.3162,0.625,1.0,0.0,0.9986666666666667
0,0.75,0.01,0.5,0.8,0.0,0.9978666666666666
0,1.0,0.01,0.5714285714285714,0.8,0.0,0.9942666666666667
10,0.0,0.01,0.625,1.0,0.0,0.9930666666666667
10,0.25,1.7783,0.625,1.0,0.0,0.9964
10,0.5,10.0,0.5555555555555556,1.0,0.1111111111111111,0.9950666666666667
10,0.75,10.0,0.625,1.0,0.125,0.9940000000000001
10,1.0,0.0,0.4,0.8,0.2,0.9924
