paradigm,q_source,F1,recall,corr_incl,auc,stab,n
control,oracle,0.579,0.75,0.054,0.993,0.556,60
control,uniform,0.477,0.607,0.071,0.989,0.474,60
control,adversarial,0.369,0.48,0.104,0.991,0.488,60
score,ges,0.63,0.77,0.036,0.997,0.661,60
stability,bootstrap_l1,0.443,0.577,0.068,0.994,0.659,60
constraint-local,iamb,0.664,0.82,0.049,0.995,0.642,60
constraint-global,pc_stable,0.485,0.62,0.082,0.994,0.527,60
continuous-opt,dagma,0.499,0.61,0.094,0.996,0.61,60
constraint-local,gs,0.727,0.867,0.031,0.996,0.646,60
constraint-local,inter_iamb,0.663,0.813,0.04,0.996,0.636,60
