seed,n,p_edge,q_source,paradigm,mu_star_rel,k_actual,S_recall,S_precision,correlate_inclusion,causal_precision,auc_star,stability_star,log_loss_star
0,150,0.2,oracle,control,0.0187,10,1.0,0.5,0.0,1.0,1.0,0.7787878787878789,0.040122935120948236
0,150,0.2,uniform,control,0.0,10,0.8,0.4,0.1,0.9,0.9973333333333333,0.5383949383949385,0.09716346689116909
0,150,0.2,adversarial,control,0.0,10,0.8,0.4,0.1,0.9,0.9973333333333333,0.40937728937728934,0.1343527894650533
0,150,0.2,ges,score,0.0351,7,1.0,0.7142857142857143,0.0,1.0,0.9982222222222223,0.765,0.06212771043613563
0,150,0.2,bootstrap_l1,stability,0.01,9,0.8,0.4444444444444444,0.0,1.0,1.0,0.6501010101010101,0.09934612539570838
0,150,0.2,iamb,constraint-local,0.0351,10,1.0,0.5,0.0,1.0,0.9991111111111112,0.7143434343434343,0.052619125850282986
0,150,0.2,pc_stable,constraint-global,1.5199,9,1.0,0.5555555555555556,0.0,1.0,0.9973333333333333,0.5984848484848484,0.06733656146534217
0,150,0.2,dagma,continuous-opt,0.231,8,0.8,0.5,0.0,1.0,0.9982222222222223,0.6911111111111111,0.07626133280558951
0,150,0.2,gs,constraint-local,0.0658,8,1.0,0.625,0.0,1.0,0.9982222222222223,0.6898809523809524,0.04773595773226958
0,150,0.2,inter_iamb,constraint-local,0.0187,9,1.0,0.5555555555555556,0.0,1.0,0.9991111111111112,0.6342929292929294,0.04541817211571474
0,300,0.2,oracle,control,0.0,10,0.6,0.3,0.1,0.9,0.9975555555555555,0.5551481851481851,0.06321140410136952
0,300,0.2,uniform,control,0.0,10,0.6,0.3,0.1,0.9,0.9959999999999999,0.4835447885447886,0.09958555004891703
0,300,0.2,adversarial,control,0.0,10,0.6,0.3,0.1,0.9,0.9971111111111111,0.6304545454545455,0.08701842226550559
0,300,0.2,ges,score,0.1233,7,0.8,0.5714285714285714,0.0,1.0,0.9982222222222223,0.6680555555555556,0.06838702277283956
0,300,0.2,bootstrap_l1,stability,2.848,8,0.6,0.375,0.0,1.0,0.9982222222222223,0.7655555555555555,0.05782843430889206
0,300,0.2,iamb,constraint-local,0.1233,9,0.8,0.4444444444444444,0.0,1.0,0.9988888888888889,0.8,0.04910953044178048
0,300,0.2,pc_stable,constraint-global,0.0,10,0.6,0.3,0.1,0.9,0.9957777777777779,0.5535353535353535,0.08412698797741466
0,300,0.2,dagma,continuous-opt,0.4329,10,0.6,0.3,0.1,0.9,0.9975555555555555,0.6531818181818181,0.06147190454040959
0,300,0.2,gs,constraint-local,0.0187,10,1.0,0.5,0.0,1.0,0.9975555555555555,0.6644522144522145,0.0649809421861419
0,300,0.2,inter_iamb,constraint-local,0.231,8,0.8,0.5,0.0,1.0,0.9991111111111112,0.767979797979798,0.049320446843224924
0,300,0.4,oracle,control,0.0,6,0.4,0.3333333333333333,0.0,1.0,0.9953333333333333,0.4687301587301588,0.12363575914206296
0,300,0.4,uniform,control,0.0,6,0.4,0.3333333333333333,0.0,1.0,0.9940000000000001,0.39190337440337436,0.16903201482149194
0,300,0.4,adversarial,control,0.01,10,0.2,0.1,0.2,0.8,0.9962222222222221,0.39016317016317015,0.07239279843615645
0,300,0.4,ges,score,0.01,8,0.6,0.375,0.125,0.875,0.9995555555555555,0.6260353535353534,0.023622497691933413
0,300,0.4,bootstrap_l1,stability,0.0351,8,0.4,0.25,0.25,0.75,0.9968888888888889,0.32719336219336215,0.118278629125919
0,300,0.4,iamb,constraint-local,0.01,8,0.8,0.5,0.125,0.875,0.9988888888888889,0.458939393939394,0.036848392427637086
0,300,0.4,pc_stable,constraint-global,0.0187,5,0.4,0.4,0.2,0.8,0.9982222222222221,0.6666666666666666,0.05744885153190068
0,300,0.4,dagma,continuous-opt,0.01,9,0.4,0.2222222222222222,0.2222222222222222,0.7777777777777778,1.0,0.7533333333333333,0.013175680553510894
0,300,0.4,gs,constraint-local,0.0,6,0.4,0.3333333333333333,0.0,1.0,0.9957777777777779,0.32242063492063494,0.09076231722636678
0,300,0.4,inter_iamb,constraint-local,0.0351,5,1.0,1.0,0.0,1.0,0.9993333333333334,0.575,0.022310751085278042
0,500,0.2,oracle,control,0.01,9,1.0,0.5555555555555556,0.0,1.0,0.99968,0.7484848484848485,0.03592866123835
0,500,0.2,uniform,control,0.0,9,1.0,0.5555555555555556,0.0,1.0,0.9972799999999999,0.47670829170829165,0.0646331838599451
0,500,0.2,adversarial,control,0.0,9,1.0,0.5555555555555556,0.0,1.0,0.9980800000000001,0.5278277278277278,0.0518282094991306
0,500,0.2,ges,score,5.3367,9,1.0,0.5555555555555556,0.0,1.0,0.99992,1.0,0.02945810684924103
0,500,0.2,bootstrap_l1,stability,2.848,9,0.6,0.3333333333333333,0.0,1.0,0.9998400000000001,0.8,0.033681558961164815
0,500,0.2,iamb,constraint-local,0.0658,8,1.0,0.625,0.0,1.0,0.9991199999999999,0.7577777777777778,0.03692246423852962
0,500,0.2,pc_stable,constraint-global,0.0351,10,1.0,0.5,0.0,1.0,0.9992000000000001,0.5671361971361972,0.0457152074805061
0,500,0.2,dagma,continuous-opt,0.8111,6,0.8,0.6666666666666666,0.0,1.0,0.9984,0.726984126984127,0.05468344984091902
0,500,0.2,gs,constraint-local,0.0351,7,1.0,0.7142857142857143,0.0,1.0,0.99936,0.7016666666666668,0.0318874184158557
0,500,0.2,inter_iamb,constraint-local,0.0,9,1.0,0.5555555555555556,0.0,1.0,0.9992800000000001,0.5547369297369297,0.039607214824439727
10,300,0.2,oracle,control,0.01,8,1.0,0.625,0.0,1.0,0.9953333333333333,0.6043006993006992,0.07714085669825595
10,300,0.2,uniform,control,0.0,10,0.8,0.4,0.2,0.8,0.994,0.4407509157509157,0.11270110713443396
