paradigm,q_source,F1,recall,corr_incl,auc,stab,n
control,oracle,0.533,0.8,0.1,0.995,0.451,1
control,uniform,0.4,0.6,0.1,0.995,0.459,1
control,adversarial,0.4,0.6,0.1,0.995,0.472,1
score,ges,0.667,0.8,0.0,0.999,0.57,1
stability,bootstrap_l1,0.533,0.8,0.1,0.995,0.398,1
constraint-local,iamb,0.571,0.8,0.0,0.998,0.765,1
constraint-global,pc_stable,0.4,0.6,0.1,0.998,0.391,1
continuous-opt,dagma,0.429,0.6,0.111,0.998,0.63,1
constraint-local,hiton_mb,0.429,0.6,0.0,0.998,0.688,1
constraint-local,fbed,0.4,0.6,0.1,0.997,0.472,1
