seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,causal_precision,correlate_inclusion,fit_seconds
2,30,300,5,0.2,2.0,306.10064551424443,oracle,0.0,0.0,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.00370717048645
2,30,300,5,0.2,2.0,306.10064551424443,oracle,3.0610064551424445,0.01,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.695070028305054
2,30,300,5,0.2,2.0,306.10064551424443,oracle,4.652457636161474,0.01519911082952934,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.546195268630981
2,30,300,5,0.2,2.0,306.10064551424443,oracle,7.071321924170833,0.023101297000831605,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.539021253585815
2,30,300,5,0.2,2.0,306.10064551424443,oracle,10.747780563675308,0.03511191734215131,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.644786834716797
2,30,300,5,0.2,2.0,306.10064551424443,oracle,16.335670795876236,0.0533669923120631,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.58207631111145
2,30,300,5,0.2,2.0,306.10064551424443,oracle,24.828767090122863,0.08111308307896872,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.90218997001648
2,30,300,5,0.2,2.0,306.10064551424443,oracle,37.73751827633479,0.12328467394420659,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.670039892196655
2,30,300,5,0.2,2.0,306.10064551424443,oracle,57.35767227134015,0.1873817422860384,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.68964409828186
2,30,300,5,0.2,2.0,306.10064551424443,oracle,87.17856177759208,0.2848035868435802,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.538876056671143
2,30,300,5,0.2,2.0,306.10064551424443,oracle,132.5036622416592,0.43287612810830595,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.43250322341919
2,30,300,5,0.2,2.0,306.10064551424443,oracle,201.39378477295003,0.6579332246575682,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.457823038101196
2,30,300,5,0.2,2.0,306.10064551424443,oracle,306.10064551424443,1.0,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.422742128372192
2,30,300,5,0.2,2.0,306.10064551424443,oracle,659.4738493370407,2.154434690031884,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.490596771240234
2,30,300,5,0.2,2.0,306.10064551424443,oracle,1420.7933381805803,4.641588833612778,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.465369701385498
2,30,300,5,0.2,2.0,306.10064551424443,oracle,3061.0064551424443,10.0,10,"[0, 2, 8, 10, 12, 14, 15, 19, 23, 29]",10,1.0,0.5,0.5,0.9,0.1,9.581722021102905
2,30,300,5,0.2,2.0,306.10064551424443,uniform,0.0,0.0,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.101589679718018
2,30,300,5,0.2,2.0,306.10064551424443,uniform,3.0610064551424445,0.01,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.0429527759552
2,30,300,5,0.2,2.0,306.10064551424443,uniform,4.652457636161474,0.01519911082952934,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.069682836532593
2,30,300,5,0.2,2.0,306.10064551424443,uniform,7.071321924170833,0.023101297000831605,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.174203872680664
2,30,300,5,0.2,2.0,306.10064551424443,uniform,10.747780563675308,0.03511191734215131,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,9.975388050079346
2,30,300,5,0.2,2.0,306.10064551424443,uniform,16.335670795876236,0.0533669923120631,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.063268661499023
2,30,300,5,0.2,2.0,306.10064551424443,uniform,24.828767090122863,0.08111308307896872,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.069705963134766
2,30,300,5,0.2,2.0,306.10064551424443,uniform,37.73751827633479,0.12328467394420659,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.14463496208191
2,30,300,5,0.2,2.0,306.10064551424443,uniform,57.35767227134015,0.1873817422860384,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.036180973052979
2,30,300,5,0.2,2.0,306.10064551424443,uniform,87.17856177759208,0.2848035868435802,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.108948945999146
2,30,300,5,0.2,2.0,306.10064551424443,uniform,132.5036622416592,0.43287612810830595,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,9.987693071365356
2,30,300,5,0.2,2.0,306.10064551424443,uniform,201.39378477295003,0.6579332246575682,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.096354007720947
2,30,300,5,0.2,2.0,306.10064551424443,uniform,306.10064551424443,1.0,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.057794094085693
2,30,300,5,0.2,2.0,306.10064551424443,uniform,659.4738493370407,2.154434690031884,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.010003089904785
2,30,300,5,0.2,2.0,306.10064551424443,uniform,1420.7933381805803,4.641588833612778,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,9.967123746871948
2,30,300,5,0.2,2.0,306.10064551424443,uniform,3061.0064551424443,10.0,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,9.971193075180054
2,30,300,5,0.2,2.0,306.10064551424443,adversarial,0.0,0.0,10,"[0, 2, 10, 14, 19, 23, 26, 28]",8,0.6,0.375,0.625,0.75,0.25,10.103004932403564
2,30,300,5,0.2,2.0,306.10064551424443,adversarial,3.0610064551424445,0.01,10,"[4, 7, 9, 12, 15, 16, 17, 19, 22, 27]",10,0.0,0.0,1.0,0.6,0.4,9.991299629211426
