seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,causal_precision,correlate_inclusion,fit_seconds
9,15,300,5,0.2,1.0,164.66292975892225,oracle,0.0,0.0,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.407773971557617
9,15,300,5,0.2,1.0,164.66292975892225,oracle,1.6466292975892225,0.01,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.203091859817505
9,15,300,5,0.2,1.0,164.66292975892225,oracle,2.502730118920864,0.01519911082952934,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.173970937728882
9,15,300,5,0.2,1.0,164.66292975892225,oracle,3.8039272453879356,0.023101297000831605,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.2564198970794678
9,15,300,5,0.2,1.0,164.66292975892225,oracle,5.781631179011744,0.03511191734215131,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.3135297298431396
9,15,300,5,0.2,1.0,164.66292975892225,oracle,8.78756530652619,0.0533669923120631,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.3077890872955322
9,15,300,5,0.2,1.0,164.66292975892225,oracle,13.356317901561852,0.08111308307896872,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.3160791397094727
9,15,300,5,0.2,1.0,164.66292975892225,oracle,20.30041560602652,0.12328467394420659,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.2718799114227295
9,15,300,5,0.2,1.0,164.66292975892225,oracle,30.854826668150412,0.1873817422860384,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.2934510707855225
9,15,300,5,0.2,1.0,164.66292975892225,oracle,46.89659301551356,0.2848035868435802,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.381479263305664
9,15,300,5,0.2,1.0,164.66292975892225,oracle,71.2786514770122,0.43287612810830595,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.271865129470825
9,15,300,5,0.2,1.0,164.66292975892225,oracle,108.33721235785036,0.6579332246575682,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.261383295059204
9,15,300,5,0.2,1.0,164.66292975892225,oracle,164.66292975892225,1.0,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.268965005874634
9,15,300,5,0.2,1.0,164.66292975892225,oracle,354.7555280349055,2.154434690031884,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.2413971424102783
9,15,300,5,0.2,1.0,164.66292975892225,oracle,764.2976160789788,4.641588833612778,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.2541322708129883
9,15,300,5,0.2,1.0,164.66292975892225,oracle,1646.6292975892225,10.0,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.2446939945220947
9,15,300,5,0.2,1.0,164.66292975892225,uniform,0.0,0.0,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.2014410495758057
9,15,300,5,0.2,1.0,164.66292975892225,uniform,1.6466292975892225,0.01,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.187648057937622
9,15,300,5,0.2,1.0,164.66292975892225,uniform,2.502730118920864,0.01519911082952934,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.178176164627075
9,15,300,5,0.2,1.0,164.66292975892225,uniform,3.8039272453879356,0.023101297000831605,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.1855528354644775
9,15,300,5,0.2,1.0,164.66292975892225,uniform,5.781631179011744,0.03511191734215131,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.1726980209350586
9,15,300,5,0.2,1.0,164.66292975892225,uniform,8.78756530652619,0.0533669923120631,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.189581871032715
9,15,300,5,0.2,1.0,164.66292975892225,uniform,13.356317901561852,0.08111308307896872,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.1633899211883545
9,15,300,5,0.2,1.0,164.66292975892225,uniform,20.30041560602652,0.12328467394420659,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.168247938156128
9,15,300,5,0.2,1.0,164.66292975892225,uniform,30.854826668150412,0.1873817422860384,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.139957904815674
9,15,300,5,0.2,1.0,164.66292975892225,uniform,46.89659301551356,0.2848035868435802,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.1287918090820312
9,15,300,5,0.2,1.0,164.66292975892225,uniform,71.2786514770122,0.43287612810830595,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.16595721244812
9,15,300,5,0.2,1.0,164.66292975892225,uniform,108.33721235785036,0.6579332246575682,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.189434051513672
9,15,300,5,0.2,1.0,164.66292975892225,uniform,164.66292975892225,1.0,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.1946637630462646
9,15,300,5,0.2,1.0,164.66292975892225,uniform,354.7555280349055,2.154434690031884,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.2057931423187256
9,15,300,5,0.2,1.0,164.66292975892225,uniform,764.2976160789788,4.641588833612778,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.181812047958374
9,15,300,5,0.2,1.0,164.66292975892225,uniform,1646.6292975892225,10.0,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.1868557929992676
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,0.0,0.0,10,"[0, 1, 4, 6, 7, 8, 10, 12]",8,1.0,0.625,0.375,1.0,0.0,3.1510162353515625
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,1.6466292975892225,0.01,10,"[0, 1, 5, 6, 7, 8, 10, 12, 13, 14]",10,0.8,0.4,0.6,0.9,0.1,3.5569040775299072
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,2.502730118920864,0.01519911082952934,10,"[0, 1, 5, 6, 7, 8, 9, 10, 12]",9,0.8,0.4444444444444444,0.5555555555555556,0.8888888888888888,0.1111111111111111,3.5160281658172607
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,3.8039272453879356,0.023101297000831605,10,"[0, 5, 6, 7, 9, 10, 11, 12, 13, 14]",10,0.6,0.3,0.7,0.8,0.2,3.9132983684539795
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,5.781631179011744,0.03511191734215131,10,"[0, 5, 6, 7, 9, 10, 12, 14]",8,0.6,0.375,0.625,0.875,0.125,3.8763339519500732
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,8.78756530652619,0.0533669923120631,10,"[0, 5, 6, 7, 8, 9, 11, 12, 14]",9,0.4,0.2222222222222222,0.7777777777777778,0.8888888888888888,0.1111111111111111,4.019990682601929
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,13.356317901561852,0.08111308307896872,10,"[0, 5, 6, 7, 8, 9, 11, 12, 14]",9,0.4,0.2222222222222222,0.7777777777777778,0.8888888888888888,0.1111111111111111,4.08209490776062
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,20.30041560602652,0.12328467394420659,10,"[0, 5, 6, 7, 9, 11, 12, 14]",8,0.4,0.25,0.75,0.875,0.125,4.103153228759766
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,30.854826668150412,0.1873817422860384,10,"[0, 5, 6, 7, 9, 11, 12, 14]",8,0.4,0.25,0.75,0.875,0.125,4.141832113265991
9,15,300,5,0.2,1.0,164.66292975892225,adversarial,46.89659301551356,0.2848035868435802,10,"[0, 5, 6, 7, 9, 11, 12, 14]",8,0.4,0.25,0.75,0.875,0.125,4.187211751937866
