seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,causal_precision,correlate_inclusion,fit_seconds
5,30,300,5,0.2,2.0,256.0399388238618,oracle,0.0,0.0,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.072671890258789
5,30,300,5,0.2,2.0,256.0399388238618,oracle,2.560399388238618,0.01,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.251520156860352
5,30,300,5,0.2,2.0,256.0399388238618,oracle,4.797720983162591,0.01873817422860384,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.209450006484985
5,30,300,5,0.2,2.0,256.0399388238618,oracle,8.990053168272913,0.03511191734215131,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.217812776565552
5,30,300,5,0.2,2.0,256.0399388238618,oracle,16.84571825915098,0.0657933224657568,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.207518100738525
5,30,300,5,0.2,2.0,256.0399388238618,oracle,31.565800374594403,0.12328467394420659,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.2303712368011475
5,30,300,5,0.2,2.0,256.0399388238618,oracle,59.14854670844783,0.23101297000831592,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.225506067276001
5,30,300,5,0.2,2.0,256.0399388238618,oracle,110.83357735916076,0.4328761281083057,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.18732213973999
5,30,300,5,0.2,2.0,256.0399388238618,oracle,207.68188829353963,0.8111308307896868,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.171970844268799
5,30,300,5,0.2,2.0,256.0399388238618,oracle,389.1579406969786,1.5199110829529332,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.174358606338501
5,30,300,5,0.2,2.0,256.0399388238618,oracle,729.2109295224661,2.848035868435799,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.156609058380127
5,30,300,5,0.2,2.0,256.0399388238618,oracle,1366.4081446794132,5.336699231206307,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.272107124328613
5,30,300,5,0.2,2.0,256.0399388238618,oracle,2560.399388238618,10.0,10,"[2, 4, 7, 12, 14, 20, 22, 27]",8,1.0,0.625,0.375,1.0,0.0,4.201178073883057
5,30,300,5,0.2,2.0,256.0399388238618,uniform,0.0,0.0,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.088458061218262
5,30,300,5,0.2,2.0,256.0399388238618,uniform,2.560399388238618,0.01,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.027273893356323
5,30,300,5,0.2,2.0,256.0399388238618,uniform,4.797720983162591,0.01873817422860384,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.62389874458313
5,30,300,5,0.2,2.0,256.0399388238618,uniform,8.990053168272913,0.03511191734215131,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,6.646428823471069
5,30,300,5,0.2,2.0,256.0399388238618,uniform,16.84571825915098,0.0657933224657568,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.870742082595825
5,30,300,5,0.2,2.0,256.0399388238618,uniform,31.565800374594403,0.12328467394420659,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.763669967651367
5,30,300,5,0.2,2.0,256.0399388238618,uniform,59.14854670844783,0.23101297000831592,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,6.492333889007568
5,30,300,5,0.2,2.0,256.0399388238618,uniform,110.83357735916076,0.4328761281083057,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.92635178565979
5,30,300,5,0.2,2.0,256.0399388238618,uniform,207.68188829353963,0.8111308307896868,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.795711994171143
5,30,300,5,0.2,2.0,256.0399388238618,uniform,389.1579406969786,1.5199110829529332,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.761765956878662
5,30,300,5,0.2,2.0,256.0399388238618,uniform,729.2109295224661,2.848035868435799,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.756798028945923
5,30,300,5,0.2,2.0,256.0399388238618,uniform,1366.4081446794132,5.336699231206307,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.786940097808838
5,30,300,5,0.2,2.0,256.0399388238618,uniform,2560.399388238618,10.0,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.691004991531372
5,30,300,5,0.2,2.0,256.0399388238618,adversarial,0.0,0.0,10,"[2, 4, 6, 7, 9, 11, 12, 14, 22, 26]",10,0.6,0.3,0.7,0.8,0.2,5.74906325340271
5,30,300,5,0.2,2.0,256.0399388238618,adversarial,2.560399388238618,0.01,10,"[2, 7, 8, 9, 11, 12, 14, 22, 26]",9,0.4,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.2222222222222222,5.686406135559082
5,30,300,5,0.2,2.0,256.0399388238618,adversarial,4.797720983162591,0.01873817422860384,10,"[6, 7, 12, 14, 16, 17, 19, 21, 26, 28]",10,0.0,0.0,1.0,0.8,0.2,5.831912279129028
5,30,300,5,0.2,2.0,256.0399388238618,adversarial,8.990053168272913,0.03511191734215131,10,"[6, 7, 12, 14, 16, 17, 19, 21, 26, 28]",10,0.0,0.0,1.0,0.8,0.2,5.768655061721802
5,30,300,5,0.2,2.0,256.0399388238618,adversarial,16.84571825915098,0.0657933224657568,10,"[6, 7, 12, 14, 16, 17, 19, 21, 26, 28]",10,0.0,0.0,1.0,0.8,0.2,5.785807847976685
5,30,300,5,0.2,2.0,256.0399388238618,adversarial,31.565800374594403,0.12328467394420659,10,"[6, 7, 12, 14, 16, 17, 19, 21, 26, 28]",10,0.0,0.0,1.0,0.8,0.2,5.774802923202515
5,30,300,5,0.2,2.0,256.0399388238618,adversarial,59.14854670844783,0.23101297000831592,10,"[6, 7, 12, 14, 16, 17, 19, 21, 26, 28]",10,0.0,0.0,1.0,0.8,0.2,5.7431089878082275
5,30,300,5,0.2,2.0,256.0399388238618,adversarial,110.83357735916076,0.4328761281083057,10,"[6, 7, 12, 14, 16, 17, 19, 21, 26, 28]",10,0.0,0.0,1.0,0.8,0.2,5.794161796569824
5,30,300,5,0.2,2.0,256.0399388238618,adversarial,207.68188829353963,0.8111308307896868,10,"[6, 7, 12, 14, 16, 17, 19, 21, 26, 28]",10,0.0,0.0,1.0,0.8,0.2,5.809061050415039
