seed,p,n,k_star,p_edge,noise_scale,mu_scale,q_source,mu,mu_relative,K,support,k_actual,S_recall,S_precision,C_inclusion,causal_precision,correlate_inclusion,fit_seconds
7,30,300,5,0.7,1.0,54879.680213800566,oracle,0.0,0.0,10,"[3, 4, 15, 21, 25]",5,0.0,0.0,1.0,1.0,0.0,8.93664002418518
7,30,300,5,0.7,1.0,54879.680213800566,oracle,548.7968021380057,0.01,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,8.97840929031372
7,30,300,5,0.7,1.0,54879.680213800566,oracle,1028.345009456258,0.01873817422860384,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,9.02751111984253
7,30,300,5,0.7,1.0,54879.680213800566,oracle,1926.930795430662,0.03511191734215131,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,9.070132970809937
7,30,300,5,0.7,1.0,54879.680213800566,oracle,3610.7164971241937,0.0657933224657568,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,8.892783164978027
7,30,300,5,0.7,1.0,54879.680213800566,oracle,6765.823481320728,0.12328467394420659,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,9.20589804649353
7,30,300,5,0.7,1.0,54879.680213800566,oracle,12677.917919296679,0.23101297000831592,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,9.339885950088501
7,30,300,5,0.7,1.0,54879.680213800566,oracle,23756.103482771985,0.4328761281083057,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,9.352445125579834
7,30,300,5,0.7,1.0,54879.680213800566,oracle,44514.60060529239,0.8111308307896868,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,9.18839406967163
7,30,300,5,0.7,1.0,54879.680213800566,oracle,83412.23418586828,1.5199110829529332,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,9.140294075012207
7,30,300,5,0.7,1.0,54879.680213800566,oracle,156299.29769719043,2.848035868435799,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,10.702558994293213
7,30,300,5,0.7,1.0,54879.680213800566,oracle,292876.34720583743,5.336699231206307,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,10.583739042282104
7,30,300,5,0.7,1.0,54879.680213800566,oracle,548796.8021380056,10.0,10,"[4, 15, 21, 23, 25]",5,0.2,0.2,0.8,1.0,0.0,9.801038026809692
7,30,300,5,0.7,1.0,54879.680213800566,uniform,0.0,0.0,10,"[3, 4, 15, 21, 25]",5,0.0,0.0,1.0,1.0,0.0,8.59135913848877
7,30,300,5,0.7,1.0,54879.680213800566,uniform,548.7968021380057,0.01,10,"[3, 4, 15, 21, 25]",5,0.0,0.0,1.0,1.0,0.0,8.689207077026367
7,30,300,5,0.7,1.0,54879.680213800566,uniform,1028.345009456258,0.01873817422860384,10,"[3, 4, 15, 21, 25]",5,0.0,0.0,1.0,1.0,0.0,8.710053205490112
7,30,300,5,0.7,1.0,54879.680213800566,uniform,1926.930795430662,0.03511191734215131,10,"[3, 4, 15, 21, 25]",5,0.0,0.0,1.0,1.0,0.0,9.049433946609497
7,30,300,5,0.7,1.0,54879.680213800566,uniform,3610.7164971241937,0.0657933224657568,10,"[3, 4, 15, 21, 25]",5,0.0,0.0,1.0,1.0,0.0,8.724055051803589
7,30,300,5,0.7,1.0,54879.680213800566,uniform,6765.823481320728,0.12328467394420659,10,"[3, 4, 15, 21, 25]",5,0.0,0.0,1.0,1.0,0.0,8.857668161392212
7,30,300,5,0.7,1.0,54879.680213800566,uniform,12677.917919296679,0.23101297000831592,10,"[3, 4, 15, 21, 25]",5,0.0,0.0,1.0,1.0,0.0,8.673222064971924
