seed,p,n,k_star,p_edge,K,q_source,mu_rel,support,k_actual,S_recall,S_precision,causal_precision,correlate_inclusion,selectivity,auc_indist,test_gamma,auc,delta_auc
0,30,300,5,0.1,10,vanilla,0.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,nan,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,vanilla,0.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,nan,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,vanilla,0.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,nan,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,oracle,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,oracle,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,oracle,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,oracle,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,oracle,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,oracle,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,uniform,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,uniform,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,uniform,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,uniform,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,uniform,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,uniform,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,adversarial,0.5,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,1.0,0.9810188477951636,0.0
0,30,300,5,0.1,10,adversarial,0.5,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,0.0,0.9909333333333333,-0.00991448553816976
0,30,300,5,0.1,10,adversarial,0.5,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,-1.0,0.9817648105319339,-0.0007459627367703003
0,30,300,5,0.1,10,adversarial,2.0,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,1.0,0.9810188477951636,0.0
0,30,300,5,0.1,10,adversarial,2.0,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,0.0,0.9909333333333333,-0.00991448553816976
0,30,300,5,0.1,10,adversarial,2.0,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,-1.0,0.9817648105319339,-0.0007459627367703003
0,30,300,5,0.1,10,pc,0.5,"[1, 4, 10, 15, 17, 20, 21, 27, 28]",9,0.6,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.36821705426356593,0.9953769559032717,1.0,0.9953769559032717,0.0
0,30,300,5,0.1,10,pc,0.5,"[1, 4, 10, 15, 17, 20, 21, 27, 28]",9,0.6,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.36821705426356593,0.9953769559032717,0.0,0.9833333333333334,0.012043622569938295
0,30,300,5,0.1,10,pc,0.5,"[1, 4, 10, 15, 17, 20, 21, 27, 28]",9,0.6,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.36821705426356593,0.9953769559032717,-1.0,0.917830457214019,0.07754649868925267
0,30,300,5,0.1,10,pc,2.0,"[1, 4, 10, 15, 17, 21, 27, 28]",8,0.6,0.375,0.75,0.25,0.36821705426356593,0.9935988620199147,1.0,0.9935988620199147,0.0
0,30,300,5,0.1,10,pc,2.0,"[1, 4, 10, 15, 17, 21, 27, 28]",8,0.6,0.375,0.75,0.25,0.36821705426356593,0.9935988620199147,0.0,0.9853333333333334,0.008265528686581258
0,30,300,5,0.1,10,pc,2.0,"[1, 4, 10, 15, 17, 21, 27, 28]",8,0.6,0.375,0.75,0.25,0.36821705426356593,0.9935988620199147,-1.0,0.9249688667496886,0.06862999527022606
0,30,300,5,0.1,10,ges,0.5,"[2, 6, 10, 12, 17, 21, 22, 23]",8,1.0,0.625,0.875,0.125,0.23200757575757566,0.9979996443812232,1.0,0.9979996443812232,0.0
0,30,300,5,0.1,10,ges,0.5,"[2, 6, 10, 12, 17, 21, 22, 23]",8,1.0,0.625,0.875,0.125,0.23200757575757566,0.9979996443812232,0.0,0.9992888888888889,-0.0012892445076656545
0,30,300,5,0.1,10,ges,0.5,"[2, 6, 10, 12, 17, 21, 22, 23]",8,1.0,0.625,0.875,0.125,0.23200757575757566,0.9979996443812232,-1.0,0.9909268813378402,0.007072763043383001
0,30,300,5,0.1,10,ges,2.0,"[0, 2, 6, 10, 15, 17, 21, 22, 23]",9,1.0,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.23200757575757566,0.9985330725462305,1.0,0.9985330725462305,0.0
0,30,300,5,0.1,10,ges,2.0,"[0, 2, 6, 10, 15, 17, 21, 22, 23]",9,1.0,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.23200757575757566,0.9985330725462305,0.0,0.9992,-0.0006669274537695058
0,30,300,5,0.1,10,ges,2.0,"[0, 2, 6, 10, 15, 17, 21, 22, 23]",9,1.0,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.23200757575757566,0.9985330725462305,-1.0,0.9909713574097136,0.007561715136516822
0,30,300,5,0.1,10,iamb,0.5,"[2, 5, 8, 10, 17, 19, 21, 22, 28]",9,1.0,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.07416666666666666,0.9973773115220483,1.0,0.9973773115220483,0.0
0,30,300,5,0.1,10,iamb,0.5,"[2, 5, 8, 10, 17, 19, 21, 22, 28]",9,1.0,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.07416666666666666,0.9973773115220483,0.0,0.9972,0.0001773115220483623
0,30,300,5,0.1,10,iamb,0.5,"[2, 5, 8, 10, 17, 19, 21, 22, 28]",9,1.0,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.07416666666666666,0.9973773115220483,-1.0,0.9804750044476072,0.01690230707444118
0,30,300,5,0.1,10,iamb,2.0,"[2, 5, 8, 10, 17, 19, 21, 22, 28]",9,1.0,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.07416666666666666,0.9973773115220483,1.0,0.9973773115220483,0.0
0,30,300,5,0.1,10,iamb,2.0,"[2, 5, 8, 10, 17, 19, 21, 22, 28]",9,1.0,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.07416666666666666,0.9973773115220483,0.0,0.9972,0.0001773115220483623
0,30,300,5,0.1,10,iamb,2.0,"[2, 5, 8, 10, 17, 19, 21, 22, 28]",9,1.0,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.07416666666666666,0.9973773115220483,-1.0,0.9804750044476072,0.01690230707444118
