seed,p,n,k_star,p_edge,K,q_source,mu_rel,support,k_actual,S_recall,S_precision,causal_precision,correlate_inclusion,selectivity,auc_indist,test_gamma,auc,delta_auc
0,30,300,5,0.1,10,vanilla,0.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,nan,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,vanilla,0.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,nan,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,vanilla,0.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,nan,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,oracle,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,oracle,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,oracle,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,oracle,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,oracle,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,oracle,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,0.0,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,uniform,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,uniform,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,uniform,0.5,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,uniform,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,1.0,0.9974217638691324,0.0
0,30,300,5,0.1,10,uniform,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,0.0,0.9974666666666666,-4.4902797534218664e-05
0,30,300,5,0.1,10,uniform,2.0,"[0, 2, 6, 10, 17, 19, 20, 21, 22, 25]",10,1.0,0.5,0.8,0.1,1.0,0.9974217638691324,-1.0,0.9887920298879204,0.008629733981212029
0,30,300,5,0.1,10,adversarial,0.5,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,1.0,0.9810188477951636,0.0
0,30,300,5,0.1,10,adversarial,0.5,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,0.0,0.9909333333333333,-0.00991448553816976
0,30,300,5,0.1,10,adversarial,0.5,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,-1.0,0.9817648105319339,-0.0007459627367703003
0,30,300,5,0.1,10,adversarial,2.0,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,1.0,0.9810188477951636,0.0
0,30,300,5,0.1,10,adversarial,2.0,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,0.0,0.9909333333333333,-0.00991448553816976
0,30,300,5,0.1,10,adversarial,2.0,"[0, 1, 3, 8, 9, 12, 15, 19, 23, 29]",10,0.0,0.0,1.0,0.0,inf,0.9810188477951636,-1.0,0.9817648105319339,-0.0007459627367703003
0,30,300,5,0.1,10,pc,0.5,"[2, 6, 7, 10, 17, 20, 21, 22, 28]",9,1.0,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.106981981981982,0.9976440256045521,1.0,0.9976440256045521,0.0
0,30,300,5,0.1,10,pc,0.5,"[2, 6, 7, 10, 17, 20, 21, 22, 28]",9,1.0,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.106981981981982,0.9976440256045521,0.0,0.9985777777777778,-0.000933752173225666
0,30,300,5,0.1,10,pc,0.5,"[2, 6, 7, 10, 17, 20, 21, 22, 28]",9,1.0,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.106981981981982,0.9976440256045521,-1.0,0.9731364525885073,0.02450757301604478
0,30,300,5,0.1,10,pc,2.0,"[1, 2, 6, 7, 10, 17, 20, 21, 22, 28]",10,1.0,0.5,0.7,0.2,0.106981981981982,0.9989775960170697,1.0,0.9989775960170697,0.0
0,30,300,5,0.1,10,pc,2.0,"[1, 2, 6, 7, 10, 17, 20, 21, 22, 28]",10,1.0,0.5,0.7,0.2,0.106981981981982,0.9989775960170697,0.0,0.9987999999999999,0.0001775960170697921
0,30,300,5,0.1,10,pc,2.0,"[1, 2, 6, 7, 10, 17, 20, 21, 22, 28]",10,1.0,0.5,0.7,0.2,0.106981981981982,0.9989775960170697,-1.0,0.9835883294787404,0.015389266538329283
0,30,300,5,0.1,10,ges,0.5,"[2, 6, 10, 12, 17, 21, 22, 23]",8,1.0,0.625,0.875,0.125,0.23200757575757566,0.9979996443812232,1.0,0.9979996443812232,0.0
0,30,300,5,0.1,10,ges,0.5,"[2, 6, 10, 12, 17, 21, 22, 23]",8,1.0,0.625,0.875,0.125,0.23200757575757566,0.9979996443812232,0.0,0.9992888888888889,-0.0012892445076656545
0,30,300,5,0.1,10,ges,0.5,"[2, 6, 10, 12, 17, 21, 22, 23]",8,1.0,0.625,0.875,0.125,0.23200757575757566,0.9979996443812232,-1.0,0.9909268813378402,0.007072763043383001
0,30,300,5,0.1,10,ges,2.0,"[0, 2, 6, 10, 15, 17, 21, 22, 23]",9,1.0,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.23200757575757566,0.9985330725462305,1.0,0.9985330725462305,0.0
0,30,300,5,0.1,10,ges,2.0,"[0, 2, 6, 10, 15, 17, 21, 22, 23]",9,1.0,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.23200757575757566,0.9985330725462305,0.0,0.9992,-0.0006669274537695058
0,30,300,5,0.1,10,ges,2.0,"[0, 2, 6, 10, 15, 17, 21, 22, 23]",9,1.0,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.23200757575757566,0.9985330725462305,-1.0,0.9909713574097136,0.007561715136516822
0,30,300,5,0.1,10,bootstrap_l1,0.5,"[2, 10, 12, 15, 17, 19, 20, 21, 22, 23]",10,1.0,0.5,0.9,0.0,0.41201636904761907,0.998710881934566,1.0,0.998710881934566,0.0
0,30,300,5,0.1,10,bootstrap_l1,0.5,"[2, 10, 12, 15, 17, 19, 20, 21, 22, 23]",10,1.0,0.5,0.9,0.0,0.41201636904761907,0.998710881934566,0.0,0.9983555555555554,0.00035532637901058983
0,30,300,5,0.1,10,bootstrap_l1,0.5,"[2, 10, 12, 15, 17, 19, 20, 21, 22, 23]",10,1.0,0.5,0.9,0.0,0.41201636904761907,0.998710881934566,-1.0,0.9968421988969934,0.0018686830375725938
0,30,300,5,0.1,10,bootstrap_l1,2.0,"[2, 10, 12, 15, 17, 19, 20, 21, 22, 23]",10,1.0,0.5,0.9,0.0,0.41201636904761907,0.998710881934566,1.0,0.998710881934566,0.0
0,30,300,5,0.1,10,bootstrap_l1,2.0,"[2, 10, 12, 15, 17, 19, 20, 21, 22, 23]",10,1.0,0.5,0.9,0.0,0.41201636904761907,0.998710881934566,0.0,0.9983555555555556,0.0003553263790104788
0,30,300,5,0.1,10,bootstrap_l1,2.0,"[2, 10, 12, 15, 17, 19, 20, 21, 22, 23]",10,1.0,0.5,0.9,0.0,0.41201636904761907,0.998710881934566,-1.0,0.9968421988969934,0.0018686830375725938
