feature,n_runs_present,k1_count,k2_count,k4_count,k5_count,k6_count,mean_k,mode_k,median_k
dlm_mic,100,0,0.0,9.0,58,33,5.24,5,5.0
fgd1_Phe320Phe,100,99,1.0,0.0,0,0,1.01,1,1.0
fgd1_G*357C,100,100,0.0,0.0,0,0,1.0,1,1.0
lineage_2,100,100,0.0,0.0,0,0,1.0,1,1.0
lineage_4,100,100,0.0,0.0,0,0,1.0,1,1.0
mmpl5_Asp767Asn,100,100,0.0,0.0,0,0,1.0,1,1.0
mmpl5_Ile948Val,100,100,0.0,0.0,0,0,1.0,1,1.0
mmpl5_Thr794Ile,100,100,0.0,0.0,0,0,1.0,1,1.0
pepq_Ala87Gly,100,100,0.0,0.0,0,0,1.0,1,1.0
rv0678_G*128C,100,100,0.0,0.0,0,0,1.0,1,1.0
rv1979c_C*135G,97,97,0.0,0.0,0,0,1.0,1,1.0
type_beyond_MDR,64,64,0.0,0.0,0,0,1.0,1,1.0
