param,value,seed,model,sd,sc,shd,fpr,tpr,f1,f1_bin_bin,precision_bin_bin,recall_bin_bin,f1_bin_cont,precision_bin_cont,recall_bin_cont
n_mix,2,0,gaussian,0.8888888888888888,0.665026455026455,0.35555555555555557,0.0,0.1,0.18181818181818182,0.0,0.0,0.0,0.4,0.333,0.5
n_mix,2,0,logistic,0.7111111111111111,0.4687301587301588,0.3333333333333333,0.0,0.2,0.3333333333333333,0.286,0.375,0.231,0.2,0.125,0.5
n_mix,2,1,gaussian,0.8888888888888888,0.7764285714285715,0.4666666666666667,0.0,0.0,0.0,0.095,0.25,0.059,0.0,0.0,0.0
n_mix,2,1,logistic,0.9333333333333333,0.7482804232804233,0.4,0.0,0.2,0.3333333333333333,0.2,0.667,0.118,0.0,0.0,0.0
n_mix,2,2,gaussian,0.4666666666666667,0.4331657848324515,0.2,0.0,0.25,0.4,0.286,0.5,0.2,0.4,0.25,1.0
n_mix,2,2,logistic,0.4444444444444444,0.46057319223985893,0.24444444444444444,0.020833333333333332,0.25,0.2857142857142857,0.143,0.25,0.1,0.4,0.25,1.0
n_mix,2,3,gaussian,0.6888888888888889,0.6416931216931215,0.4888888888888889,0.021052631578947368,0.2,0.25,0.0,0.0,0.0,0.286,0.167,1.0
n_mix,2,3,logistic,0.7555555555555555,0.7068253968253968,0.4222222222222222,0.010526315789473684,0.2,0.2857142857142857,0.0,0.0,0.0,0.5,0.333,1.0
n_mix,2,4,gaussian,0.7111111111111111,0.6102116402116402,0.35555555555555557,0.0,0.25,0.4,0.095,0.143,0.071,0.6,0.429,1.0
n_mix,2,4,logistic,0.4222222222222222,0.4168783068783068,0.26666666666666666,0.011363636363636364,0.5833333333333334,0.7,0.4,0.455,0.357,0.429,0.273,1.0
n_mix,2,5,gaussian,0.9111111111111111,0.800952380952381,0.5333333333333333,0.02247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,5,logistic,0.8444444444444444,0.6045679012345679,0.4444444444444444,0.02247191011235955,0.09090909090909091,0.14285714285714285,0.24,0.429,0.167,0.2,0.143,0.333
n_mix,2,6,gaussian,0.8,0.5385185185185185,0.28888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,6,logistic,0.7777777777777778,0.5162962962962964,0.26666666666666666,0.0,0.0,0.0,0.143,1.0,0.077,0.0,0.0,0.0
n_mix,2,7,gaussian,0.6888888888888889,0.6266931216931216,0.35555555555555557,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,7,logistic,0.6666666666666666,0.6066931216931217,0.3333333333333333,0.010638297872340425,0.0,0.0,0.133,0.333,0.083,0.0,0.0,0.0
n_mix,2,8,gaussian,0.4444444444444444,0.3951851851851852,0.28888888888888886,0.021505376344086023,0.14285714285714285,0.2,0.133,0.167,0.111,0.0,0.0,0.0
n_mix,2,8,logistic,0.4666666666666667,0.3755026455026455,0.28888888888888886,0.010752688172043012,0.14285714285714285,0.2222222222222222,0.133,0.167,0.111,0.0,0.0,0.0
n_mix,2,9,gaussian,0.6,0.5731481481481482,0.4444444444444444,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,9,logistic,0.5111111111111111,0.35103174603174603,0.26666666666666666,0.0,0.5,0.6666666666666666,0.5,0.75,0.375,0.0,0.0,0.0
n_mix,3,0,gaussian,0.6,0.6484656084656085,0.3333333333333333,0.03333333333333333,0.3,0.375,0.105,0.167,0.077,0.5,0.333,1.0
n_mix,3,0,logistic,0.6222222222222222,0.6487301587301588,0.3111111111111111,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.8,0.667,1.0
n_mix,3,1,gaussian,0.6444444444444445,0.5246296296296297,0.5111111111111111,0.022222222222222223,0.2,0.2857142857142857,0.0,0.0,0.0,0.4,0.25,1.0
n_mix,3,1,logistic,0.6444444444444445,0.5675925925925926,0.37777777777777777,0.011111111111111112,0.3,0.42857142857142855,0.24,0.375,0.176,0.4,0.25,1.0
n_mix,3,2,gaussian,0.6222222222222222,0.46649911816578477,0.24444444444444444,0.010416666666666666,0.0,0.0,0.167,0.5,0.1,0.0,0.0,0.0
n_mix,3,2,logistic,0.5111111111111111,0.4294620811287478,0.2,0.010416666666666666,0.5,0.5714285714285714,0.429,0.75,0.3,0.0,0.0,0.0
n_mix,3,3,gaussian,0.9111111111111111,0.7208994708994708,0.4222222222222222,0.0,0.0,0.0,0.1,0.333,0.059,0.0,0.0,0.0
n_mix,3,3,logistic,0.5555555555555556,0.25735449735449734,0.4222222222222222,0.042105263157894736,0.0,0.0,0.357,0.455,0.294,0.0,0.0,0.0
n_mix,3,4,gaussian,0.8444444444444444,0.6743386243386243,0.4,0.0,0.16666666666666666,0.2857142857142857,0.0,0.0,0.0,0.5,0.4,0.667
n_mix,3,4,logistic,0.5777777777777777,0.6457671957671958,0.28888888888888886,0.0,0.4166666666666667,0.5882352941176471,0.3,0.5,0.214,0.444,0.333,0.667
n_mix,3,5,gaussian,0.6888888888888889,0.5997883597883598,0.4,0.02247191011235955,0.45454545454545453,0.5555555555555556,0.16,0.286,0.111,0.6,0.429,1.0
n_mix,3,5,logistic,0.7111111111111111,0.6244444444444445,0.4,0.011235955056179775,0.2727272727272727,0.4,0.16,0.286,0.111,0.6,0.429,1.0
n_mix,3,6,gaussian,0.7555555555555555,0.5437037037037037,0.3111111111111111,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
