param,value,seed,model,edges,sd,sc,shd,fpr,tpr,f1,tp,mcc,shd-nm,f1_bin_bin,f1_bin_cont,precision_bin_bin,precision_bin_cont,recall_bin_bin,recall_bin_cont
n_mix,2,0,gaussian,mut_0->Y;mut_3->mut_2;mut_6->Y,0.6444444444444445,0.6835449735449736,0.3111111111111111,0.0,0.2,0.3333333333333333,2,0.42857142857142855,0.001382716049382716,0.0,1.0,0.0,1.0,0.0,1.0
n_mix,2,0,logistic,mut_0->Y;mut_6->Y;mut_8->mut_5,0.6222222222222222,0.6487301587301588,0.3111111111111111,0.0,0.2,0.3333333333333333,2,0.42857142857142855,0.001382716049382716,0.0,1.0,0.0,1.0,0.0,1.0
n_mix,2,1,gaussian,mut_2->mut_5,0.8888888888888888,0.8375925925925924,0.4444444444444444,0.011111111111111112,0.0,0.0,0,-0.0335012605086404,0.0012311480455524776,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,1,logistic,mut_4->mut_0,0.8888888888888888,0.8371693121693122,0.4444444444444444,0.0,0.0,0.0,0,1,0.0012311480455524776,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,2,gaussian,mut_0->mut_8;mut_2->mut_1;mut_3->mut_1;mut_4->mut_6,0.7555555555555555,0.473641975308642,0.3333333333333333,0.020833333333333332,0.0,0.0,0,-0.029160592175990215,0.002754820936639118,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,2,logistic,mut_4->mut_7,0.7111111111111111,0.4702028218694885,0.26666666666666666,0.010416666666666666,0.0,0.0,0,-0.020515248496555453,0.0022038567493112946,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,2,3,gaussian,mut_0->mut_7;mut_0->mut_8;mut_3->Y;mut_6->mut_4,0.7333333333333333,0.6683068783068783,0.4444444444444444,0.021052631578947368,0.2,0.25,1,0.22862600438803554,0.0013717421124828531,0.0,1.0,0.0,1.0,0.0,1.0
n_mix,2,3,logistic,mut_3->Y;mut_3->mut_6;mut_4->mut_2,0.7555555555555555,0.6697883597883598,0.37777777777777777,0.0,0.4,0.5714285714285714,2,0.6226998490772391,0.0011659807956104253,0.10526315789473684,1.0,0.5,1.0,0.058823529411764705,1.0
n_mix,2,4,gaussian,mut_0->mut_4;mut_0->mut_8;mut_6->Y,0.5111111111111111,0.7161375661375662,0.35555555555555557,0.011363636363636364,0.16666666666666666,0.26666666666666666,2,0.29584579066572636,0.0012302960399846214,0.125,0.5,0.5,1.0,0.07142857142857142,0.3333333333333333
n_mix,2,4,logistic,mut_5->Y;mut_5->mut_7;mut_6->Y;mut_6->mut_0;mut_7->Y,0.5111111111111111,0.6447089947089947,0.35555555555555557,0.011363636363636364,0.25,0.375,3,0.39573363975831477,0.0012302960399846214,0.0,1.0,0.0,1.0,0.0,1.0
