feature,n_runs_present,k1_count,k2_count,k3_count,k4_count,k5_count,k6_count,mean_k,median_k,mode_k
dlm_mic,100,1,0,1,11,32,55,5.38,6.0,6
lineage_4,100,99,1,0,0,0,0,1.01,1.0,1
rv0678_G*128C,69,69,0,0,0,0,0,1.0,1.0,1
mmpl5_Asp767Asn,100,100,0,0,0,0,0,1.0,1.0,1
mmpl5_Thr794Ile,100,100,0,0,0,0,0,1.0,1.0,1
mmpl5_Ile948Val,100,100,0,0,0,0,0,1.0,1.0,1
pepq_Ala87Gly,100,100,0,0,0,0,0,1.0,1.0,1
fgd1_G*357C,94,94,0,0,0,0,0,1.0,1.0,1
fgd1_Phe320Phe,100,100,0,0,0,0,0,1.0,1.0,1
lineage_2,100,100,0,0,0,0,0,1.0,1.0,1
