Graphviz is not installed. 
  Please install this program in order to visualize graphical models in pyagrum. 
  See https://graphviz.org/download/
isolates with dlm_mic: 164 / 164
mutations after prevalence filter: 17, X shape: (164, 20)
include_lineage=True, lineage cols: ['lineage_2', 'lineage_4']
k_max=5, min_cluster_count=5, col_threshold=25
mutations below col_threshold (25): ['pepq_Leu163Arg', 'rrl_1476188_C>T', 'fbic_C*92G', 'fbic_Leu55Leu', 'fbic_Thr560Thr', 'fbic_Trp678Gly', 'fbid_T-298C', 'fbid_Thr207Pro', 'fgd1_Lys270Met']
run 1/100 done in 319.1s (11 features kept, attempt 1)
run 2/100 done in 234.9s (10 features kept, attempt 1)
run 3/100 done in 351.3s (11 features kept, attempt 1)
run 4/100 done in 318.0s (11 features kept, attempt 1)
run 5/100 done in 274.9s (11 features kept, attempt 1)
run 6/100 done in 351.6s (11 features kept, attempt 1)
run 7/100 done in 253.4s (10 features kept, attempt 1)
run 8/100 done in 263.4s (11 features kept, attempt 1)
run 9/100 done in 354.2s (11 features kept, attempt 1)
run 10/100 done in 268.3s (11 features kept, attempt 1)
run 11/100 done in 360.6s (11 features kept, attempt 1)
run 12/100 done in 246.0s (11 features kept, attempt 1)
run 13/100 done in 308.9s (11 features kept, attempt 1)
run 14/100 done in 277.1s (11 features kept, attempt 1)
run 15/100 done in 285.3s (11 features kept, attempt 1)
run 16/100 done in 381.1s (11 features kept, attempt 1)
run 17/100 done in 367.6s (11 features kept, attempt 1)
run 18/100 done in 371.0s (11 features kept, attempt 1)
run 19/100 done in 264.8s (11 features kept, attempt 1)
run 20/100 done in 422.7s (11 features kept, attempt 1)
run 21/100 done in 277.4s (11 features kept, attempt 1)
run 22/100 done in 366.1s (11 features kept, attempt 1)
run 23/100 done in 378.5s (11 features kept, attempt 1)
run 24/100 done in 314.9s (11 features kept, attempt 1)
run 25/100 done in 301.6s (11 features kept, attempt 1)
run 26/100 done in 338.0s (11 features kept, attempt 1)
run 27/100 done in 321.8s (11 features kept, attempt 1)
run 28/100 done in 319.1s (11 features kept, attempt 1)
run 29/100 done in 359.4s (11 features kept, attempt 1)
run 30/100 done in 287.7s (11 features kept, attempt 1)
run 31/100 done in 299.2s (11 features kept, attempt 1)
run 32/100 done in 403.8s (11 features kept, attempt 1)
run 33/100 done in 278.3s (11 features kept, attempt 1)
run 34/100 done in 316.8s (11 features kept, attempt 1)
