source,target,count,n_eligible,frequency
mmpl5_Thr794Ile,lineage_4,95,100,0.95
mmpl5_Thr794Ile,lineage_2,95,100,0.95
mmpl5_Asp767Asn,lineage_2,95,100,0.95
mmpl5_Thr794Ile,mmpl5_Asp767Asn,68,100,0.68
mmpl5_Thr794Ile,cfz_mic,61,100,0.61
mmpl5_Thr794Ile,bdq_mic,55,100,0.55
mmpl5_Asp767Asn,bdq_mic,50,100,0.5
mmpl5_Asp767Asn,cfz_mic,39,100,0.39
mmpl5_Asp767Asn,mmpl5_Thr794Ile,32,100,0.32
mmpl5_Thr794Ile,pepq_Ala87Gly,31,100,0.31
burden_efflux,bdq_mic,29,100,0.29
burden_efflux,cfz_mic,29,100,0.29
pepq_Ala87Gly,bdq_mic,26,100,0.26
pepq_Ala87Gly,cfz_mic,23,90,0.25555555555555554
mmpl5_Asp767Asn,pepq_Ala87Gly,16,80,0.2
pepq_Ala87Gly,mmpl5_Thr794Ile,15,90,0.16666666666666666
lineage_4,bdq_mic,3,20,0.15
lineage_2,cfz_mic,4,30,0.13333333333333333
mmpl5_Thr794Ile,burden_efflux,1,10,0.1
mmpl5_Asp767Asn,lineage_4,4,40,0.1
lineage_4,cfz_mic,2,20,0.1
lineage_2,bdq_mic,4,40,0.1
burden_efflux,pepq_Ala87Gly,1,10,0.1
burden_efflux,mmpl5_Thr794Ile,1,10,0.1
pepq_Ala87Gly,lineage_2,2,20,0.1
pepq_Ala87Gly,lineage_4,3,30,0.1
pepq_Ala87Gly,mmpl5_Asp767Asn,2,20,0.1
