source,target,count,n_eligible,frequency
lineage_2,mmpl5_Asp767Asn,100,100,1.0
lineage_2,fgd1_Lys270Met,1,1,1.0
lineage_2,rv0678_G*128C,93,100,0.93
lineage_4,mmpl5_Thr794Ile,91,100,0.91
lineage_4,fgd1_Phe320Phe,91,100,0.91
rv0678_G*128C,fgd1_G*357C,81,100,0.81
lineage_2,dlm_mic,55,100,0.55
rv1979c_C*135G,fgd1_G*357C,49,95,0.5157894736842106
lineage_4,fgd1_G*357C,46,100,0.46
pepq_Ala87Gly,dlm_mic,41,100,0.41
rv0678_G*128C,rv1979c_C*135G,38,95,0.4
lineage_4,rv1979c_C*135G,38,95,0.4
rv1979c_C*135G,dlm_mic,35,95,0.3684210526315789
type_beyond_MDR,pepq_Ala87Gly,18,52,0.34615384615384615
type_beyond_MDR,dlm_mic,14,52,0.2692307692307692
lineage_2,rv1979c_C*135G,23,95,0.24210526315789474
fgd1_G*357C,fgd1_Phe320Phe,20,100,0.2
fgd1_G*357C,mmpl5_Thr794Ile,20,100,0.2
rv1979c_C*135G,rv0678_G*128C,19,95,0.2
fgd1_G*357C,rv0678_G*128C,19,100,0.19
rv0678_G*128C,dlm_mic,19,100,0.19
fgd1_G*357C,rv1979c_C*135G,17,95,0.17894736842105263
lineage_2,pepq_Ala87Gly,15,100,0.15
lineage_2,mmpl5_Thr794Ile,10,100,0.1
lineage_4,dlm_mic,10,100,0.1
lineage_2,fgd1_Phe320Phe,10,100,0.1
fgd1_G*357C,dlm_mic,9,100,0.09
lineage_2,fgd1_G*357C,7,100,0.07
mmpl5_Asp767Asn,dlm_mic,6,100,0.06
lineage_4,rv0678_G*128C,3,100,0.03
fgd1_G*357C,pepq_Ala87Gly,2,100,0.02
rv0678_G*128C,pepq_Ala87Gly,2,100,0.02
lineage_4,mmpl5_Asp767Asn,2,100,0.02
type_beyond_MDR,rv1979c_C*135G,1,51,0.0196078431372549
type_beyond_MDR,fgd1_G*357C,1,52,0.019230769230769232
rv1979c_C*135G,pepq_Ala87Gly,1,95,0.010526315789473684
mmpl5_Asp767Asn,fgd1_G*357C,1,100,0.01
lineage_4,pepq_Ala87Gly,1,100,0.01
lineage_2,mmpl5_Ile948Val,1,100,0.01
