source,target,count,n_eligible,frequency
mmpl5_Asp767Asn,lineage_2,96,100,0.96
rv0678_G*128C,fgd1_G*357C,69,100,0.69
mmpl5_Thr794Ile,fgd1_Phe320Phe,61,100,0.61
mmpl5_Thr794Ile,lineage_4,59,100,0.59
rv0678_G*128C,lineage_2,55,100,0.55
rv1979c_C*135G,fgd1_G*357C,52,97,0.5360824742268041
rv1979c_C*135G,dlm_mic,48,97,0.4948453608247423
mmpl5_Asp767Asn,mmpl5_Thr794Ile,48,100,0.48
rv0678_G*128C,dlm_mic,45,100,0.45
fgd1_G*357C,mmpl5_Thr794Ile,40,100,0.4
pepq_Ala87Gly,dlm_mic,37,100,0.37
mmpl5_Asp767Asn,rv0678_G*128C,36,100,0.36
mmpl5_Asp767Asn,dlm_mic,36,100,0.36
fgd1_G*357C,lineage_4,31,90,0.34444444444444444
fgd1_G*357C,fgd1_Phe320Phe,31,90,0.34444444444444444
rv0678_G*128C,mmpl5_Asp767Asn,33,100,0.33
fgd1_G*357C,rv1979c_C*135G,31,97,0.31958762886597936
mmpl5_Thr794Ile,mmpl5_Asp767Asn,31,100,0.31
rv0678_G*128C,rv1979c_C*135G,27,97,0.27835051546391754
fgd1_G*357C,rv0678_G*128C,27,100,0.27
mmpl5_Asp767Asn,fgd1_Phe320Phe,24,90,0.26666666666666666
mmpl5_Asp767Asn,lineage_4,23,90,0.25555555555555554
fgd1_G*357C,lineage_2,25,100,0.25
rv1979c_C*135G,rv0678_G*128C,24,97,0.24742268041237114
mmpl5_Thr794Ile,fgd1_G*357C,18,80,0.225
rv0678_G*128C,pepq_Ala87Gly,17,80,0.2125
fgd1_Phe320Phe,mmpl5_Asp767Asn,19,90,0.2111111111111111
fgd1_Phe320Phe,lineage_4,21,100,0.21
fgd1_Phe320Phe,mmpl5_Thr794Ile,21,100,0.21
pepq_Ala87Gly,mmpl5_Thr794Ile,2,10,0.2
mmpl5_Thr794Ile,lineage_2,9,50,0.18
mmpl5_Asp767Asn,fgd1_G*357C,16,90,0.17777777777777778
mmpl5_Thr794Ile,dlm_mic,14,80,0.175
fgd1_Phe320Phe,dlm_mic,17,100,0.17
rv1979c_C*135G,lineage_2,13,78,0.16666666666666666
fgd1_Phe320Phe,rv1979c_C*135G,8,48,0.16666666666666666
fgd1_Phe320Phe,rv0678_G*128C,10,60,0.16666666666666666
fgd1_Phe320Phe,fgd1_G*357C,15,90,0.16666666666666666
rv1979c_C*135G,mmpl5_Thr794Ile,14,88,0.1590909090909091
mmpl5_Thr794Ile,rv0678_G*128C,14,90,0.15555555555555556
mmpl5_Asp767Asn,rv1979c_C*135G,12,78,0.15384615384615385
mmpl5_Asp767Asn,pepq_Ala87Gly,6,40,0.15
mmpl5_Thr794Ile,pepq_Ala87Gly,3,20,0.15
lineage_4,dlm_mic,3,20,0.15
fgd1_Phe320Phe,lineage_2,6,40,0.15
rv0678_G*128C,mmpl5_Thr794Ile,10,70,0.14285714285714285
mmpl5_Thr794Ile,rv1979c_C*135G,11,78,0.14102564102564102
fgd1_G*357C,mmpl5_Asp767Asn,7,50,0.14
fgd1_G*357C,dlm_mic,7,50,0.14
fgd1_G*357C,pepq_Ala87Gly,8,60,0.13333333333333333
rv1979c_C*135G,mmpl5_Asp767Asn,4,38,0.10526315789473684
rv1979c_C*135G,lineage_4,4,39,0.10256410256410256
rv1979c_C*135G,pepq_Ala87Gly,5,49,0.10204081632653061
rv0678_G*128C,lineage_4,1,10,0.1
rv0678_G*128C,fgd1_Phe320Phe,4,40,0.1
pepq_Ala87Gly,rv0678_G*128C,2,20,0.1
pepq_Ala87Gly,mmpl5_Asp767Asn,2,20,0.1
fgd1_Phe320Phe,pepq_Ala87Gly,3,30,0.1
rv1979c_C*135G,fgd1_Phe320Phe,4,40,0.1
lineage_2,dlm_mic,4,40,0.1
mmpl5_Ile948Val,dlm_mic,1,10,0.1
pepq_Ala87Gly,rv1979c_C*135G,2,20,0.1
