source,target,count,n_eligible,frequency
mmpl5_Asp767Asn,lineage_2,88,100,0.88
mmpl5_Thr794Ile,lineage_4,77,100,0.77
rv1979c_C*135G,fgd1_G*357C,60,98,0.6122448979591837
rv0678_G*128C,lineage_2,49,90,0.5444444444444444
mmpl5_Thr794Ile,mmpl5_Asp767Asn,52,100,0.52
mmpl5_Asp767Asn,rv0678_G*128C,52,100,0.52
rv0678_G*128C,fgd1_G*357C,50,100,0.5
mmpl5_Asp767Asn,mmpl5_Thr794Ile,48,100,0.48
fgd1_G*357C,mmpl5_Thr794Ile,40,90,0.4444444444444444
fgd1_G*357C,rv0678_G*128C,44,100,0.44
mmpl5_Thr794Ile,fgd1_G*357C,34,100,0.34
mmpl5_Thr794Ile,cfz_mic,34,100,0.34
fgd1_G*357C,rv1979c_C*135G,33,98,0.336734693877551
mmpl5_Thr794Ile,lineage_2,32,100,0.32
mmpl5_Thr794Ile,rv1979c_C*135G,29,98,0.29591836734693877
pepq_Ala87Gly,bdq_mic,26,90,0.28888888888888886
fgd1_G*357C,dlm_mic,17,60,0.2833333333333333
mmpl5_Asp767Asn,bdq_mic,25,90,0.2777777777777778
rv0678_G*128C,rv1979c_C*135G,27,98,0.2755102040816326
rv1979c_C*135G,dlm_mic,24,88,0.2727272727272727
mmpl5_Thr794Ile,bdq_mic,27,100,0.27
pepq_Ala87Gly,dlm_mic,27,100,0.27
rv1979c_C*135G,bdq_mic,22,88,0.25
burden_f420_activation,dlm_mic,25,100,0.25
mmpl5_Asp767Asn,cfz_mic,24,100,0.24
pepq_Ala87Gly,cfz_mic,24,100,0.24
fgd1_G*357C,lineage_2,19,80,0.2375
mmpl5_Thr794Ile,ptm_mic,21,90,0.23333333333333334
rv0678_G*128C,cfz_mic,16,70,0.22857142857142856
rv0678_G*128C,bdq_mic,18,80,0.225
rv1979c_C*135G,cfz_mic,22,98,0.22448979591836735
mmpl5_Asp767Asn,lineage_4,22,100,0.22
burden_linezolid,dlm_mic,15,70,0.21428571428571427
burden_efflux,cfz_mic,19,89,0.21348314606741572
rv1979c_C*135G,lineage_2,4,19,0.21052631578947367
burden_linezolid,bdq_mic,21,100,0.21
burden_f420_activation,cfz_mic,21,100,0.21
rv0678_G*128C,mmpl5_Asp767Asn,21,100,0.21
rv0678_G*128C,dlm_mic,21,100,0.21
rv1979c_C*135G,mmpl5_Thr794Ile,18,88,0.20454545454545456
mmpl5_Asp767Asn,ptm_mic,18,90,0.2
fgd1_G*357C,ptm_mic,12,60,0.2
fgd1_G*357C,mmpl5_Asp767Asn,12,60,0.2
pepq_Ala87Gly,mmpl5_Asp767Asn,2,10,0.2
burden_f420_activation,ptm_mic,18,90,0.2
rv0678_G*128C,ptm_mic,16,80,0.2
burden_efflux,burden_linezolid,14,70,0.2
mmpl5_Asp767Asn,dlm_mic,20,100,0.2
rv1979c_C*135G,rv0678_G*128C,17,88,0.19318181818181818
rv1979c_C*135G,ptm_mic,15,78,0.19230769230769232
fgd1_G*357C,bdq_mic,15,80,0.1875
burden_linezolid,cfz_mic,16,90,0.17777777777777778
fgd1_G*357C,pepq_Ala87Gly,16,90,0.17777777777777778
burden_f420_activation,bdq_mic,16,90,0.17777777777777778
mmpl5_Thr794Ile,dlm_mic,16,90,0.17777777777777778
fgd1_G*357C,lineage_4,14,80,0.175
rv1979c_C*135G,lineage_4,12,70,0.17142857142857143
fgd1_G*357C,cfz_mic,12,70,0.17142857142857143
