source,target,count,n_eligible,frequency
mmpl5_Asp767Asn,lineage_2,100,100,1.0
type_beyond_MDR,pepq_Ala87Gly,54,64,0.84375
mmpl5_Thr794Ile,lineage_4,77,100,0.77
mmpl5_Thr794Ile,fgd1_Phe320Phe,69,100,0.69
type_beyond_MDR,mmpl5_Thr794Ile,40,64,0.625
rv1979c_C*135G,fgd1_G*357C,55,97,0.5670103092783505
rv1979c_C*135G,dlm_mic,50,97,0.5154639175257731
mmpl5_Asp767Asn,mmpl5_Thr794Ile,49,100,0.49
rv0678_G*128C,fgd1_G*357C,49,100,0.49
mmpl5_Thr794Ile,mmpl5_Asp767Asn,47,100,0.47
fgd1_G*357C,rv0678_G*128C,40,90,0.4444444444444444
fgd1_G*357C,mmpl5_Thr794Ile,43,100,0.43
mmpl5_Asp767Asn,rv0678_G*128C,40,100,0.4
rv0678_G*128C,lineage_2,40,100,0.4
pepq_Ala87Gly,dlm_mic,37,100,0.37
fgd1_G*357C,rv1979c_C*135G,35,97,0.36082474226804123
fgd1_G*357C,lineage_2,35,100,0.35
mmpl5_Asp767Asn,fgd1_Phe320Phe,34,100,0.34
mmpl5_Thr794Ile,fgd1_G*357C,33,100,0.33
mmpl5_Thr794Ile,rv1979c_C*135G,28,87,0.3218390804597701
rv1979c_C*135G,rv0678_G*128C,24,77,0.3116883116883117
mmpl5_Thr794Ile,dlm_mic,31,100,0.31
fgd1_G*357C,fgd1_Phe320Phe,28,100,0.28
mmpl5_Thr794Ile,rv0678_G*128C,26,100,0.26
mmpl5_Asp767Asn,lineage_4,25,100,0.25
fgd1_G*357C,lineage_4,25,100,0.25
rv0678_G*128C,rv1979c_C*135G,21,87,0.2413793103448276
type_beyond_MDR,mmpl5_Asp767Asn,13,54,0.24074074074074073
rv0678_G*128C,mmpl5_Asp767Asn,24,100,0.24
rv0678_G*128C,dlm_mic,24,100,0.24
mmpl5_Asp767Asn,dlm_mic,23,100,0.23
fgd1_G*357C,dlm_mic,16,70,0.22857142857142856
type_beyond_MDR,rv1979c_C*135G,6,27,0.2222222222222222
mmpl5_Asp767Asn,fgd1_G*357C,12,60,0.2
mmpl5_Thr794Ile,lineage_2,15,80,0.1875
fgd1_G*357C,mmpl5_Asp767Asn,14,80,0.175
type_beyond_MDR,rv0678_G*128C,4,24,0.16666666666666666
rv1979c_C*135G,mmpl5_Thr794Ile,8,48,0.16666666666666666
mmpl5_Asp767Asn,rv1979c_C*135G,6,40,0.15
rv1979c_C*135G,lineage_2,10,68,0.14705882352941177
type_beyond_MDR,fgd1_G*357C,5,35,0.14285714285714285
fgd1_Phe320Phe,mmpl5_Asp767Asn,4,30,0.13333333333333333
fgd1_Phe320Phe,lineage_4,4,30,0.13333333333333333
fgd1_Phe320Phe,mmpl5_Thr794Ile,4,30,0.13333333333333333
fgd1_G*357C,pepq_Ala87Gly,8,70,0.11428571428571428
fgd1_Phe320Phe,rv1979c_C*135G,2,19,0.10526315789473684
rv1979c_C*135G,fgd1_Phe320Phe,4,38,0.10526315789473684
rv1979c_C*135G,lineage_4,4,38,0.10526315789473684
rv1979c_C*135G,pepq_Ala87Gly,2,19,0.10526315789473684
rv0678_G*128C,mmpl5_Thr794Ile,2,20,0.1
pepq_Ala87Gly,rv0678_G*128C,2,20,0.1
mmpl5_Ile948Val,rv1979c_C*135G,2,20,0.1
pepq_Ala87Gly,fgd1_G*357C,1,10,0.1
fgd1_Phe320Phe,dlm_mic,2,20,0.1
mmpl5_Asp767Asn,pepq_Ala87Gly,2,20,0.1
fgd1_Phe320Phe,fgd1_G*357C,3,30,0.1
rv0678_G*128C,pepq_Ala87Gly,4,40,0.1
rv1979c_C*135G,mmpl5_Asp767Asn,4,40,0.1
rv0678_G*128C,fgd1_Phe320Phe,1,10,0.1
fgd1_Phe320Phe,lineage_2,1,10,0.1
mmpl5_Thr794Ile,pepq_Ala87Gly,2,20,0.1
