source,target,count,n_eligible,frequency
lineage_2,mmpl5_Asp767Asn,97,100,0.97
lineage_4,mmpl5_Thr794Ile,96,100,0.96
lineage_4,fgd1_Phe320Phe,96,100,0.96
lineage_2,rv0678_G*128C,93,100,0.93
rv0678_G*128C,fgd1_G*357C,69,100,0.69
pepq_Ala87Gly,dlm_mic,63,100,0.63
rv1979c_C*135G,fgd1_G*357C,51,90,0.5666666666666667
lineage_4,fgd1_G*357C,49,100,0.49
lineage_2,dlm_mic,46,100,0.46
lineage_4,rv1979c_C*135G,38,90,0.4222222222222222
rv1979c_C*135G,dlm_mic,32,90,0.35555555555555557
rv0678_G*128C,rv1979c_C*135G,29,90,0.32222222222222224
fgd1_G*357C,rv0678_G*128C,31,100,0.31
lineage_2,pepq_Ala87Gly,28,100,0.28
fgd1_G*357C,rv1979c_C*135G,23,90,0.25555555555555554
lineage_2,rv1979c_C*135G,17,90,0.18888888888888888
mmpl5_Asp767Asn,dlm_mic,15,100,0.15
lineage_4,dlm_mic,14,100,0.14
rv1979c_C*135G,rv0678_G*128C,11,90,0.12222222222222222
lineage_2,fgd1_G*357C,12,100,0.12
fgd1_G*357C,dlm_mic,11,100,0.11
rv0678_G*128C,dlm_mic,11,100,0.11
fgd1_G*357C,fgd1_Phe320Phe,10,100,0.1
fgd1_G*357C,mmpl5_Thr794Ile,10,100,0.1
lineage_2,fgd1_Phe320Phe,6,100,0.06
lineage_2,mmpl5_Thr794Ile,4,100,0.04
mmpl5_Asp767Asn,fgd1_G*357C,3,100,0.03
fgd1_Phe320Phe,mmpl5_Thr794Ile,3,100,0.03
fgd1_Phe320Phe,dlm_mic,3,100,0.03
fgd1_Phe320Phe,fgd1_G*357C,3,100,0.03
rv1979c_C*135G,mmpl5_Thr794Ile,2,90,0.022222222222222223
fgd1_Phe320Phe,rv1979c_C*135G,2,90,0.022222222222222223
mmpl5_Asp767Asn,rv0678_G*128C,2,100,0.02
lineage_4,mmpl5_Asp767Asn,2,100,0.02
lineage_4,pepq_Ala87Gly,2,100,0.02
mmpl5_Asp767Asn,mmpl5_Thr794Ile,2,100,0.02
rv1979c_C*135G,pepq_Ala87Gly,1,90,0.011111111111111112
pepq_Ala87Gly,rv1979c_C*135G,1,90,0.011111111111111112
fgd1_G*357C,pepq_Ala87Gly,1,100,0.01
lineage_4,rv0678_G*128C,1,100,0.01
rv0678_G*128C,mmpl5_Asp767Asn,1,100,0.01
mmpl5_Asp767Asn,fgd1_Phe320Phe,1,100,0.01
mmpl5_Thr794Ile,dlm_mic,1,100,0.01
fgd1_G*357C,mmpl5_Asp767Asn,1,100,0.01
mmpl5_Thr794Ile,fgd1_G*357C,1,100,0.01
mmpl5_Thr794Ile,fgd1_Phe320Phe,1,100,0.01
lineage_2,mmpl5_Ile948Val,1,100,0.01
pepq_Ala87Gly,fgd1_G*357C,1,100,0.01
