source,target,count,n_eligible,frequency
lineage_2,fgd1_Lys270Met,1,1,1.0
lineage_4,mmpl5_Thr794Ile,99,100,0.99
lineage_4,fgd1_Phe320Phe,99,100,0.99
lineage_2,mmpl5_Asp767Asn,95,100,0.95
lineage_2,rv0678_G*128C,84,100,0.84
rv0678_G*128C,fgd1_G*357C,76,100,0.76
rv1979c_C*135G,fgd1_G*357C,57,95,0.6
lineage_2,dlm_mic,52,100,0.52
pepq_Ala87Gly,dlm_mic,51,100,0.51
lineage_4,fgd1_G*357C,46,100,0.46
lineage_4,rv1979c_C*135G,43,95,0.45263157894736844
rv1979c_C*135G,dlm_mic,37,95,0.3894736842105263
rv0678_G*128C,rv1979c_C*135G,32,95,0.3368421052631579
rv1979c_C*135G,rv0678_G*128C,26,95,0.2736842105263158
lineage_2,rv1979c_C*135G,24,95,0.25263157894736843
fgd1_G*357C,rv0678_G*128C,22,100,0.22
lineage_2,pepq_Ala87Gly,18,100,0.18
fgd1_G*357C,rv1979c_C*135G,16,95,0.16842105263157894
fgd1_G*357C,fgd1_Phe320Phe,16,100,0.16
fgd1_G*357C,mmpl5_Thr794Ile,16,100,0.16
lineage_4,dlm_mic,12,100,0.12
lineage_4,rv0678_G*128C,8,100,0.08
mmpl5_Asp767Asn,dlm_mic,8,100,0.08
lineage_2,fgd1_G*357C,7,100,0.07
rv0678_G*128C,dlm_mic,6,100,0.06
lineage_4,mmpl5_Asp767Asn,5,100,0.05
fgd1_G*357C,dlm_mic,5,100,0.05
mmpl5_Asp767Asn,rv0678_G*128C,4,100,0.04
pepq_Ala87Gly,rv1979c_C*135G,3,95,0.031578947368421054
rv1979c_C*135G,pepq_Ala87Gly,2,95,0.021052631578947368
lineage_4,pepq_Ala87Gly,2,100,0.02
fgd1_G*357C,pepq_Ala87Gly,2,100,0.02
mmpl5_Thr794Ile,dlm_mic,2,100,0.02
lineage_2,mmpl5_Thr794Ile,2,100,0.02
lineage_2,fgd1_Phe320Phe,2,100,0.02
mmpl5_Ile948Val,fgd1_G*357C,2,100,0.02
rv1979c_C*135G,mmpl5_Thr794Ile,1,95,0.010526315789473684
rv1979c_C*135G,mmpl5_Asp767Asn,1,95,0.010526315789473684
rv1979c_C*135G,fgd1_Phe320Phe,1,95,0.010526315789473684
mmpl5_Ile948Val,rv0678_G*128C,1,100,0.01
pepq_Ala87Gly,mmpl5_Ile948Val,1,100,0.01
mmpl5_Ile948Val,dlm_mic,1,100,0.01
rv0678_G*128C,mmpl5_Asp767Asn,1,100,0.01
lineage_2,mmpl5_Ile948Val,1,100,0.01
pepq_Ala87Gly,fgd1_G*357C,1,100,0.01
rv0678_G*128C,pepq_Ala87Gly,1,100,0.01
