feature,n_runs_present,k1_count,k2_count,k3_count,k4_count,k5_count,k6_count,mean_k,mode_k,median_k
dlm_mic,100,0,0,0,8,32,60,5.52,6,6.0
ptm_mic,100,0,0,13,47,25,15,4.42,4,4.0
cfz_mic,100,0,0,16,49,35,0,4.19,4,4.0
bdq_mic,100,0,0,7,93,0,0,3.93,4,4.0
lnz_mic,100,0,100,0,0,0,0,2.0,2,2.0
burden_f420_activation,99,98,1,0,0,0,0,1.0101010101010102,1,1.0
burden_efflux,100,99,1,0,0,0,0,1.01,1,1.0
mtra_Leu120Arg,15,15,0,0,0,0,0,1.0,1,1.0
pepq_Ala87Gly,100,100,0,0,0,0,0,1.0,1,1.0
mtrb_Pro18Ser,100,100,0,0,0,0,0,1.0,1,1.0
mtrb_Met517Leu,100,100,0,0,0,0,0,1.0,1,1.0
lpqb_Val309Gly,100,100,0,0,0,0,0,1.0,1,1.0
mmpl5_Thr794Ile,100,100,0,0,0,0,0,1.0,1,1.0
mmpl5_Asp767Asn,100,100,0,0,0,0,0,1.0,1,1.0
lineage_4,100,100,0,0,0,0,0,1.0,1,1.0
lineage_2,100,100,0,0,0,0,0,1.0,1,1.0
burden_linezolid,100,100,0,0,0,0,0,1.0,1,1.0
tsnr_Leu232Pro,100,100,0,0,0,0,0,1.0,1,1.0
