source,target,count,n_eligible,frequency
mmpl5_Asp767Asn,lineage_2,97,100,0.97
mmpl5_Thr794Ile,fgd1_Phe320Phe,66,100,0.66
mmpl5_Thr794Ile,lineage_4,66,100,0.66
mmpl5_Asp767Asn,mmpl5_Thr794Ile,62,100,0.62
rv1979c_C*135G,fgd1_G*357C,58,97,0.5979381443298969
fgd1_G*357C,mmpl5_Thr794Ile,55,100,0.55
rv0678_G*128C,fgd1_G*357C,53,100,0.53
rv0678_G*128C,lineage_2,44,100,0.44
fgd1_G*357C,rv0678_G*128C,44,100,0.44
mmpl5_Asp767Asn,rv0678_G*128C,42,100,0.42
rv1979c_C*135G,dlm_mic,37,97,0.38144329896907214
fgd1_G*357C,lineage_2,35,100,0.35
pepq_Ala87Gly,dlm_mic,30,90,0.3333333333333333
fgd1_G*357C,fgd1_Phe320Phe,33,100,0.33
fgd1_G*357C,lineage_4,33,100,0.33
fgd1_G*357C,rv1979c_C*135G,32,97,0.32989690721649484
rv0678_G*128C,mmpl5_Asp767Asn,32,100,0.32
rv0678_G*128C,rv1979c_C*135G,30,97,0.30927835051546393
mmpl5_Thr794Ile,mmpl5_Asp767Asn,26,90,0.28888888888888886
mmpl5_Asp767Asn,lineage_4,27,100,0.27
mmpl5_Asp767Asn,dlm_mic,27,100,0.27
mmpl5_Asp767Asn,fgd1_Phe320Phe,27,100,0.27
rv0678_G*128C,dlm_mic,26,100,0.26
mmpl5_Thr794Ile,rv0678_G*128C,12,50,0.24
rv0678_G*128C,pepq_Ala87Gly,9,40,0.225
fgd1_G*357C,dlm_mic,20,90,0.2222222222222222
fgd1_Phe320Phe,mmpl5_Thr794Ile,13,60,0.21666666666666667
fgd1_Phe320Phe,lineage_4,13,60,0.21666666666666667
fgd1_G*357C,pepq_Ala87Gly,19,90,0.2111111111111111
mmpl5_Asp767Asn,fgd1_G*357C,18,90,0.2
fgd1_Phe320Phe,fgd1_G*357C,8,40,0.2
fgd1_Phe320Phe,mmpl5_Asp767Asn,12,60,0.2
rv1979c_C*135G,rv0678_G*128C,15,77,0.19480519480519481
mmpl5_Thr794Ile,rv1979c_C*135G,13,68,0.19117647058823528
fgd1_Phe320Phe,rv1979c_C*135G,7,39,0.1794871794871795
mmpl5_Thr794Ile,lineage_2,7,40,0.175
fgd1_G*357C,mmpl5_Asp767Asn,14,80,0.175
mmpl5_Thr794Ile,fgd1_G*357C,15,90,0.16666666666666666
fgd1_Phe320Phe,lineage_2,5,30,0.16666666666666666
mmpl5_Asp767Asn,rv1979c_C*135G,11,69,0.15942028985507245
rv1979c_C*135G,fgd1_Phe320Phe,6,39,0.15384615384615385
mmpl5_Thr794Ile,dlm_mic,12,80,0.15
rv1979c_C*135G,mmpl5_Thr794Ile,10,68,0.14705882352941177
rv1979c_C*135G,lineage_2,11,78,0.14102564102564102
rv1979c_C*135G,lineage_4,4,30,0.13333333333333333
fgd1_Phe320Phe,dlm_mic,6,50,0.12
mmpl5_Asp767Asn,pepq_Ala87Gly,7,60,0.11666666666666667
rv1979c_C*135G,mmpl5_Asp767Asn,4,38,0.10526315789473684
rv1979c_C*135G,pepq_Ala87Gly,6,57,0.10526315789473684
rv0678_G*128C,fgd1_Phe320Phe,2,20,0.1
mmpl5_Asp767Asn,mmpl5_Ile948Val,1,10,0.1
pepq_Ala87Gly,rv0678_G*128C,3,30,0.1
rv0678_G*128C,mmpl5_Ile948Val,1,10,0.1
rv0678_G*128C,mmpl5_Thr794Ile,3,30,0.1
pepq_Ala87Gly,mmpl5_Thr794Ile,2,20,0.1
pepq_Ala87Gly,mmpl5_Ile948Val,1,10,0.1
mmpl5_Ile948Val,dlm_mic,1,10,0.1
pepq_Ala87Gly,fgd1_G*357C,2,20,0.1
fgd1_Phe320Phe,pepq_Ala87Gly,1,10,0.1
fgd1_Phe320Phe,rv0678_G*128C,4,40,0.1
mmpl5_Thr794Ile,pepq_Ala87Gly,2,20,0.1
mmpl5_Thr794Ile,mmpl5_Ile948Val,1,10,0.1
rv0678_G*128C,lineage_4,1,10,0.1
