source,target,count,n_eligible,frequency
mmpl5_Asp767Asn,lineage_2,98,100,0.98
type_beyond_MDR,pepq_Ala87Gly,51,64,0.796875
mmpl5_Thr794Ile,lineage_4,78,100,0.78
mmpl5_Thr794Ile,fgd1_Phe320Phe,75,100,0.75
type_beyond_MDR,dlm_mic,40,59,0.6779661016949152
type_beyond_MDR,mmpl5_Thr794Ile,34,64,0.53125
rv0678_G*128C,fgd1_G*357C,53,100,0.53
mmpl5_Thr794Ile,mmpl5_Asp767Asn,52,100,0.52
rv1979c_C*135G,fgd1_G*357C,50,97,0.5154639175257731
mmpl5_Asp767Asn,rv0678_G*128C,42,100,0.42
rv0678_G*128C,lineage_2,41,100,0.41
fgd1_G*357C,rv1979c_C*135G,39,97,0.4020618556701031
fgd1_G*357C,rv0678_G*128C,39,100,0.39
pepq_Ala87Gly,dlm_mic,38,100,0.38
mmpl5_Asp767Asn,mmpl5_Thr794Ile,38,100,0.38
rv1979c_C*135G,dlm_mic,34,97,0.35051546391752575
mmpl5_Thr794Ile,fgd1_G*357C,35,100,0.35
mmpl5_Thr794Ile,rv1979c_C*135G,33,97,0.3402061855670103
mmpl5_Thr794Ile,rv0678_G*128C,30,90,0.3333333333333333
fgd1_G*357C,mmpl5_Thr794Ile,33,100,0.33
type_beyond_MDR,fgd1_Phe320Phe,7,23,0.30434782608695654
fgd1_G*357C,lineage_2,30,100,0.3
mmpl5_Thr794Ile,dlm_mic,24,90,0.26666666666666666
rv1979c_C*135G,rv0678_G*128C,24,97,0.24742268041237114
mmpl5_Asp767Asn,fgd1_Phe320Phe,24,100,0.24
mmpl5_Thr794Ile,lineage_2,19,80,0.2375
rv0678_G*128C,rv1979c_C*135G,16,69,0.2318840579710145
rv0678_G*128C,dlm_mic,23,100,0.23
fgd1_Phe320Phe,mmpl5_Asp767Asn,9,40,0.225
type_beyond_MDR,fgd1_G*357C,6,28,0.21428571428571427
fgd1_G*357C,pepq_Ala87Gly,15,70,0.21428571428571427
rv0678_G*128C,mmpl5_Asp767Asn,17,80,0.2125
fgd1_Phe320Phe,mmpl5_Thr794Ile,10,50,0.2
fgd1_Phe320Phe,lineage_4,10,50,0.2
fgd1_Phe320Phe,dlm_mic,8,40,0.2
mmpl5_Asp767Asn,lineage_4,19,100,0.19
mmpl5_Asp767Asn,dlm_mic,17,90,0.18888888888888888
fgd1_G*357C,dlm_mic,17,90,0.18888888888888888
fgd1_G*357C,fgd1_Phe320Phe,18,100,0.18
fgd1_G*357C,mmpl5_Asp767Asn,16,90,0.17777777777777778
fgd1_Phe320Phe,rv1979c_C*135G,5,29,0.1724137931034483
type_beyond_MDR,mmpl5_Asp767Asn,6,37,0.16216216216216217
type_beyond_MDR,rv1979c_C*135G,2,13,0.15384615384615385
rv1979c_C*135G,lineage_2,9,59,0.15254237288135594
rv0678_G*128C,fgd1_Phe320Phe,3,20,0.15
fgd1_Phe320Phe,fgd1_G*357C,6,40,0.15
fgd1_G*357C,lineage_4,13,90,0.14444444444444443
mmpl5_Asp767Asn,fgd1_G*357C,13,90,0.14444444444444443
rv1979c_C*135G,mmpl5_Thr794Ile,11,78,0.14102564102564102
type_beyond_MDR,rv0678_G*128C,3,22,0.13636363636363635
rv1979c_C*135G,mmpl5_Asp767Asn,5,39,0.1282051282051282
fgd1_Phe320Phe,rv0678_G*128C,5,40,0.125
mmpl5_Asp767Asn,rv1979c_C*135G,6,57,0.10526315789473684
rv1979c_C*135G,pepq_Ala87Gly,3,29,0.10344827586206896
rv1979c_C*135G,fgd1_Phe320Phe,1,10,0.1
pepq_Ala87Gly,fgd1_G*357C,1,10,0.1
rv1979c_C*135G,lineage_4,4,40,0.1
pepq_Ala87Gly,rv0678_G*128C,1,10,0.1
pepq_Ala87Gly,mmpl5_Asp767Asn,1,10,0.1
rv0678_G*128C,pepq_Ala87Gly,3,30,0.1
lineage_4,dlm_mic,1,10,0.1
lineage_2,dlm_mic,1,10,0.1
fgd1_Phe320Phe,lineage_2,2,20,0.1
rv0678_G*128C,mmpl5_Thr794Ile,6,60,0.1
pepq_Ala87Gly,mmpl5_Thr794Ile,2,20,0.1
rv0678_G*128C,lineage_4,1,10,0.1
mmpl5_Thr794Ile,pepq_Ala87Gly,1,10,0.1
