source,target,count,n_eligible,frequency
mmpl5_Asp767Asn,lineage_2,97,100,0.97
type_beyond_MDR,pepq_Ala87Gly,53,64,0.828125
mmpl5_Thr794Ile,lineage_4,71,100,0.71
mmpl5_Thr794Ile,fgd1_Phe320Phe,64,100,0.64
rv0678_G*128C,fgd1_G*357C,59,100,0.59
type_beyond_MDR,mmpl5_Thr794Ile,32,64,0.5
rv1979c_C*135G,fgd1_G*357C,47,97,0.4845360824742268
mmpl5_Thr794Ile,mmpl5_Asp767Asn,44,100,0.44
mmpl5_Asp767Asn,mmpl5_Thr794Ile,44,100,0.44
rv0678_G*128C,lineage_2,44,100,0.44
pepq_Ala87Gly,dlm_mic,43,100,0.43
fgd1_G*357C,rv1979c_C*135G,38,97,0.3917525773195876
rv1979c_C*135G,dlm_mic,34,87,0.39080459770114945
rv0678_G*128C,dlm_mic,35,100,0.35
mmpl5_Thr794Ile,rv1979c_C*135G,27,78,0.34615384615384615
fgd1_G*357C,rv0678_G*128C,34,100,0.34
mmpl5_Asp767Asn,rv0678_G*128C,33,100,0.33
mmpl5_Thr794Ile,fgd1_G*357C,29,90,0.32222222222222224
mmpl5_Asp767Asn,fgd1_Phe320Phe,32,100,0.32
fgd1_G*357C,mmpl5_Thr794Ile,32,100,0.32
rv0678_G*128C,rv1979c_C*135G,30,97,0.30927835051546393
mmpl5_Thr794Ile,rv0678_G*128C,30,100,0.3
mmpl5_Thr794Ile,dlm_mic,27,90,0.3
mmpl5_Asp767Asn,dlm_mic,23,90,0.25555555555555554
fgd1_G*357C,fgd1_Phe320Phe,25,100,0.25
mmpl5_Asp767Asn,lineage_4,25,100,0.25
rv0678_G*128C,mmpl5_Asp767Asn,25,100,0.25
fgd1_G*357C,lineage_4,24,100,0.24
type_beyond_MDR,mmpl5_Asp767Asn,11,47,0.23404255319148937
type_beyond_MDR,rv1979c_C*135G,9,39,0.23076923076923078
type_beyond_MDR,rv0678_G*128C,10,44,0.22727272727272727
mmpl5_Asp767Asn,fgd1_G*357C,18,80,0.225
fgd1_G*357C,lineage_2,20,90,0.2222222222222222
mmpl5_Thr794Ile,lineage_2,22,100,0.22
fgd1_Phe320Phe,mmpl5_Thr794Ile,11,60,0.18333333333333332
fgd1_Phe320Phe,lineage_4,11,60,0.18333333333333332
fgd1_G*357C,mmpl5_Asp767Asn,9,50,0.18
fgd1_G*357C,dlm_mic,14,80,0.175
fgd1_Phe320Phe,dlm_mic,7,40,0.175
rv1979c_C*135G,rv0678_G*128C,13,77,0.16883116883116883
fgd1_Phe320Phe,mmpl5_Asp767Asn,10,60,0.16666666666666666
type_beyond_MDR,mmpl5_Ile948Val,1,6,0.16666666666666666
mmpl5_Asp767Asn,rv1979c_C*135G,8,50,0.16
rv1979c_C*135G,mmpl5_Thr794Ile,15,97,0.15463917525773196
type_beyond_MDR,fgd1_G*357C,4,26,0.15384615384615385
fgd1_Phe320Phe,fgd1_G*357C,6,40,0.15
rv1979c_C*135G,lineage_2,10,68,0.14705882352941177
rv1979c_C*135G,mmpl5_Asp767Asn,7,49,0.14285714285714285
fgd1_Phe320Phe,rv0678_G*128C,7,50,0.14
rv1979c_C*135G,fgd1_Phe320Phe,11,79,0.13924050632911392
rv0678_G*128C,pepq_Ala87Gly,4,30,0.13333333333333333
fgd1_Phe320Phe,rv1979c_C*135G,4,30,0.13333333333333333
fgd1_Phe320Phe,lineage_2,5,40,0.125
type_beyond_MDR,fgd1_Phe320Phe,2,16,0.125
rv1979c_C*135G,pepq_Ala87Gly,1,9,0.1111111111111111
mmpl5_Asp767Asn,pepq_Ala87Gly,2,20,0.1
lineage_4,dlm_mic,1,10,0.1
mmpl5_Thr794Ile,pepq_Ala87Gly,1,10,0.1
lineage_2,dlm_mic,3,30,0.1
fgd1_G*357C,pepq_Ala87Gly,6,60,0.1
pepq_Ala87Gly,fgd1_G*357C,1,10,0.1
rv0678_G*128C,mmpl5_Thr794Ile,1,10,0.1
pepq_Ala87Gly,mmpl5_Ile948Val,1,10,0.1
pepq_Ala87Gly,mmpl5_Thr794Ile,1,10,0.1
rv1979c_C*135G,lineage_4,5,50,0.1
pepq_Ala87Gly,rv0678_G*128C,1,10,0.1
fgd1_Phe320Phe,pepq_Ala87Gly,3,30,0.1
mmpl5_Ile948Val,rv0678_G*128C,2,20,0.1
