source,target,count,n_eligible,frequency
mmpl5_Asp767Asn,lineage_2,93,100,0.93
mmpl5_Thr794Ile,lineage_4,74,100,0.74
rv1979c_C*135G,fgd1_G*357C,53,97,0.5463917525773195
rv0678_G*128C,fgd1_G*357C,54,100,0.54
mmpl5_Asp767Asn,mmpl5_Thr794Ile,50,100,0.5
mmpl5_Thr794Ile,mmpl5_Asp767Asn,50,100,0.5
rv0678_G*128C,lineage_2,47,100,0.47
mmpl5_Asp767Asn,rv0678_G*128C,45,100,0.45
fgd1_G*357C,rv0678_G*128C,42,100,0.42
fgd1_G*357C,mmpl5_Thr794Ile,37,100,0.37
mmpl5_Thr794Ile,fgd1_G*357C,36,100,0.36
fgd1_G*357C,rv1979c_C*135G,33,97,0.3402061855670103
rv1979c_C*135G,bdq_mic,33,97,0.3402061855670103
burden_f420_activation,dlm_mic,33,100,0.33
burden_efflux,bdq_mic,30,100,0.3
mmpl5_Asp767Asn,lineage_4,27,90,0.3
burden_efflux,dlm_mic,30,100,0.3
rv1979c_C*135G,cfz_mic,29,97,0.29896907216494845
rv1979c_C*135G,dlm_mic,29,97,0.29896907216494845
mmpl5_Thr794Ile,cfz_mic,28,100,0.28
pepq_Ala87Gly,dlm_mic,25,90,0.2777777777777778
fgd1_G*357C,lineage_2,27,100,0.27
rv0678_G*128C,bdq_mic,27,100,0.27
burden_efflux,ptm_mic,27,100,0.27
rv0678_G*128C,dlm_mic,24,90,0.26666666666666666
burden_f420_activation,bdq_mic,26,100,0.26
pepq_Ala87Gly,bdq_mic,26,100,0.26
rv0678_G*128C,mmpl5_Asp767Asn,26,100,0.26
burden_f420_activation,ptm_mic,23,90,0.25555555555555554
mmpl5_Asp767Asn,bdq_mic,23,90,0.25555555555555554
rv0678_G*128C,rv1979c_C*135G,22,87,0.25287356321839083
burden_f420_activation,cfz_mic,25,100,0.25
mmpl5_Thr794Ile,dlm_mic,20,80,0.25
mmpl5_Asp767Asn,cfz_mic,25,100,0.25
mmpl5_Thr794Ile,pepq_Ala87Gly,5,20,0.25
rv0678_G*128C,cfz_mic,22,90,0.24444444444444444
mmpl5_Thr794Ile,rv0678_G*128C,17,70,0.24285714285714285
rv1979c_C*135G,rv0678_G*128C,21,87,0.2413793103448276
rv1979c_C*135G,mmpl5_Thr794Ile,23,97,0.23711340206185566
rv0678_G*128C,ptm_mic,21,90,0.23333333333333334
fgd1_G*357C,lineage_4,21,90,0.23333333333333334
mmpl5_Thr794Ile,ptm_mic,21,90,0.23333333333333334
burden_efflux,cfz_mic,21,90,0.23333333333333334
fgd1_G*357C,pepq_Ala87Gly,16,70,0.22857142857142856
pepq_Ala87Gly,cfz_mic,20,90,0.2222222222222222
rv1979c_C*135G,pepq_Ala87Gly,4,18,0.2222222222222222
rv1979c_C*135G,lineage_2,12,57,0.21052631578947367
mmpl5_Thr794Ile,bdq_mic,21,100,0.21
mmpl5_Thr794Ile,rv1979c_C*135G,20,97,0.20618556701030927
mmpl5_Thr794Ile,lineage_2,18,90,0.2
rv1979c_C*135G,ptm_mic,19,97,0.1958762886597938
fgd1_G*357C,ptm_mic,15,80,0.1875
fgd1_G*357C,cfz_mic,13,70,0.18571428571428572
mmpl5_Asp767Asn,rv1979c_C*135G,9,49,0.1836734693877551
mmpl5_Asp767Asn,ptm_mic,14,80,0.175
rv0678_G*128C,mmpl5_Thr794Ile,12,70,0.17142857142857143
fgd1_G*357C,dlm_mic,13,80,0.1625
mmpl5_Asp767Asn,dlm_mic,13,80,0.1625
fgd1_G*357C,bdq_mic,12,80,0.15
rv0678_G*128C,lineage_4,6,40,0.15
fgd1_G*357C,mmpl5_Asp767Asn,10,70,0.14285714285714285
pepq_Ala87Gly,ptm_mic,11,80,0.1375
mmpl5_Asp767Asn,fgd1_G*357C,9,70,0.12857142857142856
rv0678_G*128C,pepq_Ala87Gly,9,70,0.12857142857142856
pepq_Ala87Gly,burden_f420_activation,5,40,0.125
rv1979c_C*135G,lineage_4,7,57,0.12280701754385964
lineage_4,cfz_mic,7,60,0.11666666666666667
rv1979c_C*135G,mmpl5_Asp767Asn,2,18,0.1111111111111111
mmpl5_Asp767Asn,mmpl5_Ile948Val,1,10,0.1
lineage_4,ptm_mic,4,40,0.1
mmpl5_Asp767Asn,pepq_Ala87Gly,2,20,0.1
lineage_4,dlm_mic,2,20,0.1
burden_efflux,burden_f420_activation,1,10,0.1
burden_efflux,mmpl5_Ile948Val,1,10,0.1
burden_f420_activation,burden_efflux,1,10,0.1
burden_f420_activation,fgd1_G*357C,2,20,0.1
burden_f420_activation,mmpl5_Ile948Val,1,10,0.1
pepq_Ala87Gly,fgd1_G*357C,1,10,0.1
pepq_Ala87Gly,mmpl5_Asp767Asn,4,40,0.1
rv0678_G*128C,mmpl5_Ile948Val,1,10,0.1
burden_f420_activation,pepq_Ala87Gly,3,30,0.1
lineage_2,ptm_mic,3,30,0.1
lineage_2,dlm_mic,1,10,0.1
fgd1_G*357C,burden_efflux,1,10,0.1
lineage_2,cfz_mic,3,30,0.1
lineage_2,bdq_mic,2,20,0.1
rv0678_G*128C,burden_f420_activation,1,10,0.1
rv0678_G*128C,burden_efflux,1,10,0.1
pepq_Ala87Gly,burden_efflux,2,20,0.1
pepq_Ala87Gly,rv0678_G*128C,2,20,0.1
pepq_Ala87Gly,mmpl5_Thr794Ile,1,10,0.1
lineage_4,bdq_mic,3,30,0.1
