source,target,count,n_eligible,frequency
mmpl5_Asp767Asn,lineage_2,98,100,0.98
mmpl5_Thr794Ile,lineage_4,89,100,0.89
rv0678_G*128C,lineage_2,64,100,0.64
rv0678_G*128C,rv1979c_C*135G,50,97,0.5154639175257731
mmpl5_Thr794Ile,mmpl5_Asp767Asn,51,100,0.51
mmpl5_Asp767Asn,mmpl5_Thr794Ile,49,100,0.49
mmpl5_Thr794Ile,cfz_mic,48,100,0.48
rv1979c_C*135G,mmpl5_Thr794Ile,46,97,0.4742268041237113
rv1979c_C*135G,rv0678_G*128C,45,97,0.4639175257731959
mmpl5_Asp767Asn,bdq_mic,45,100,0.45
mmpl5_Asp767Asn,rv0678_G*128C,39,100,0.39
mmpl5_Thr794Ile,bdq_mic,34,90,0.37777777777777777
mmpl5_Thr794Ile,rv1979c_C*135G,35,97,0.36082474226804123
mmpl5_Thr794Ile,rv0678_G*128C,36,100,0.36
mmpl5_Asp767Asn,cfz_mic,34,100,0.34
rv0678_G*128C,cfz_mic,29,90,0.32222222222222224
rv0678_G*128C,bdq_mic,31,100,0.31
rv1979c_C*135G,cfz_mic,20,68,0.29411764705882354
rv0678_G*128C,mmpl5_Asp767Asn,28,100,0.28
rv1979c_C*135G,bdq_mic,24,87,0.27586206896551724
mmpl5_Thr794Ile,lineage_2,22,80,0.275
pepq_Ala87Gly,bdq_mic,26,100,0.26
burden_efflux,cfz_mic,21,90,0.23333333333333334
rv1979c_C*135G,lineage_4,22,97,0.2268041237113402
pepq_Ala87Gly,cfz_mic,22,100,0.22
rv1979c_C*135G,lineage_2,17,78,0.21794871794871795
burden_efflux,bdq_mic,16,80,0.2
mmpl5_Asp767Asn,lineage_4,15,80,0.1875
lineage_4,bdq_mic,5,30,0.16666666666666666
rv0678_G*128C,pepq_Ala87Gly,9,60,0.15
rv1979c_C*135G,pepq_Ala87Gly,6,40,0.15
rv0678_G*128C,mmpl5_Thr794Ile,12,80,0.15
rv0678_G*128C,lineage_4,9,70,0.12857142857142856
rv1979c_C*135G,mmpl5_Asp767Asn,5,39,0.1282051282051282
mmpl5_Asp767Asn,pepq_Ala87Gly,7,60,0.11666666666666667
mmpl5_Thr794Ile,pepq_Ala87Gly,7,60,0.11666666666666667
mmpl5_Asp767Asn,rv1979c_C*135G,4,39,0.10256410256410256
mmpl5_Thr794Ile,mmpl5_Ile948Val,1,10,0.1
rv0678_G*128C,mmpl5_Ile948Val,1,10,0.1
lineage_2,bdq_mic,1,10,0.1
pepq_Ala87Gly,mmpl5_Asp767Asn,1,10,0.1
burden_efflux,pepq_Ala87Gly,2,20,0.1
rv1979c_C*135G,burden_efflux,1,10,0.1
lineage_4,cfz_mic,2,20,0.1
mmpl5_Thr794Ile,burden_efflux,1,10,0.1
pepq_Ala87Gly,rv1979c_C*135G,1,10,0.1
burden_efflux,lineage_4,1,10,0.1
pepq_Ala87Gly,mmpl5_Thr794Ile,1,10,0.1
lineage_2,cfz_mic,1,10,0.1
